#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"147,033,889","+160,153","1,419,575",+446,"125,157,956","+125,174","20,456,358","12,984",,,,,,Asia
,North America,"97,887,271","+40,650","1,456,785",+167,"93,900,639","+36,203","2,529,847","6,961",,,,,,North America
,South America,"56,683,389","+8,751","1,293,274",+82,"52,752,995","+30,749","2,637,120","10,875",,,,,,South America
,Europe,"189,333,883","+200,243","1,810,178",+618,"172,815,411","+347,217","14,708,294","10,470",,,,,,Europe
,Oceania,"6,865,635","+42,439","10,298",+29,"6,376,747","+46,980","478,590",169,,,,,,Australia/Oceania
,Africa,"11,868,206","+3,606","253,706",+9,"11,082,504",+908,"531,996",957,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"509,672,994","+455,842","6,243,831","+1,351","462,086,958","+587,231","41,342,205","42,416","65,386",801.0,,,,All
1,China,"200,654","+1,580","4,725",+39,"166,398","+2,672","29,531",236,139,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"82,708,317","+34,139","1,018,532",+90,"80,465,351","+30,438","1,224,434","1,426","247,243","3,045","1,000,491,407","2,990,806","334,522,343",North America
3,India,"43,060,086","+2,541","522,223",+30,"42,521,341","+1,862","16,522",698,"30,656",372,"834,717,702","594,272","1,404,606,308",Asia
4,Brazil,"30,349,463","+3,809","662,701",+38,"29,384,354","+19,954","302,408","8,318","140,964","3,078","63,776,166","296,221","215,299,307",South America
5,France,"28,303,931","+58,954","145,060",+40,"25,880,480","+27,573","2,278,391","1,677","431,888","2,213","266,484,045","4,066,260","65,535,419",Europe
6,Germany,"24,140,700","+31,267","134,646",+22,"21,243,000","+63,600","2,763,054","1,980","286,469","1,598","122,332,384","1,451,676","84,269,739",Europe
7,UK,"21,967,616","+10,581","173,579",+114,"20,782,350","+68,278","1,011,687",339,"320,542","2,533","514,985,782","7,514,457","68,532,664",Europe
8,Russia,"18,137,137","+8,446","374,902",+168,"17,474,628","+10,508","287,607","2,300","124,186","2,567","273,400,000","1,871,988","146,047,929",Europe
9,S. Korea,"16,895,194","+64,725","22,133",+109,N/A,N/A,N/A,726,"329,026",431,"15,804,065","307,776","51,349,193",Asia
10,Italy,"16,136,461","+56,667","162,688",+79,"14,729,220","+44,849","1,244,553",416,"267,600","2,698","211,691,841","3,510,608","60,300,620",Europe
11,Turkey,"15,018,547","+2,277","98,691",+15,"14,870,422","+15,947","49,434",975,"174,665","1,148","158,238,176","1,840,307","85,984,643",Asia
12,Spain,"11,809,746","+11,855","104,068",+80,"11,299,013","+24,217","406,665",339,"252,412","2,224","471,036,328","10,067,543","46,787,616",Europe
13,Vietnam,"10,604,327","+8,847","43,013",+9,"9,086,075","+4,581","1,475,239",612,"107,194",435,"85,789,114","867,199","98,926,693",Asia
14,Argentina,"9,072,230","+1,616","128,542",+29,"8,895,999",,"47,689",372,"197,446","2,798","35,716,069","777,318","45,947,798",South America
15,Netherlands,"8,039,217","+1,578","22,221",+5,"7,643,520","+39,086","373,476",94,"467,298","1,292","21,107,399","1,226,916","17,203,621",Europe
16,Japan,"7,621,562","+43,721","29,284",+27,"7,135,403","+57,313","456,875",195,"60,597",233,"46,690,473","371,224","125,774,445",Asia
17,Iran,"7,216,040",+528,"140,975",+13,"6,966,954","+2,963","108,111","1,046","83,964","1,640","50,811,054","591,223","85,942,224",Asia
18,Colombia,"6,091,343",+249,"139,778",+7,"5,924,745",+312,"26,820",342,"117,443","2,695","34,371,690","662,698","51,866,293",South America
19,Indonesia,"6,044,150",+382,"156,100",+33,"5,870,419","+2,168","17,631","2,771","21,682",560,"94,904,806","340,443","278,768,157",Asia
20,Poland,"5,991,197",+344,"115,948",,"5,334,374",+34,"540,875","1,588","158,617","3,070","36,027,053","953,817","37,771,451",Europe
21,Mexico,"5,733,514",+802,"324,117",+57,"5,033,892",+654,"375,505","4,798","43,638","2,467","15,762,889","119,971","131,389,028",North America
22,Australia,"5,689,377","+34,769","6,989",+19,"5,313,222","+39,025","369,166",135,"218,517",268,"68,845,476","2,644,206","26,036,353",Australia/Oceania
23,Ukraine,"4,998,293",+301,"108,326",+8,N/A,N/A,N/A,177,"115,548","2,504","19,521,252","451,281","43,257,407",Europe
24,Malaysia,"4,431,073","+4,006","35,499",+8,"4,320,822","+10,223","74,752",98,"133,797","1,072","58,381,292","1,762,832","33,117,890",Asia
25,Thailand,"4,165,874","+17,784","27,778",+126,"3,954,945","+22,846","183,151","1,496","59,413",396,"17,270,775","246,312","70,117,577",Asia
26,Austria,"4,104,859","+5,810","18,047",+12,"3,989,860","+10,297","96,952",121,"451,104","1,983","181,825,734","19,981,766","9,099,583",Europe
27,Israel,"4,057,772","+3,430","10,670",+12,"4,009,152",,"37,950",220,"435,103","1,144","41,373,364","4,436,346","9,326,000",Asia
28,Belgium,"4,033,468","+4,553","31,367",+15,"3,726,457","+16,162","275,644",169,"345,299","2,685","33,456,470","2,864,157","11,681,086",Europe
29,Czechia,"3,895,557",+913,"40,095",+9,"3,838,028","+3,407","17,434",43,"362,546","3,732","55,117,064","5,129,551","10,745,007",Europe
30,Portugal,"3,791,744",,"22,162",,N/A,N/A,N/A,61,"373,836","2,185","41,021,678","4,044,413","10,142,802",Europe
31,South Africa,"3,762,911","+3,222","100,303",+5,"3,633,297",+725,"29,311",175,"62,028","1,653","24,332,659","401,102","60,664,519",Africa
32,Canada,"3,699,683","+4,098","38,783",+6,"3,429,274","+3,192","231,626",426,"96,491","1,011","60,536,359","1,578,844","38,342,208",North America
33,Philippines,"3,684,499",+204,"60,182",+3,"3,610,658","+1,233","13,659",289,"32,831",536,"29,427,586","262,218","112,225,532",Asia
34,Switzerland,"3,598,701","+2,004","13,831",+4,"3,378,507","+19,775","206,363",90,"410,371","1,577","20,666,182","2,356,627","8,769,392",Europe
35,Peru,"3,560,876",+781,"212,742",+6,N/A,N/A,N/A,346,"105,337","6,293","29,659,485","877,380","33,804,616",South America
36,Chile,"3,546,493","+2,030","57,375",,"3,378,195","+9,399","110,923",263,"182,679","2,955","36,755,151","1,893,253","19,413,751",South America
