#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"144,647,541","+334,496","1,413,103",+688,"123,416,977","+135,803","19,817,461","14,480",,,,,,Asia
,North America,"97,252,328","+58,581","1,451,711",+615,"93,385,112","+45,811","2,415,505","7,079",,,,,,North America
,South America,"56,486,293","+33,203","1,291,352",+207,"52,398,201","+56,950","2,796,740","11,093",,,,,,South America
,Europe,"185,484,783","+512,246","1,794,874","+1,952","166,073,717","+735,159","17,616,192","9,474",,,,,,Europe
,Oceania,"6,285,663","+63,198","9,807",+53,"5,718,964","+77,219","556,892",161,,,,,,Australia/Oceania
,Africa,"11,816,303","+2,307","253,358",+22,"11,053,054","+3,097","509,891",957,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"501,973,632","+1,004,031","6,214,220","+3,537","452,046,731","+1,054,039","43,712,681","43,244","64,399",797.2,,,,All
1,China,"168,362","+1,513","4,638",,"141,898","+1,678","21,826",87,117,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"82,211,561","+41,382","1,014,617",+447,"80,056,155","+36,525","1,140,789","1,559","245,801","3,034","994,063,483","2,972,108","334,464,117",North America
3,India,"43,039,023","+1,007","521,767",+21,"42,506,228",+818,"11,028",698,"30,650",372,"794,525,202","565,821","1,404,198,864",Asia
4,Brazil,"30,210,853","+26,924","661,710",+158,"29,167,518","+41,215","381,625","8,318","140,350","3,074","63,776,166","296,283","215,253,965",South America
5,France,"27,310,055","+146,426","143,777",+152,"24,492,686","+148,476","2,673,592","1,541","416,750","2,194","260,504,402","3,975,279","65,531,091",Europe
6,Germany,"23,116,402","+179,888","132,906",+307,"19,179,300","+286,200","3,804,196","1,980","274,341","1,577","122,332,384","1,451,815","84,261,708",Europe
7,UK,"21,727,688","+31,543","171,046",+651,"19,974,579","+82,474","1,582,063",385,"317,091","2,496","511,698,520","7,467,657","68,521,968",Europe
8,Russia,"18,030,579","+11,754","372,512",+267,"17,299,263","+28,135","358,804","2,300","123,458","2,551","273,400,000","1,872,012","146,046,055",Europe
9,S. Korea,"15,830,644","+195,370","20,034",+184,N/A,N/A,N/A,"1,014","308,302",390,"15,804,065","307,784","51,347,871",Asia
10,Italy,"15,468,061","+62,703","161,187",+155,"14,078,350","+63,318","1,228,524",449,"256,504","2,673","207,575,724","3,442,196","60,303,282",Europe
11,Turkey,"14,978,031","+5,529","98,493",+31,"14,688,473","+14,493","191,065",975,"174,249","1,146","156,514,251","1,820,835","85,957,383",Asia
12,Spain,"11,662,214",,"103,266",,"11,120,708",,"438,240",368,"249,261","2,207","471,036,328","10,067,660","46,787,073",Europe
13,Vietnam,"10,351,325","+24,752","42,878",+20,"8,770,994","+13,887","1,537,453","1,205","104,664",434,"85,511,551","864,623","98,900,397",Asia
14,Argentina,"9,057,923","+1,720","128,285",+17,"8,889,899","+1,385","39,739",424,"197,189","2,793","35,681,964","776,787","45,935,345",South America
