#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"145,459,549","+226,137","1,415,309",+644,"123,950,389","+198,647","20,093,851","14,064",,,,,,Asia
,North America,"97,407,038","+38,409","1,453,014",+160,"93,516,774","+46,419","2,437,250","7,007",,,,,,North America
,South America,"56,543,371","+7,088","1,291,937",+106,"52,486,804","+25,908","2,764,630","11,020",,,,,,South America
,Europe,"186,567,031","+261,979","1,798,305",+736,"167,925,282","+494,172","16,843,444","9,268",,,,,,Europe
,Oceania,"6,457,038","+48,246","9,971",+44,"5,921,512","+59,351","525,555",168,,,,,,Australia/Oceania
,Africa,"11,823,573","+1,539","253,383",+7,"11,058,346","+1,549","511,844",963,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"504,258,321","+583,398","6,221,934","+1,697","454,859,813","+826,046","43,176,574","42,490","64,692",798.2,,,,All
1,China,"178,764","+3,896","4,638",,"148,170","+2,818","25,956",74,124,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"82,330,762","+27,743","1,015,635",+110,"80,166,870","+37,517","1,148,257","1,487","246,146","3,036","995,759,092","2,977,036","334,479,997",North America
3,India,"43,042,097","+1,150","521,934",+35,"42,508,788",+954,"11,375",698,"30,650",372,"831,843,406","592,350","1,404,309,985",Asia
4,Brazil,"30,250,077","+2,775","661,993",+33,"29,206,243","+6,340","381,841","8,318","140,524","3,075","63,776,166","296,266","215,266,331",South America
5,France,"27,684,374","+111,583","144,122",+61,"24,885,512","+110,023","2,654,740","1,541","422,454","2,199","260,504,402","3,975,208","65,532,271",Europe
6,Germany,"23,411,577","+46,073","133,415",+109,"19,802,700","+128,400","3,475,462","1,980","277,836","1,583","122,332,384","1,451,777","84,263,898",Europe
7,UK,"21,747,638",,"171,396",,"20,116,135","+67,341","1,460,107",355,"317,368","2,501","512,140,269","7,473,785","68,524,885",Europe
8,Russia,"18,064,454","+11,095","373,267",+240,"17,359,645","+19,006","331,542","2,300","123,690","2,556","273,400,000","1,872,006","146,046,566",Europe
9,S. Korea,"16,212,751","+107,882","20,889",+273,N/A,N/A,N/A,913,"315,741",407,"15,804,065","307,782","51,348,231",Asia
10,Italy,"15,660,095","+64,075","161,602",+133,"14,276,895","+61,986","1,221,598",411,"259,692","2,680","208,836,063","3,463,138","60,302,556",Europe
11,Turkey,"14,991,669","+4,086","98,551",+19,"14,733,310","+13,561","159,808",975,"174,393","1,146","157,030,896","1,826,688","85,964,817",Asia
12,Spain,"11,662,214",,"103,266",,"11,120,708",,"438,240",368,"249,261","2,207","471,036,328","10,067,628","46,787,221",Europe
13,Vietnam,"10,449,103","+18,529","42,934",+10,"8,931,374","+68,330","1,474,795","1,191","105,645",434,"85,656,389","866,025","98,907,569",Asia
14,Argentina,"9,060,495",+551,"128,344",+17,"8,895,999","+1,819","36,152",412,"197,230","2,794","35,716,069","777,472","45,938,741",South America
15,Netherlands,"8,015,576",,"22,156",,"7,305,079",,"688,341",113,"465,946","1,288","21,107,399","1,226,975","17,202,795",Europe
16,Japan,"7,287,343","+50,293","28,945",+61,"6,738,172","+56,019","520,226",222,"57,936",230,"45,528,128","361,958","125,782,871",Asia
17,Iran,"7,205,064","+1,015","140,800",+23,"6,942,220","+3,740","122,044","1,420","83,859","1,639","50,079,995","582,876","85,918,726",Asia
18,Colombia,"6,089,540",+159,"139,745",+4,"5,922,819",+180,"26,976",342,"117,435","2,695","34,242,271","660,354","51,854,446",South America
19,Indonesia,"6,039,266",+602,"155,844",+24,"5,822,947","+2,768","60,475","2,771","21,669",559,"93,931,526","337,029","278,704,975",Asia
20,Poland,"5,984,939","+1,077","115,838",+29,"5,334,057",+64,"535,044",268,"158,448","3,067","35,938,194","951,442","37,772,353",Europe
21,Mexico,"5,725,476",+401,"323,903",+12,"5,026,855",+732,"374,718","4,798","43,586","2,466","15,691,493","119,455","131,359,438",North America
