#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
37,Greece,"3,051,531","+21,102","27,571",+61,"2,761,144","+12,406","262,816",351,"295,288","2,668","74,389,472","7,198,469","10,334,069",Europe
38,Denmark,"2,914,779","+2,862","5,723",+25,"2,844,472","+6,779","64,584",22,"500,146",982,"126,809,247","21,759,163","5,827,855",Europe
39,Romania,"2,856,491","+2,921","65,055",+25,"2,606,660",,"184,776",397,"150,236","3,422","22,124,588","1,163,632","19,013,397",Europe
40,Sweden,"2,487,852",,"18,331",,"2,432,975",,"36,546",25,"243,684","1,796","18,417,910","1,804,026","10,209,336",Europe
41,Iraq,"2,319,908",+358,"25,167",+3,"2,282,967",+700,"11,774",47,"55,501",602,"18,345,612","438,899","41,799,153",Asia
42,Serbia,"1,978,228","+1,661","15,809",+10,"1,926,928","+3,557","35,491",40,"228,015","1,822","9,203,251","1,060,789","8,675,857",Europe
43,Bangladesh,"1,951,658",+81,"29,122",,"1,882,197",+893,"40,339","1,283","11,648",174,"13,831,420","82,548","167,557,022",Asia
44,Hungary,"1,854,198","+2,327","45,510",+40,"1,709,370","+2,644","99,318",56,"192,795","4,732","11,127,382","1,156,996","9,617,476",Europe
45,Slovakia,"1,716,638","+5,754","19,368",+16,"1,599,098","+9,764","98,172",181,"314,157","3,544","6,887,739","1,260,506","5,464,264",Europe
46,Jordan,"1,689,314",,"14,003",,"1,668,852",,"6,459",276,"162,744","1,349","16,575,546","1,596,848","10,380,165",Asia
47,Georgia,"1,648,653",+407,"16,748",+3,"1,626,296","+1,303","5,609",,"414,674","4,213","16,414,209","4,128,548","3,975,783",Asia
48,Pakistan,"1,524,973",+180,"30,359",+4,"1,485,924",+189,"8,690",403,"6,677",133,"27,501,885","120,419","228,385,782",Asia
49,Ireland,"1,465,150","+5,725","6,786",+33,"1,300,309","+3,329","158,055",59,"291,040","1,348","11,833,422","2,350,614","5,034,183",Europe
50,Norway,"1,407,422","+1,462","2,518",,N/A,N/A,N/A,20,"256,112",458,"11,002,430","2,002,141","5,495,333",Europe
51,Kazakhstan,"1,305,151",+16,"13,659",,"1,289,810",+117,"1,682",528,"68,086",713,"11,575,012","603,833","19,169,220",Asia
52,Morocco,"1,163,359",+85,"16,060",,"1,146,611",+48,688,293,"30,879",426,"11,237,010","298,261","37,675,147",Africa
53,Hong Kong,"1,163,238","+5,823","7,945",+120,N/A,N/A,N/A,115,"152,991","1,045","36,260,319","4,769,031","7,603,289",Asia
54,Bulgaria,"1,139,956","+1,033","36,554",+25,"925,800","+3,291","177,602",216,"166,246","5,331","9,615,656","1,402,307","6,857,028",Europe
55,Singapore,"1,101,438","+5,010","1,270",+2,"1,025,578",,"74,590",23,"185,716",214,"23,548,306","3,970,537","5,930,761",Asia
56,Croatia,"1,100,618","+1,442","15,584",+9,"1,075,058","+1,485","9,976",40,"271,020","3,837","4,683,210","1,153,210","4,061,020",Europe
57,Lebanon,"1,092,509",+352,"10,307",+4,"1,062,231","+1,837","19,971",186,"161,327","1,522","4,795,578","708,146","6,772,022",Asia
58,Cuba,"1,091,063",+778,"8,510",,"1,078,875",+774,"3,678",23,"96,430",752,"12,920,253","1,141,917","11,314,532",North America
59,Tunisia,"1,035,884",,"28,323",,N/A,N/A,N/A,42,"86,074","2,353","4,521,880","375,735","12,034,754",Africa
60,Lithuania,"1,027,462","+2,524","8,890",+9,"959,807","+3,153","58,765",66,"386,858","3,347","8,076,570","3,040,976","2,655,914",Europe
61,Nepal,"978,442",+16,"11,951",,"965,469",+75,"1,022",100,"32,558",398,"5,548,906","184,641","30,052,434",Asia
62,Slovenia,"970,541","+2,372","6,493",+6,"925,837","+2,995","38,211",44,"466,733","3,122","2,616,404","1,258,227","2,079,437",Europe
63,Belarus,"963,756","+1,049","6,829",+10,"928,536",,"28,391",,"102,051",723,"12,868,991","1,362,679","9,443,890",Europe
64,Bolivia,"902,135",+192,"21,895",+1,"838,560","+2,049","41,680",220,"75,484","1,832","2,682,016","224,412","11,951,279",South America
65,UAE,"891,588",+288,"2,302",,"868,492",+830,"20,794",,"88,283",228,"148,423,053","14,696,458","10,099,240",Asia
66,Finland,"889,626","+5,950","3,178",+34,"46,000",,"840,448",32,"160,127",572,"10,437,451","1,878,670","5,555,765",Europe
67,Uruguay,"888,639",+704,"7,161",+2,"875,335","+1,207","6,143",39,"254,277","2,049","6,011,747","1,720,211","3,494,773",South America
68,Ecuador,"859,890",,"35,421",,N/A,N/A,N/A,759,"47,478","1,956","2,470,170","136,389","18,111,201",South America
69,Costa Rica,"839,368",+831,"8,308",+8,"815,710","+1,903","15,350",57,"162,184","1,605","4,053,111","783,146","5,175,420",North America
70,Guatemala,"829,881","+1,007","17,318",+6,"803,621","+1,584","8,942",5,"44,872",936,"4,252,266","229,920","18,494,586",North America
71,Latvia,"800,687","+1,792","5,632",+16,"755,605",,"39,450",28,"432,861","3,045","7,062,678","3,818,169","1,849,755",Europe
72,Azerbaijan,"791,979",+47,"9,694",+2,"781,938",+49,347,,"76,899",941,"6,706,012","651,138","10,298,906",Asia
73,Panama,"764,831",+295,"8,170",,"754,138",+379,"2,523",10,"172,514","1,843","5,709,073","1,287,726","4,433,453",North America
74,Saudi Arabia,"750,910",+96,"9,046",+1,"734,547",+264,"7,317",106,"20,998",253,"41,558,711","1,162,115","35,761,263",Asia
75,New Zealand,"672,712","+13,537",314,+15,"572,912","+15,911","99,486",,"134,486",63,"6,922,367","1,383,892","5,002,100",Australia/Oceania
76,Sri Lanka,"661,781",+150,"16,479",+2,"637,256",+16,"8,046",,"30,680",764,"6,368,159","295,230","21,570,184",Asia
77,Paraguay,"648,353",+403,"18,731",,"624,673",,"4,949",8,"88,990","2,571","2,601,300","357,044","7,285,653",South America
78,Kuwait,"628,978",,"2,554",,"624,538",,"1,886",10,"143,572",583,"7,763,313","1,772,068","4,380,935",Asia
79,Myanmar,"611,674",+87,"19,431",+1,"589,312",,"2,931",,"11,112",353,"7,669,100","139,318","55,047,345",Asia
80,Palestine,"581,075",,"5,351",,"574,674",,"1,050",17,"109,460","1,008","3,078,533","579,919","5,308,558",Asia
81,Dominican Republic,"578,130",+92,"4,375",,"573,590",+145,165,20,"52,376",396,"3,228,620","292,499","11,038,036",North America
82,Estonia,"557,314","+1,012","2,463",+4,"482,628","+2,430","72,223",8,"419,634","1,855","3,246,905","2,444,786","1,328,094",Europe
83,Bahrain,"555,003",+534,"1,471",,"547,039","+1,000","6,493",6,"307,509",815,"9,612,317","5,325,876","1,804,833",Asia
84,Venezuela,"520,627",+130,"5,684",+1,"513,334",+95,"1,609",230,"18,400",201,"3,359,014","118,714","28,295,114",South America
85,Moldova,"513,757",+315,"11,435",+4,"499,487",+326,"2,835",59,"127,877","2,846","3,157,770","785,989","4,017,576",Europe
86,Egypt,"505,264",,"24,417",,"434,503",,"46,344",122,"4,780",231,"3,693,367","34,940","105,706,562",Africa
