#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"148,894,206","+144,157","1,426,349",+249,"126,652,895","+69,307","20,814,962","12,331",,,,,,Asia
,North America,"99,006,937","+55,105","1,464,611",+103,"94,490,829","+23,431","3,051,497","7,255",,,,,,North America
,South America,"56,981,310","+12,431","1,295,579",+42,"53,078,013","+16,644","2,607,718","10,702",,,,,,South America
,Europe,"192,983,794","+109,217","1,825,523",+474,"179,446,436","+155,109","11,711,835","8,446",,,,,,Europe
,Oceania,"7,540,617","+41,781","11,011",+20,"7,087,258","+36,925","442,348",163,,,,,,Australia/Oceania
,Africa,"11,980,490","+5,861","254,015",+10,"11,165,405","+2,482","561,070",963,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"517,388,075","+368,552","6,277,103",+898,"471,921,542","+303,898","39,189,430","39,860","66,376",805.3,,,,All
1,China,"219,625",+329,"5,174",+8,"205,270","+1,115","9,181",533,153,4,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"83,657,818","+48,647","1,024,700",+63,"80,947,924","+16,917","1,685,194","1,698","250,026","3,062","1,011,963,588","3,024,430","334,596,450",North America
3,India,"43,105,401","+2,893","524,093",+29,"42,560,905","+3,410","20,403",698,"30,677",373,"840,693,082","598,305","1,405,124,872",Asia
4,Brazil,"30,564,536","+6,006","664,189",+10,"29,629,420","+12,256","270,927","8,318","141,925","3,084","63,776,166","296,142","215,357,015",South America
5,France,"28,957,421","+29,324","146,724",+54,"27,644,164","+19,748","1,166,533","1,408","441,822","2,239","269,816,888","4,116,769","65,540,928",Europe
6,Germany,"25,345,357","+7,361","136,925",+11,"23,246,900","+40,900","1,961,532","1,279","300,728","1,625","122,332,384","1,451,500","84,279,960",Europe
7,UK,"22,133,976","+6,310","176,353",+71,"21,487,059","+30,790","470,564",253,"322,906","2,573","519,264,096","7,575,380","68,546,277",Europe
8,Russia,"18,227,666","+5,447","376,946",+118,"17,603,398","+6,682","247,322","2,300","124,804","2,581","273,400,000","1,871,958","146,050,315",Europe
9,S. Korea,"17,544,398","+40,064","23,360",+71,N/A,N/A,N/A,423,"341,657",455,"15,804,065","307,766","51,350,875",Asia
