#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"148,243,755","+121,904","1,424,905",+280,"126,233,930","+81,351","20,584,920","12,675",,,,,,Asia
,North America,"98,580,522","+74,196","1,462,631",+535,"94,309,434","+48,722","2,808,457","7,143",,,,,,North America
,South America,"56,856,347","+23,385","1,294,884",+123,"53,010,824","+35,741","2,550,639","10,765",,,,,,South America
,Europe,"191,758,900","+344,503","1,820,563",+986,"177,666,571","+594,931","12,271,766","9,132",,,,,,Europe
,Oceania,"7,281,998","+48,057","10,726",+60,"6,839,283","+48,149","431,989",179,,,,,,Australia/Oceania
,Africa,"11,913,988","+4,236","253,810",+7,"11,117,569","+10,480","542,609",968,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"514,636,231","+616,281","6,267,534","+1,991","469,178,317","+819,374","39,190,380","40,862","66,023",804.1,,,,All
1,China,"217,836",+384,"5,112",+20,"196,458","+4,271","16,266",615,151,4,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"83,295,778","+66,250","1,023,352",+449,"80,803,198","+38,969","1,469,228","1,591","248,964","3,059","1,007,292,521","3,010,708","334,569,983",North America
3,India,"43,088,401","+3,235","523,920",+31,"42,544,689","+2,802","19,792",698,"30,669",373,"838,628,250","596,914","1,404,939,670",Asia
4,Brazil,"30,482,429","+21,432","663,765",+108,"29,585,304","+30,996","233,360","8,318","141,557","3,082","63,776,166","296,170","215,336,405",South America
5,France,"28,757,765","+67,017","146,262",+120,"27,163,913","+146,246","1,447,590","1,511","438,789","2,232","269,816,888","4,116,893","65,538,961",Europe
6,Germany,"24,949,403","+158,213","136,183",+236,"22,658,600","+189,400","2,154,620","1,446","296,043","1,616","122,332,384","1,451,563","84,276,309",Europe
7,UK,"22,083,166","+11,625","175,319",+102,"21,357,549","+93,421","550,298",302,"322,187","2,558","518,291,265","7,561,724","68,541,415",Europe
8,Russia,"18,201,074","+5,466","376,292",+125,"17,563,272","+7,052","261,510","2,300","124,623","2,576","273,400,000","1,871,969","146,049,463",Europe
