#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"138,945,432","+654,199","1,400,886","+1,190","120,013,024","+250,757","17,531,522","26,953",,,,,,Asia
,North America,"96,525,296","+50,553","1,442,156",+909,"78,193,590","+204,354","16,889,550","7,692",,,,,,North America
,South America,"56,085,332","+45,056","1,287,609",+347,"51,592,339","+86,204","3,205,384","11,601",,,,,,South America
,Europe,"178,107,627","+812,065","1,770,287","+1,887","156,553,059","+647,216","19,784,281","10,656",,,,,,Europe
,Oceania,"5,368,670","+84,639","8,838",+47,"4,723,274","+79,724","636,558",133,,,,,,Australia/Oceania
,Africa,"11,755,901","+2,737","252,809",+48,"10,975,024","+4,569","528,068","1,338",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"486,788,979","+1,649,249","6,162,600","+4,428","422,051,016","+1,272,824","58,575,363","58,373","62,450",790.6,,,,All
1,China,"147,437","+1,629","4,638",,"114,636","+1,325","28,163",62,102,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,745,830","+32,163","1,006,965",+742,"65,078,974","+189,471","15,659,891","2,140","244,463","3,011","982,546,778","2,938,326","334,390,010",North America
3,India,"43,024,440","+1,225","521,159",+28,"42,489,004","+1,594","14,277","8,944","30,651",371,"788,556,935","561,778","1,403,680,300",Asia
4,Brazil,"29,916,334","+33,937","659,570",+276,"28,679,560","+61,049","577,204","8,318","139,019","3,065","63,776,166","296,363","215,196,257",South America
5,France,"25,445,532","+169,024","142,134",+149,"23,166,895","+74,654","2,136,503","1,486","388,330","2,169","254,106,036","3,877,967","65,525,582",Europe
6,UK,"21,123,587","+77,915","165,187",+213,"18,995,883","+46,061","1,962,517",365,"308,336","2,411","504,238,542","7,360,249","68,508,355",Europe
7,Germany,"20,970,297","+267,367","129,742",+305,"16,319,700","+226,800","4,520,855","2,494","248,901","1,540","104,701,826","1,242,730","84,251,487",Europe
8,Russia,"17,823,648","+20,145","368,377",+352,"16,788,291","+51,085","666,980","2,300","122,043","2,522","273,400,000","1,872,043","146,043,670",Europe
9,Turkey,"14,846,224","+14,993","97,977",+53,"14,515,495","+18,856","232,752",975,"172,786","1,140","153,504,955","1,786,547","85,922,688",Asia
10,Italy,"14,569,159","+78,790","159,224",+170,"13,125,950","+55,303","1,283,985",481,"241,585","2,640","200,421,282","3,323,368","60,306,669",Europe
11,S. Korea,"12,774,956","+424,528","15,855",+432,N/A,N/A,N/A,"1,301","248,800",309,"15,804,065","307,794","51,346,189",Asia
12,Spain,"11,522,731","+14,422","102,442",+50,"10,889,722","+14,416","530,567",492,"246,284","2,190","471,036,328","10,067,808","46,786,383",Europe
13,Vietnam,"9,483,771","+85,869","42,454",+41,"7,268,531","+114,685","2,172,786","3,635","95,925",429,"84,217,005","851,822","98,866,931",Asia
14,Argentina,"9,035,127","+2,965","127,997",+27,"8,856,717","+2,072","50,413",541,"196,760","2,787","35,371,141","770,286","45,919,497",South America
15,Netherlands,"7,833,807","+27,783","21,961",+35,"6,339,700","+28,836","1,472,146",140,"455,426","1,277","21,107,399","1,227,100","17,201,039",Europe
16,Iran,"7,159,733","+2,987","140,158",+49,"6,868,435","+5,137","151,140","1,551","83,380","1,632","49,358,909","574,818","85,868,793",Asia
17,Japan,"6,452,108","+41,473","27,913",+82,"6,008,253","+40,292","415,942",655,"51,288",222,"43,110,998","342,693","125,800,776",Asia
18,Colombia,"6,084,551",+311,"139,607",+12,"5,917,586",+252,"27,358",342,"117,396","2,694","33,899,469","654,060","51,829,270",South America
19,Indonesia,"6,009,486","+3,840","155,000",+118,"5,742,931","+7,876","111,555","2,771","21,573",556,"91,894,843","329,880","278,570,713",Asia
20,Poland,"5,957,934","+5,736","115,040",+101,"5,315,444","+11,174","527,450",323,"157,725","3,045","35,591,635","942,219","37,774,271",Europe
21,Mexico,"5,654,311","+2,758","322,845",+84,"4,953,318","+2,632","378,148","4,798","43,065","2,459","15,543,430","118,384","131,296,557",North America
22,Ukraine,"4,964,242","+2,525","107,918",+24,N/A,N/A,N/A,177,"114,713","2,494","19,521,252","451,095","43,275,259",Europe
23,Australia,"4,453,921","+67,379","5,962",+34,"3,966,973","+59,055","480,986",100,"171,198",229,"66,410,932","2,552,681","26,016,151",Australia/Oceania
24,Malaysia,"4,183,359","+15,941","34,939",+33,"3,941,829","+21,186","206,591",275,"126,425","1,056","56,113,819","1,695,816","33,089,565",Asia
25,Israel,"3,904,305","+10,164","10,485",,"3,782,095",,"111,725",278,"418,647","1,124","41,373,364","4,436,346","9,326,000",Asia
26,Belgium,"3,819,762","+12,315","30,770",+23,"3,518,510",,"270,482",163,"327,100","2,635","32,719,965","2,801,931","11,677,649",Europe
27,Czechia,"3,808,151","+8,909","39,663",+27,"3,700,517","+3,551","67,971",94,"354,456","3,692","54,650,278","5,086,750","10,743,654",Europe
28,Austria,"3,805,155","+34,743","15,812",+48,"3,415,869","+44,120","373,474",245,"418,329","1,738","175,247,380","19,266,253","9,096,080",Europe
29,South Africa,"3,717,067","+1,677","100,020",+44,"3,603,348","+1,097","13,699",546,"61,324","1,650","23,809,344","392,806","60,613,446",Africa
30,Philippines,"3,677,918",+302,"59,125",+87,"3,578,387",+954,"40,406",289,"32,802",527,"28,914,641","257,877","112,125,898",Asia
31,Thailand,"3,600,787","+25,389","25,048",+87,"3,331,370","+26,084","244,369","1,496","51,362",357,"17,270,775","246,354","70,105,647",Asia
32,Peru,"3,546,696",+613,"212,207",+28,N/A,N/A,N/A,477,"105,015","6,283","28,675,909","849,072","33,773,235",South America
33,Portugal,"3,534,003",,"21,545",,N/A,N/A,N/A,64,"348,355","2,124","39,970,994","3,940,038","10,144,824",Europe
34,Switzerland,"3,472,878","+13,566","13,708",+7,"2,779,449","+9,320","679,721",141,"396,218","1,564","20,248,185","2,310,098","8,765,075",Europe
35,Canada,"3,472,237","+11,552","37,565",+59,"3,284,362","+3,700","150,310",384,"90,612",980,"59,376,958","1,549,518","38,319,629",North America
36,Chile,"3,464,425","+5,926","56,467",+3,"3,005,898","+19,473","402,060",627,"178,555","2,910","35,418,380","1,825,449","19,402,555",South America
37,Greece,"3,009,333","+22,451","27,454",+62,"2,729,095","+23,570","252,784",348,"291,201","2,657","73,787,436","7,140,116","10,334,207",Europe
38,Denmark,"2,908,215","+4,163","5,668",+83,"2,829,905","+9,086","72,642",22,"499,025",973,"126,783,801","21,755,002","5,827,800",Europe
39,Romania,"2,850,598","+3,583","65,002",+16,"2,606,660",,"178,936",395,"149,923","3,419","22,062,139","1,160,326","19,013,746",Europe
40,Sweden,"2,487,852","+1,069","18,331",+1,"2,428,639","+1,089","40,882",32,"243,688","1,796","18,382,831","1,800,621","10,209,164",Europe
41,Iraq,"2,319,209",+344,"25,163",+3,"2,281,689",+537,"12,357",45,"55,488",602,"18,326,076","438,458","41,796,680",Asia
42,Serbia,"1,974,652","+1,892","15,788",+9,"1,923,371","+6,303","35,493",38,"227,601","1,820","9,174,040","1,057,410","8,675,953",Europe
43,Bangladesh,"1,951,504",+72,"29,122",+2,"1,880,420",+876,"41,962","1,248","11,647",174,"13,814,637","82,450","167,552,543",Asia
44,Hungary,"1,849,217","+2,906","45,430",+40,"1,703,932","+3,204","99,855",55,"192,275","4,724","11,103,060","1,154,459","9,617,543",Europe
45,Slovakia,"1,703,550","+6,790","19,334",+23,"1,578,357","+11,509","105,859",176,"311,762","3,538","6,860,089","1,255,448","5,464,257",Europe
46,Jordan,"1,689,314",,"14,003",,"1,668,852",,"6,459",276,"162,749","1,349","16,575,546","1,596,890","10,379,889",Asia
47,Georgia,"1,647,814",+571,"16,739",+9,"1,623,453","+1,021","7,622",,"414,461","4,210","16,367,795","4,116,852","3,975,804",Asia
48,Pakistan,"1,524,549",+194,"30,349",+2,"1,485,609",+136,"8,591",432,"6,676",133,"27,442,945","120,167","228,374,044",Asia
49,Ireland,"1,454,182","+5,370","6,740",+10,"1,293,692","+2,268","153,750",49,"288,870","1,339","11,803,237","2,344,689","5,034,032",Europe
50,Norway,"1,404,207","+1,988","2,518",,N/A,N/A,N/A,20,"255,533",458,"11,002,430","2,002,183","5,495,218",Europe
51,Kazakhstan,"1,305,114",+32,"13,659",,"1,289,315",+564,"2,140",528,"68,086",713,"11,575,012","603,853","19,168,606",Asia
52,Morocco,"1,163,214",+105,"16,060",+1,"1,146,532",+73,622,293,"30,876",426,"11,237,010","298,270","37,673,952",Africa
53,Hong Kong,"1,150,769","+6,981","7,706",+135,N/A,N/A,N/A,115,"151,355","1,014","36,260,319","4,769,135","7,603,123",Asia
54,Bulgaria,"1,137,780","+1,176","36,512",+14,"917,376","+4,301","183,892",214,"165,926","5,325","9,588,895","1,398,375","6,857,170",Europe
55,Croatia,"1,097,409","+2,294","15,563",+15,"1,071,968",+770,"9,878",37,"270,225","3,832","4,672,242","1,150,490","4,061,088",Europe
56,Lebanon,"1,091,777",+364,"10,297",+5,"1,058,414","+3,394","23,066",186,"161,217","1,521","4,795,578","708,137","6,772,105",Asia
57,Singapore,"1,090,823","+5,729","1,263",+5,"1,025,578",,"63,982",26,"183,930",213,"23,548,306","3,970,621","5,930,636",Asia
58,Cuba,"1,089,452",+814,"8,510",,"1,077,199",+917,"3,743",23,"96,288",752,"12,920,253","1,141,915","11,314,551",North America
59,Tunisia,"1,035,884",,"28,323",,N/A,N/A,N/A,42,"86,077","2,354","4,521,880","375,746","12,034,416",Africa
60,Lithuania,"1,021,989","+3,148","8,872",+11,"952,151","+4,391","60,966",49,"384,783","3,340","8,057,486","3,033,673","2,656,017",Europe
61,Nepal,"978,402",+25,"11,951",,"965,305",+77,"1,146",100,"32,558",398,"5,542,767","184,445","30,051,000",Asia
62,Slovenia,"965,388","+3,103","6,484",+4,"919,739","+2,941","39,165",50,"464,255","3,118","2,613,326","1,256,747","2,079,437",Europe
63,Belarus,"961,389","+1,144","6,810",+11,"928,536",,"26,043",,"101,800",721,"12,840,471","1,359,658","9,443,899",Europe
64,Bolivia,"901,752",+165,"21,894",,"834,747","+1,736","45,111",220,"75,455","1,832","2,682,016","224,421","11,950,844",South America
65,UAE,"890,987",+288,"2,302",,"866,872",+770,"21,813",,"88,226",228,"147,804,034","14,635,636","10,098,914",Asia
66,Uruguay,"887,028","+1,048","7,156",,"872,762","+1,495","7,110",42,"253,818","2,048","5,995,538","1,715,589","3,494,740",South America
67,Finland,"874,135","+9,320","3,105",+50,"46,000",,"825,030",32,"157,339",559,"10,404,458","1,872,740","5,555,742",Europe
68,Ecuador,"859,890",,"35,421",,N/A,N/A,N/A,759,"47,480","1,956","2,470,170","136,395","18,110,469",South America
69,Costa Rica,"837,828",+742,"8,298",+10,"811,186","+4,566","18,344",57,"161,890","1,603","4,053,111","783,166","5,175,293",North America
70,Guatemala,"827,596","+1,535","17,300",+5,"800,420","+2,082","9,876",5,"44,750",935,"4,231,490","228,807","18,493,679",North America
71,Latvia,"796,890","+2,443","5,608",+12,"745,248","+6,244","46,034",30,"430,795","3,032","7,048,269","3,810,264","1,849,811",Europe
72,Azerbaijan,"791,876",+62,"9,691",+4,"781,865",+46,320,,"76,891",941,"6,697,184","650,297","10,298,657",Asia
73,Panama,"764,243",+310,"8,168",,"753,552",+223,"2,523",10,"172,388","1,842","5,696,867","1,285,027","4,433,267",North America
74,Saudi Arabia,"750,707",+118,"9,043",+1,"734,041",+230,"7,623",118,"20,993",253,"41,524,968","1,161,220","35,759,781",Asia
75,Sri Lanka,"661,453",+168,"16,473",+4,"637,223",+36,"7,757",,"30,666",764,"6,368,159","295,233","21,569,939",Asia
76,Paraguay,"647,950",,"18,664",,"624,673",,"4,613",38,"88,938","2,562","2,584,332","354,727","7,285,413",South America
77,New Zealand,"643,875","+15,977",278,+12,"538,532","+20,127","105,065",,"128,721",56,"6,915,223","1,382,464","5,002,100",Australia/Oceania
78,Kuwait,"628,978",,"2,554",,"624,538",,"1,886",10,"143,577",583,"7,763,313","1,772,137","4,380,763",Asia
79,Myanmar,"611,448",+173,"19,430",,"589,001",+331,"3,017",,"11,108",353,"7,643,491","138,856","55,046,350",Asia
