#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"141,716,460","+439,966","1,406,555",+746,"121,767,037","+449,977","18,542,868","24,724",,,,,,Asia
,North America,"96,797,571","+47,993","1,446,006",+788,"79,163,361","+144,184","16,188,204","7,324",,,,,,North America
,South America,"56,260,722","+34,014","1,289,432",+266,"51,964,760","+82,083","3,006,530","11,330",,,,,,South America
,Europe,"181,503,844","+660,811","1,783,090","+2,078","160,398,476","+843,056","19,322,278","10,448",,,,,,Europe
,Oceania,"5,780,669","+74,462","9,433",+68,"5,145,117","+91,508","626,119",159,,,,,,Australia/Oceania
,Africa,"11,784,585","+13,302","253,075",+31,"11,014,682","+11,516","516,828","1,341",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"493,844,572","+1,270,548","6,187,606","+3,977","429,454,139","+1,622,324","58,202,827","55,326","63,356",793.8,,,,All
1,China,"157,378","+1,235","4,638",,"127,680","+1,899","25,060",63,109,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,923,308","+29,696","1,010,079",+698,"65,974,970","+127,988","14,938,259","1,767","244,970","3,020","987,410,535","2,952,590","334,421,770",North America
3,India,"43,030,925","+1,086","521,518",+72,"42,497,567","+1,198","11,840","8,944","30,651",371,"791,546,038","563,818","1,403,902,542",Asia
4,Brazil,"30,040,129","+27,331","660,586",+205,"28,892,353","+57,867","487,190","8,318","139,578","3,069","63,776,166","296,329","215,220,989",South America
5,France,"26,228,521","+203,021","142,784",+129,"23,615,792","+108,683","2,469,945","1,541","400,265","2,179","254,106,036","3,877,827","65,527,943",Europe
6,Germany,"21,959,130","+190,104","131,183",+470,"17,407,700","+251,100","4,420,247","2,494","260,624","1,557","104,701,826","1,242,665","84,255,868",Europe
7,UK,"21,433,554","+52,477","168,862",+374,"19,336,346","+73,405","1,928,346",351,"312,834","2,465","507,870,986","7,412,640","68,514,189",Europe
8,Russia,"17,926,104","+13,947","370,311",+316,"17,035,336","+37,459","520,457","2,300","122,744","2,536","273,400,000","1,872,030","146,044,692",Europe
9,Italy,"14,966,665","+88,780","160,823",+195,"13,531,567","+88,637","1,274,275",471,"248,182","2,667","204,235,935","3,386,704","60,305,218",Europe
10,Turkey,"14,919,591","+12,213","98,234",+37,"14,598,047","+13,568","223,310",975,"173,610","1,143","154,964,245","1,803,219","85,937,557",Asia
11,S. Korea,"14,267,401","+265,995","17,662",+209,N/A,N/A,N/A,"1,108","277,863",344,"15,804,065","307,790","51,346,910",Asia
12,Spain,"11,578,653","+6,769","102,747",+50,"10,997,681","+22,350","478,225",420,"247,478","2,196","471,036,328","10,067,744","46,786,679",Europe
13,Vietnam,"9,931,340","+55,043","42,681",+39,"8,147,290","+303,455","1,741,369","2,055","100,437",432,"84,742,786","857,016","98,881,274",Asia
14,Argentina,"9,045,326","+2,228","128,106",+20,"8,872,658","+2,116","44,562",468,"196,953","2,789","35,510,477","773,206","45,926,289",South America
15,Netherlands,"7,935,057","+14,032","22,037",+14,"6,685,179","+66,792","1,227,841",120,"461,296","1,281","21,107,399","1,227,056","17,201,659",Europe
16,Iran,"7,175,780","+4,615","140,407",+39,"6,895,961","+5,193","139,412","1,440","83,550","1,635","49,358,909","574,700","85,886,416",Asia
17,Japan,"6,735,920","+33,834","28,327",+41,"6,245,827","+42,305","461,766",508,"53,547",225,"43,901,851","348,997","125,794,456",Asia
18,Colombia,"6,086,484",+251,"139,678",+8,"5,919,709",+324,"27,097",342,"117,413","2,695","34,019,306","656,260","51,838,155",South America
19,Indonesia,"6,023,924","+2,282","155,421",+72,"5,783,299","+7,241","85,204","2,771","21,621",558,"92,541,687","332,145","278,618,099",Asia
20,Poland,"5,971,986","+1,879","115,395",+50,"5,333,566",+32,"523,025",268,"158,099","3,055","35,766,808","946,873","37,773,594",Europe
21,Mexico,"5,666,921",+706,"323,235",+12,"4,965,840","+1,420","377,846","4,798","43,154","2,461","15,602,608","118,815","131,318,750",North America
