#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"146,255,730","+216,108","1,417,377",+553,"124,565,972","+120,805","20,272,381","13,467",,,,,,Asia
,North America,"97,638,697","+71,222","1,455,212",+657,"93,722,647","+45,454","2,460,838","7,052",,,,,,North America
,South America,"56,616,959","+36,669","1,292,625",+243,"52,671,583","+50,230","2,652,751","10,966",,,,,,South America
,Europe,"187,907,217","+544,597","1,804,112","+1,916","170,781,601","+755,837","15,321,504","9,151",,,,,,Europe
,Oceania,"6,648,606","+63,684","10,091",+47,"6,162,367","+67,707","476,148",193,,,,,,Australia/Oceania
,Africa,"11,849,500","+17,203","253,596",+32,"11,076,035","+14,812","519,869",957,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"506,917,430","+949,483","6,233,028","+3,448","458,980,911","+1,054,845","41,703,491","41,786","65,033",799.6,,,,All
1,China,"191,112","+2,761","4,655",+7,"155,684","+2,365","30,773",116,133,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"82,514,572","+56,518","1,017,443",+502,"80,320,797","+36,111","1,176,332","1,514","246,679","3,042","998,630,495","2,985,432","334,501,170",North America
3,India,"43,049,974","+2,380","522,062",+56,"42,514,479","+1,231","13,433",698,"30,652",372,"832,927,938","593,060","1,404,458,147",Asia
4,Brazil,"30,311,969","+32,699","662,470",+204,"29,340,802","+41,954","308,697","8,318","140,801","3,077","63,776,166","296,244","215,282,819",South America
5,France,"27,972,010","+155,711","144,614",+227,"25,470,456","+169,129","2,356,940","1,541","426,833","2,207","260,504,402","3,975,112","65,533,845",Europe
6,Germany,"23,775,588","+187,233","133,894",+361,"20,609,400","+261,500","3,032,294","1,980","282,146","1,589","122,332,384","1,451,727","84,266,819",Europe
7,UK,"21,901,818","+25,192","172,386",+508,"20,581,700","+82,303","1,147,732",336,"319,600","2,516","514,193,147","7,503,317","68,528,774",Europe
8,Russia,"18,101,986","+9,195","374,171",+223,"17,423,428","+16,200","304,387","2,300","123,946","2,562","273,400,000","1,871,997","146,047,248",Europe
9,S. Korea,"16,583,220","+111,280","21,520",+166,N/A,N/A,N/A,808,"322,953",419,"15,804,065","307,779","51,348,712",Asia
10,Italy,"15,859,417","+100,823","162,098",+205,"14,489,444","+101,614","1,207,875",413,"263,002","2,688","210,060,724","3,483,502","60,301,588",Europe
11,Turkey,"15,007,364","+3,668","98,628",+18,"14,798,294","+17,857","110,442",975,"174,556","1,147","157,670,085","1,833,912","85,974,730",Asia
12,Spain,"11,753,274","+16,381","103,783",+62,"11,234,391","+13,410","415,100",345,"251,206","2,218","471,036,328","10,067,585","46,787,418",Europe
13,Vietnam,"10,521,135","+13,295","42,982",+7,"9,068,234","+2,540","1,409,919",896,"106,363",435,"85,724,870","866,633","98,917,131",Asia
14,Argentina,"9,060,923",,"128,344",,"8,895,999",,"36,580",412,"197,220","2,794","35,716,069","777,395","45,943,270",South America
15,Netherlands,"8,029,978","+3,498","22,179",+11,"7,521,150","+31,909","486,649",107,"466,772","1,289","21,107,399","1,226,946","17,203,208",Europe
16,Japan,"7,440,164","+37,631","29,102",+53,"6,920,097","+45,082","490,965",214,"59,153",231,"46,045,240","366,082","125,778,658",Asia
17,Iran,"7,212,395","+1,607","140,896",+19,"6,954,941","+2,934","116,558","1,225","83,933","1,640","50,079,995","582,797","85,930,475",Asia
18,Colombia,"6,090,246",+248,"139,755",+1,"5,923,619",+176,"26,872",342,"117,435","2,695","34,306,661","661,520","51,860,369",South America
19,Indonesia,"6,042,010",+741,"155,974",+37,"5,840,945","+4,635","45,091","2,771","21,676",560,"94,510,650","339,068","278,736,566",Asia
20,Poland,"5,987,340","+1,526","115,869",+31,"5,334,163",+64,"537,308",268,"158,513","3,068","35,975,804","952,449","37,771,902",Europe
21,Mexico,"5,729,270","+1,438","323,973",+24,"5,030,349","+1,232","374,948","4,798","43,610","2,466","15,728,496","119,723","131,374,233",North America
22,Australia,"5,509,313","+51,325","6,842",+35,"5,131,262","+57,730","371,209",161,"211,627",263,"68,517,394","2,631,932","26,033,121",Australia/Oceania
23,Ukraine,"4,995,390","+1,144","108,286",+18,N/A,N/A,N/A,177,"115,473","2,503","19,521,252","451,251","43,260,263",Europe
24,Malaysia,"4,409,202","+6,968","35,465",+16,"4,283,013","+8,267","90,724",97,"133,155","1,071","58,132,383","1,755,557","33,113,358",Asia
25,Thailand,"4,084,299","+20,455","27,266",+128,"3,865,293","+25,933","191,740","1,496","58,251",389,"17,270,775","246,318","70,115,668",Asia
26,Austria,"4,072,410","+7,571","17,057",+31,"3,945,134","+14,656","110,219",138,"447,566","1,875","181,007,797","19,893,102","9,099,023",Europe
27,Israel,"4,044,994","+4,050","10,658",+11,"3,941,841",,"92,495",220,"433,733","1,143","41,373,364","4,436,346","9,326,000",Asia
28,Belgium,"4,011,109","+6,602","31,304",+14,"3,683,057","+6,661","296,748",181,"343,401","2,680","33,313,880","2,852,085","11,680,536",Europe
29,Czechia,"3,886,906","+3,585","40,033",+12,"3,823,730","+1,745","23,143",60,"361,748","3,726","55,054,194","5,123,804","10,744,790",Europe
30,South Africa,"3,746,424","+2,842","100,211",+16,"3,630,033","+1,257","16,180",175,"61,765","1,652","24,234,233","399,533","60,656,348",Africa
31,Portugal,"3,719,485",,"21,993",,N/A,N/A,N/A,61,"366,700","2,168","40,748,372","4,017,339","10,143,125",Europe
32,Philippines,"3,683,731",+364,"59,990",+8,"3,605,879","+1,309","17,862",289,"32,829",535,"29,336,384","261,443","112,209,591",Asia
33,Canada,"3,664,699","+9,896","38,542",+113,"3,409,765","+5,893","216,392",426,"95,588","1,005","60,442,165","1,576,536","38,338,595",North America
34,Switzerland,"3,579,867",,"13,816",+3,"3,305,310","+12,279","260,741",90,"408,255","1,576","20,666,182","2,356,812","8,768,701",Europe
35,Peru,"3,557,869",+730,"212,704",+28,N/A,N/A,N/A,353,"105,264","6,293","29,509,747","873,080","33,799,595",South America
36,Chile,"3,535,534","+2,885","57,283",+8,"3,343,870","+7,550","134,381",305,"182,132","2,951","36,543,862","1,882,544","19,411,960",South America
37,Greece,"3,259,613","+7,365","28,765",+64,"3,123,776","+14,714","107,072",291,"315,509","2,784","78,430,601","7,591,552","10,331,300",Europe
38,Denmark,"2,954,428","+2,177","6,030",+11,"2,921,727","+2,989","26,671",17,"506,853","1,034","127,100,065","21,804,904","5,828,967",Europe
39,Romania,"2,885,221","+1,107","65,384",+17,"2,606,660",,"213,177",233,"151,802","3,440","22,534,694","1,185,636","19,006,423",Europe
40,Sweden,"2,498,388",+666,"18,656",,"2,459,356",+342,"20,376",24,"244,634","1,827","18,471,631","1,808,680","10,212,771",Europe
41,Iraq,"2,323,707",+199,"25,201",+1,"2,294,565",+547,"3,941",29,"55,527",602,"18,439,137","440,615","41,848,594",Asia
42,Serbia,"1,998,776",+921,"15,940",+4,"1,963,793","+1,498","19,043",22,"230,435","1,838","9,405,605","1,084,352","8,673,943",Europe
43,Bangladesh,"1,952,440",+28,"29,127",+1,"1,892,072",+546,"31,241","1,283","11,646",174,"13,941,498","83,160","167,646,612",Asia
44,Hungary,"1,885,865","+1,407","46,000",+29,"1,763,911","+3,134","75,954",47,"196,115","4,784","11,278,894","1,172,913","9,616,141",Europe
45,Slovakia,"1,768,045","+2,083","19,790",+17,"1,717,542","+5,205","30,713",109,"323,557","3,622","7,032,606","1,286,984","5,464,408",Europe
46,Jordan,"1,694,216",,"14,048",,"1,678,941",,"1,227",124,"163,130","1,353","16,670,254","1,605,117","10,385,696",Asia
47,Georgia,"1,653,692",+232,"16,794",,"1,634,591",+117,"2,307",,"415,985","4,225","16,749,333","4,213,281","3,975,366",Asia
48,Pakistan,"1,527,486",+75,"30,368",+4,"1,493,796",+89,"3,322",215,"6,681",133,"27,965,862","122,324","228,620,548",Asia
49,Ireland,"1,506,963","+1,395","6,981",+17,"1,383,213","+3,992","116,769",42,"299,167","1,386","12,003,922","2,383,057","5,037,195",Europe
50,Norway,"1,421,691",+941,"2,871",,N/A,N/A,N/A,20,"258,600",522,"11,002,430","2,001,298","5,497,647",Europe
51,Kazakhstan,"1,305,417",+11,"13,660",,"1,290,904",+8,853,24,"68,056",712,"11,575,012","603,447","19,181,490",Asia
52,Hong Kong,"1,199,706",+668,"9,186",+10,N/A,N/A,N/A,115,"157,719","1,208","44,972,952","5,912,352","7,606,609",Asia
53,Singapore,"1,170,970","+3,472","1,319",+2,"1,102,269","+3,127","67,382",8,"197,357",222,"23,712,995","3,996,614","5,933,272",Asia
54,Morocco,"1,164,507",+40,"16,064",,"1,147,911",+108,532,293,"30,890",426,"11,237,010","298,071","37,699,047",Africa
55,Bulgaria,"1,151,620",+609,"36,827",+11,"957,834","+2,470","156,959",116,"168,017","5,373","9,777,999","1,426,573","6,854,186",Europe
56,Croatia,"1,114,141",+478,"15,757",+5,"1,094,761",+313,"3,623",20,"274,443","3,881","4,749,397","1,169,905","4,059,644",Europe
