#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"145,809,281","+147,568","1,416,371",+490,"124,203,756","+128,362","20,189,154","13,684",,,,,,Asia
,North America,"97,486,344","+38,271","1,453,653",+162,"93,607,699","+49,775","2,424,992","6,958",,,,,,North America
,South America,"56,559,628","+10,586","1,292,153",+99,"52,573,223","+49,331","2,694,252","11,022",,,,,,South America
,Europe,"187,059,763","+121,323","1,800,259",+706,"169,134,385","+730,271","16,125,119","9,212",,,,,,Europe
,Oceania,"6,537,166","+40,610","10,016",+19,"6,027,101","+56,266","500,049",174,,,,,,Australia/Oceania
,Africa,"11,829,514","+1,139","253,519",+39,"11,059,920",+820,"516,075",964,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"505,282,417","+359,497","6,225,986","+1,515","456,606,790","+1,014,825","42,449,641","42,014","64,823",798.7,,,,All
1,China,"185,035","+2,742","4,641",+3,"151,407","+1,637","28,987",71,129,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"82,397,085","+29,612","1,016,176",+128,"80,244,093","+41,383","1,136,816","1,438","246,336","3,038","996,639,125","2,979,573","334,490,583",North America
3,India,"43,045,527","+1,247","521,996",+31,"42,511,701",+928,"11,830",698,"30,651",372,"832,104,846","592,505","1,404,384,066",Asia
4,Brazil,"30,261,088","+8,470","662,076",+65,"29,262,483","+35,432","336,529","8,318","140,570","3,075","63,776,166","296,255","215,274,575",South America
5,France,"27,790,834","+19,810","144,205",+48,"25,132,351","+217,445","2,514,278","1,541","424,074","2,200","260,504,402","3,975,160","65,533,058",Europe
6,Germany,"23,457,596","+19,303","133,437",+8,"20,085,800","+205,500","3,238,359","1,980","278,378","1,584","122,332,384","1,451,752","84,265,358",Europe
7,UK,"21,850,464","+19,847","171,781",+97,"20,306,336","+109,212","1,372,347",355,"318,860","2,507","513,342,915","7,491,123","68,526,830",Europe
8,Russia,"18,084,151","+9,434","373,713",+213,"17,390,465","+14,324","319,973","2,300","123,824","2,559","273,400,000","1,872,001","146,046,907",Europe
9,S. Korea,"16,353,495","+47,743","21,224",+132,N/A,N/A,N/A,850,"318,481",413,"15,804,065","307,781","51,348,472",Asia
10,Italy,"15,730,788","+18,492","161,766",+79,"14,352,067","+27,704","1,216,955",411,"260,866","2,683","209,276,026","3,470,462","60,302,072",Europe
11,Turkey,"14,999,479","+4,542","98,587",+19,"14,763,876","+15,624","137,016",975,"174,474","1,147","157,348,707","1,830,279","85,969,774",Asia
12,Spain,"11,726,222","+10,668","103,656",+65,"11,206,990","+14,381","415,576",368,"250,628","2,215","471,036,328","10,067,607","46,787,320",Europe
13,Vietnam,"10,475,819","+12,012","42,957",+13,"8,941,064","+4,218","1,491,798","1,008","105,910",434,"85,703,689","866,461","98,912,350",Asia
14,Argentina,"9,060,923",,"128,344",,"8,895,999",,"36,580",412,"197,230","2,794","35,716,069","777,433","45,941,005",South America
