#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"146,832,945","+187,010","1,419,129",+583,"125,032,782","+121,132","20,381,034","13,105",,,,,,Asia
,North America,"97,837,375","+45,053","1,456,563",+172,"93,864,436","+39,406","2,516,376","7,002",,,,,,North America
,South America,"56,664,947","+10,886","1,293,023",+87,"52,722,246","+20,777","2,649,678","10,932",,,,,,South America
,Europe,"189,067,899","+277,714","1,809,313",+717,"172,454,781","+366,783","14,803,805","10,470",,,,,,Europe
,Oceania,"6,823,196","+49,994","10,269",+48,"6,329,767","+46,352","483,160",169,,,,,,Australia/Oceania
,Africa,"11,864,495","+4,504","253,696",+15,"11,081,523",+778,"529,276",957,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"509,091,578","+575,161","6,242,008","+1,622","461,486,241","+595,228","41,363,329","42,635","65,312",800.8,,,,All
1,China,"199,074","+2,988","4,686",+12,"163,726","+3,127","30,662",237,138,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"82,668,771","+36,930","1,018,391",+97,"80,434,913","+32,660","1,215,467","1,465","247,129","3,044","1,000,292,726","2,990,259","334,517,050",North America
3,India,"43,057,545","+2,593","522,193",+44,"42,519,479","+1,755","15,873",698,"30,655",372,"834,281,170","593,977","1,404,569,267",Asia
4,Brazil,"30,345,654","+6,957","662,663",+45,"29,364,400","+11,002","318,591","8,318","140,949","3,078","63,776,166","296,227","215,295,185",South America
5,France,"28,244,977","+80,571","145,020",+75,"25,852,907","+102,120","2,247,050","1,677","430,991","2,213","266,484,045","4,066,284","65,535,026",Europe
6,Germany,"24,109,433","+89,665","134,624",+153,"21,179,400","+121,400","2,795,409","1,980","286,101","1,598","122,332,384","1,451,689","84,269,009",Europe
7,UK,"21,933,206",,"173,352",,"20,714,072",,"1,045,782",339,"320,045","2,530","514,985,782","7,514,564","68,531,691",Europe
8,Russia,"18,128,691","+8,829","374,734",+171,"17,464,120","+13,030","289,837","2,300","124,129","2,566","273,400,000","1,871,990","146,047,759",Europe
9,S. Korea,"16,830,469","+75,414","22,024",+151,N/A,N/A,N/A,738,"327,766",429,"15,804,065","307,777","51,349,072",Asia
10,Italy,"16,079,794","+71,105","162,609",+143,"14,684,371","+61,778","1,232,814",409,"266,659","2,697","211,365,630","3,505,184","60,300,862",Europe
11,Turkey,"15,016,270","+2,654","98,676",+16,"14,854,475","+17,524","63,119",975,"174,644","1,148","158,110,923","1,838,880","85,982,165",Asia
12,Spain,"11,786,036",,"103,908",,"11,261,340",,"420,788",339,"251,905","2,221","471,036,328","10,067,554","46,787,566",Europe
13,Vietnam,"10,554,689","+10,365","43,004",+6,"9,081,494","+2,229","1,430,191",685,"106,695",435,"85,786,808","867,196","98,924,302",Asia
14,Argentina,"9,060,923",,"128,344",,"8,895,999",,"36,580",412,"197,205","2,793","35,716,069","777,338","45,946,666",South America
15,Netherlands,"8,037,639","+2,036","22,216",+10,"7,604,434",,"410,989",94,"467,209","1,291","21,107,399","1,226,923","17,203,518",Europe
16,Japan,"7,577,841","+42,808","29,257",+56,"7,078,090","+50,424","470,494",203,"60,249",233,"46,582,691","370,364","125,775,499",Asia
17,Iran,"7,215,512",+608,"140,962",+32,"6,963,991","+3,021","110,559","1,087","83,961","1,640","50,079,995","582,737","85,939,287",Asia
18,Colombia,"6,091,094",+291,"139,771",+6,"5,924,433",+290,"26,890",342,"117,442","2,695","34,355,022","662,396","51,864,812",South America
19,Indonesia,"6,043,768",+522,"156,067",+27,"5,868,251","+2,082","19,450","2,771","21,681",560,"94,877,499","340,355","278,760,259",Asia
20,Poland,"5,990,853","+1,240","115,948",+22,"5,334,340",+67,"540,565","1,588","158,607","3,070","36,020,113","953,630","37,771,563",Europe
21,Mexico,"5,732,712","+1,077","324,060",+27,"5,033,238",+882,"375,414","4,798","43,633","2,466","15,755,813","119,921","131,385,329",North America
