#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"120,210,961","+662,895","1,358,458","+1,960","109,432,403","+347,496","9,420,100","31,211",,,,,,Asia
,North America,"95,311,722","+50,777","1,415,194",+931,"67,214,706","+188,769","26,681,822","12,328",,,,,,North America
,South America,"54,695,120","+88,994","1,262,482",+947,"48,861,714","+126,908","4,570,924","13,037",,,,,,South America
,Europe,"159,719,585","+580,492","1,722,836","+1,958","138,698,786","+796,600","19,297,963","13,579",,,,,,Europe
,Africa,"11,568,734","+5,577","250,060",+70,"10,696,009","+7,250","622,665","1,701",,,,,,Africa
,Oceania,"3,799,119","+42,614","8,022",+52,"3,356,545","+24,940","434,552",158,,,,,,Australia/Oceania
,,721,,15,,706,,0,0,,,,,,
,World,"445,305,962","+1,431,349","6,017,067","+5,918","378,260,869","+1,491,963","61,028,026","72,014","57,129",771.9,,,,All
1,China,"110,539",+281,"4,636",,"102,438",+120,"3,465",14,77,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"80,927,735","+31,539","984,767",+510,"54,596,689","+165,814","25,346,279","6,320","242,112","2,946","956,472,945","2,861,484","334,257,677",North America
3,India,"42,962,953","+5,476","515,063",+155,"42,388,475","+9,754","59,415","8,944","30,628",367,"772,824,246","550,933","1,402,754,293",Asia
4,Brazil,"29,033,052","+58,737","651,988",+645,"26,982,294","+72,813","1,398,770","8,318","134,979","3,031","63,776,166","296,505","215,093,207",South America
5,France,"23,011,998","+53,678","139,243",+120,"21,569,704","+86,381","1,303,051","2,484","351,244","2,125","246,629,975","3,764,438","65,515,745",Europe
6,UK,"19,119,181",,"162,008",,"17,537,214",,"1,419,959",264,"279,177","2,366","485,037,295","7,082,486","68,484,046",Europe
7,Russia,"16,861,793","+86,769","355,537",+750,"14,418,916","+155,725","2,087,340","2,300","115,461","2,435","273,400,000","1,872,097","146,039,410",Europe
8,Germany,"15,723,907","+144,427","124,670",+153,"12,033,600","+135,100","3,565,637","2,494","186,671","1,480","104,701,826","1,242,999","84,233,236",Europe
9,Turkey,"14,326,217","+32,389","95,379",+174,"13,694,075","+57,894","536,763","1,011","166,854","1,111","145,746,122","1,697,471","85,860,733",Asia
10,Italy,"12,991,055","+40,795","155,782",+173,"11,815,610","+46,147","1,019,663",609,"215,395","2,583","189,484,157","3,141,695","60,312,718",Europe
11,Spain,"11,112,427","+11,999","100,479",+48,"9,938,647","+77,633","1,073,301",851,"237,520","2,148","471,036,328","10,068,073","46,785,150",Europe
12,Argentina,"8,934,328","+4,430","126,708",+84,"8,729,665","+9,649","77,955","1,009","194,685","2,761","34,473,709","751,205","45,891,196",South America
13,Iran,"7,084,306","+4,089","137,747",+154,"6,719,004","+9,873","227,555","3,983","82,572","1,606","47,647,542","555,363","85,795,361",Asia
14,Netherlands,"6,640,403","+67,208","21,608",+9,"4,821,136","+91,957","1,797,659",159,"386,105","1,256","21,107,399","1,227,284","17,198,457",Europe
15,Colombia,"6,070,616","+1,191","139,037",+53,"5,899,197","+1,614","32,382",342,"117,211","2,685","33,325,965","643,455","51,792,246",South America
16,Poland,"5,734,042","+12,738","112,535",+199,"5,115,918","+5,901","505,589",637,"151,786","2,979","34,029,943","900,809","37,777,092",Europe
17,Indonesia,"5,723,858","+30,156","149,918",+322,"5,073,522","+46,669","500,418","2,911","20,562",539,"86,750,007","311,632","278,373,269",Asia
18,Mexico,"5,554,392","+9,748","319,604",+308,"4,832,173","+10,770","402,615","4,798","42,334","2,436","15,198,795","115,841","131,204,086",North America
19,Japan,"5,274,596","+64,333","24,604",+255,"4,579,176","+79,697","670,816","1,399","41,919",196,"39,747,311","315,888","125,827,106",Asia
