"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,130083365,1002841.0,1379559.0,1912.0,114100367.0,360183.0,14603439.0,28743.0,27871.705324484352,295.584773085631,1979265708.0,424078.1330666907,4667219443.0,Asia,2022-03-17
North America,95956105,61183.0,1429492.0,1373.0,69727158.0,219241.0,24799455.0,9318.0,160733.4850725053,2394.5035184917706,1084819482.0,1817151.873936629,596988891.0,North America,2022-03-17
South America,55496938,75543.0,1270283.0,762.0,50556794.0,97661.0,3669861.0,12196.0,127045.70232789894,2907.980182441605,213230005.0,488134.2416153915,436826567.0,South America,2022-03-17
Europe,168492742,901814.0,1748448.0,2081.0,148766404.0,683680.0,17977890.0,11499.0,225137.07042156925,2336.2457980798476,2534553206.0,3386625.8976688506,748400704.0,Europe,2022-03-17
Oceania,4464011,73298.0,8380.0,39.0,3884664.0,49643.0,570967.0,151.0,102819.92863660397,193.01722195011197,72914782.0,1679452.1074866382,43415815.0,Australia/Oceania,2022-03-17
Africa,11652330,2993.0,251953.0,88.0,10816170.0,3737.0,584207.0,1508.0,8350.866197767915,180.56695880791392,97834353.0,70114.86899600286,1395343875.0,Africa,2022-03-17
World,466146212,2117672.0,6088130.0,6255.0,397852263.0,1414145.0,62205819.0,63415.0,59802.0,781.1,5982617536.0,758426.6504902755,7888195295.0,All,2022-03-17
China,123773,1317.0,4636.0,0.0,104287.0,247.0,14850.0,16.0,86.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-17
USA,81356354,38685.0,996415.0,1009.0,56822580.0,187878.0,23537359.0,3471.0,243352.0,2980.0,969701073.0,2900553.0,334315903.0,North America,2022-03-17
India,43004005,2528.0,516312.0,150.0,42458543.0,3997.0,29150.0,8944.0,30648.0,368.0,781224304.0,556760.0,1403161736.0,Asia,2022-03-17
Brazil,29527640,49601.0,656487.0,484.0,28126647.0,62887.0,744506.0,8318.0,137249.0,3051.0,63776166.0,296442.0,215138549.0,South America,2022-03-17
France,23860194,101747.0,140729.0,116.0,22452496.0,57965.0,1266969.0,1695.0,364166.0,2148.0,246629975.0,3764190.0,65520073.0,Europe,2022-03-17
UK,20003413,91503.0,163386.0,138.0,18507001.0,33031.0,1333026.0,281.0,292043.0,2385.0,494393440.0,7217977.0,68494742.0,Europe,2022-03-17
Germany,18140525,296980.0,127072.0,242.0,14142500.0,210600.0,3870953.0,2494.0,215340.0,1508.0,104701826.0,1242880.0,84241266.0,Europe,2022-03-17
Russia,17484257,34819.0,363039.0,561.0,15934645.0,112614.0,1186573.0,2300.0,119721.0,2486.0,273400000.0,1872073.0,146041284.0,Europe,2022-03-17
Turkey,14644382,21354.0,96954.0,101.0,14271428.0,25619.0,276000.0,975.0,170506.0,1129.0,149811965.0,1744271.0,85887993.0,Asia,2022-03-17
Italy,13648161,82222.0,157442.0,128.0,12400175.0,48190.0,1090544.0,473.0,226300.0,2611.0,194373101.0,3222897.0,60310057.0,Europe,2022-03-17
Spain,11303104,21532.0,101608.0,96.0,10548396.0,22806.0,653100.0,682.0,241593.0,2172.0,471036328.0,10067957.0,46785693.0,Europe,2022-03-17
