"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,140544858,473961.0,1404173.0,1063.0,120884591.0,288537.0,18256094.0,25396.0,30103.70741000839,300.76385395069883,2020758475.0,432832.0704389964,4668689344.0,Asia,2022-04-02
North America,96648764,20645.0,1443810.0,283.0,78675217.0,153554.0,16529737.0,7443.0,161839.0637100775,2417.6704274795175,1101564916.0,1844578.5258186038,597190578.0,North America,2022-04-02
South America,56194252,28138.0,1288728.0,246.0,51753270.0,49533.0,3152254.0,11377.0,128596.3099258228,2949.156887043994,216238685.0,494845.9311143134,436981839.0,South America,2022-04-02
Europe,180042667,434513.0,1775024.0,1084.0,158392319.0,500311.0,19875324.0,10463.0,240563.56399105987,2371.693925249769,2583605767.0,3452078.4523669374,748420351.0,Europe,2022-04-02
Oceania,5591287,66884.0,9299.0,45.0,4934062.0,65625.0,647926.0,145.0,128718.9486943536,214.0754899379685,74841572.0,1722953.6717526345,43437948.0,Australia/Oceania,2022-04-02
Africa,11762956,1859.0,252869.0,16.0,10987656.0,2693.0,522431.0,1354.0,8421.651989171534,181.04077893769363,99748050.0,71414.30807855455,1396751613.0,Africa,2022-04-02
World,490785505,1026000.0,6173918.0,2737.0,425627821.0,1060253.0,58983766.0,56178.0,62963.0,792.1,6096757465.0,772575.4735785896,7891471673.0,All,2022-04-02
China,153232,2129.0,4638.0,0.0,121466.0,4307.0,27128.0,58.0,106.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-04-02
USA,81826371,12661.0,1008159.0,150.0,65525974.0,142983.0,15292238.0,1889.0,244696.0,3015.0,984909365.0,2945298.0,334400597.0,North America,2022-04-02
India,43028131,1096.0,521374.0,81.0,42493773.0,1447.0,12984.0,8944.0,30652.0,371.0,790298979.0,562990.0,1403754381.0,Asia,2022-04-02
Brazil,29995638,20473.0,660192.0,127.0,28758676.0,18989.0,576770.0,8318.0,139382.0,3068.0,63776166.0,296351.0,215204501.0,South America,2022-04-02
France,25895586,132114.0,142475.0,68.0,23371737.0,60288.0,2381374.0,1486.0,395193.0,2174.0,254106036.0,3877920.0,65526369.0,Europe,2022-04-02
Germany,21588614,128639.0,130529.0,187.0,16886200.0,132200.0,4571885.0,2494.0,256236.0,1549.0,104701826.0,1242708.0,84252947.0,Europe,2022-04-02
UK,21216874,0.0,165570.0,0.0,19075703.0,0.0,1975601.0,356.0,309689.0,2417.0,505708151.0,7381491.0,68510300.0,Europe,2022-04-02
Russia,17880038,17949.0,369404.0,340.0,16929332.0,44547.0,581302.0,2300.0,122429.0,2529.0,273400000.0,1872038.0,146044010.0,Europe,2022-04-02
Turkey,14885710,11783.0,98119.0,41.0,14560209.0,13421.0,227382.0,975.0,173235.0,1142.0,154284699.0,1795519.0,85927644.0,Asia,2022-04-02
Italy,14792227,72224.0,159666.0,129.0,13353529.0,65159.0,1279032.0,493.0,245285.0,2648.0,201899959.0,3347915.0,60306185.0,Europe,2022-04-02
S. Korea,13639915,264097.0,16929.0,339.0,0.0,0.0,0.0,1165.0,265645.0,330.0,15804065.0,307793.0,51346429.0,Asia,2022-04-02
Spain,11551574,0.0,102541.0,0.0,10918903.0,0.0,530130.0,420.0,246900.0,2192.0,471036328.0,10067787.0,46786482.0,Europe,2022-04-02
Vietnam,9767598,65966.0,42563.0,37.0,7713354.0,106878.0,2011681.0,2276.0,98791.0,430.0,84490344.0,854545.0,98871712.0,Asia,2022-04-02
Argentina,9040640,802.0,128059.0,7.0,8866417.0,2643.0,46164.0,487.0,196870.0,2789.0,35444919.0,771855.0,45921761.0,South America,2022-04-02
Netherlands,7897928,16918.0,22006.0,12.0,6482892.0,58273.0,1393030.0,135.0,459149.0,1279.0,21107399.0,1227086.0,17201245.0,Europe,2022-04-02
Iran,7166371,1887.0,140277.0,37.0,6882030.0,4196.0,144064.0,1697.0,83452.0,1634.0,49358909.0,574778.0,85874667.0,Asia,2022-04-02
Japan,6606464,53544.0,28200.0,103.0,6122400.0,39344.0,455864.0,518.0,52516.0,224.0,43606340.0,346636.0,125798669.0,Asia,2022-04-02
Colombia,6085618,348.0,139650.0,14.0,5918689.0,358.0,27279.0,342.0,117410.0,2694.0,33952707.0,655050.0,51832231.0,South America,2022-04-02
Indonesia,6018048,2300.0,155241.0,77.0,5764636.0,4798.0,98171.0,2771.0,21602.0,557.0,92243765.0,331114.0,278586508.0,Asia,2022-04-02
Poland,5969064,2096.0,115343.0,96.0,5332177.0,2938.0,521544.0,268.0,158020.0,3053.0,35721287.0,945657.0,37774045.0,Europe,2022-04-02
Mexico,5662073,2538.0,323127.0,111.0,4959965.0,2156.0,378981.0,4798.0,43122.0,2461.0,15582502.0,118675.0,131303955.0,North America,2022-04-02
Ukraine,4968881,0.0,107980.0,0.0,0.0,0.0,0.0,177.0,114824.0,2495.0,19521252.0,451110.0,43273831.0,Europe,2022-04-02
Australia,4633278,54667.0,6367.0,26.0,4126817.0,50389.0,500094.0,95.0,178081.0,245.0,66770212.0,2566331.0,26017767.0,Australia/Oceania,2022-04-02
Malaysia,4234087,14692.0,35069.0,56.0,3997786.0,20383.0,201232.0,261.0,127950.0,1060.0,56587537.0,1710015.0,33091831.0,Asia,2022-04-02
Israel,3934483,7664.0,10515.0,19.0,3835804.0,53709.0,88164.0,271.0,421883.0,1127.0,41373364.0,4436346.0,9326000.0,Asia,2022-04-02
Austria,3873448,19043.0,15957.0,52.0,3537192.0,39235.0,320299.0,225.0,425824.0,1754.0,176630000.0,19417657.0,9096360.0,Europe,2022-04-02
Belgium,3851048,0.0,30826.0,0.0,3533015.0,0.0,287207.0,164.0,329772.0,2640.0,32872543.0,2814930.0,11677924.0,Europe,2022-04-02
Czechia,3828032,5971.0,39708.0,7.0,3725450.0,8804.0,62874.0,89.0,356303.0,3696.0,54739639.0,5095016.0,10743762.0,Europe,2022-04-02
South Africa,3722065,1420.0,100046.0,4.0,3609277.0,1205.0,12742.0,546.0,61402.0,1650.0,23893013.0,394160.0,60617532.0,Africa,2022-04-02
Thailand,3684755,28029.0,25321.0,96.0,3403642.0,23352.0,255792.0,1496.0,52559.0,361.0,17270775.0,246350.0,70106601.0,Asia,2022-04-02
Philippines,3678939,344.0,59324.0,26.0,3582529.0,1549.0,37086.0,289.0,32808.0,529.0,28986738.0,258501.0,112133868.0,Asia,2022-04-02
Portugal,3604114,0.0,21693.0,0.0,0.0,0.0,0.0,61.0,355272.0,2138.0,40088192.0,3951654.0,10144662.0,Europe,2022-04-02
Peru,3548088,482.0,212299.0,43.0,0.0,0.0,0.0,421.0,105048.0,6286.0,28860933.0,854487.0,33775745.0,South America,2022-04-02
Canada,3496149,3233.0,37680.0,9.0,3294102.0,1913.0,164367.0,386.0,91232.0,983.0,59464465.0,1551729.0,38321435.0,North America,2022-04-02
Switzerland,3490876,0.0,13715.0,0.0,2850404.0,24777.0,626757.0,136.0,398255.0,1565.0,20324729.0,2318740.0,8765420.0,Europe,2022-04-02
