"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Africa,11611724,4272.0,251576.0,57.0,10723946.0,7441.0,538956.0,1635.0,1721317.0,17676.0,194293094.0,9780582.0,2789631946.0,Africa,2022-03-11
Asia,123798339,747479.0,1367665.0,2010.0,110575648.0,334654.0,6325022.0,29849.0,4430036.0,29466.0,3924480498.0,76872667.0,9333336456.0,Asia,2022-03-11
Australia/Oceania,4060886,59853.0,8176.0,31.0,3514869.0,41577.0,468326.0,168.0,1041064.0,5778.0,144302658.0,9284022.0,86815030.0,Australia/Oceania,2022-03-11
Europe,163242371,857565.0,1734321.0,2179.0,139621109.0,1044139.0,17105367.0,12327.0,13393249.0,107268.0,5034222658.0,185921047.0,1496786678.0,Europe,2022-03-11
North America,95596883,68868.0,1423328.0,1791.0,68333751.0,194200.0,25830001.0,10815.0,5967067.0,49756.0,2154166168.0,83438635.0,1193826522.0,North America,2022-03-11
South America,55051926,86344.0,1266237.0,966.0,47504489.0,122849.0,2152929.0,12625.0,1689401.0,30544.0,423545844.0,12127669.0,873536672.0,South America,2022-03-11
World,453362129,1824381.0,6051303.0,7034.0,380273812.0,1744860.0,52420601.0,67419.0,28242134.0,240488.0,17812516380.0,377424622.0,23660899956.0,All,2022-03-11
USA,81115706,44548.0,992022.0,1434.0,55600175.0,170181.0,24523509.0,4888.0,242655.0,2968.0,962617214.0,2879638.0,334284143.0,North America,2022-03-11
India,42984261,4194.0,515745.0,255.0,42426328.0,6208.0,42188.0,8944.0,30639.0,368.0,776082445.0,553183.0,1402939494.0,Asia,2022-03-11
Brazil,29249903,55861.0,654147.0,559.0,27556598.0,85812.0,1039158.0,8318.0,135974.0,3041.0,63776166.0,296476.0,215113817.0,South America,2022-03-11
France,23308880,74818.0,139880.0,107.0,22011415.0,82398.0,1157585.0,1962.0,355765.0,2135.0,246629975.0,3764325.0,65517712.0,Europe,2022-03-11
UK,19457657,40031.0,162624.0,142.0,18182482.0,44126.0,1112551.0,266.0,284099.0,2374.0,489082431.0,7141046.0,68488908.0,Europe,2022-03-11
Russia,17191300,51231.0,358911.0,665.0,15043717.0,148634.0,1788672.0,2300.0,117716.0,2458.0,273400000.0,1872086.0,146040262.0,Europe,2022-03-11
Germany,16636606,300270.0,125669.0,154.0,12963800.0,210100.0,3547137.0,2494.0,197498.0,1492.0,104701826.0,1242945.0,84236886.0,Europe,2022-03-11
Turkey,14488373,29492.0,96094.0,140.0,14013492.0,62245.0,378787.0,975.0,168718.0,1119.0,147556339.0,1718306.0,85873124.0,Asia,2022-03-11
Italy,13215332,55064.0,156493.0,136.0,12086850.0,85787.0,971989.0,545.0,219118.0,2595.0,191387173.0,3173311.0,60311508.0,Europe,2022-03-11
Spain,11204125,22615.0,101077.0,85.0,10254207.0,40140.0,848841.0,725.0,239479.0,2160.0,471036328.0,10068020.0,46785397.0,Europe,2022-03-11
Argentina,8961595,6137.0,127009.0,54.0,8758109.0,4659.0,76477.0,861.0,195255.0,2767.0,34692713.0,755884.0,45896856.0,South America,2022-03-11
Iran,7113591,6424.0,138572.0,139.0,6761892.0,7658.0,213127.0,3176.0,82899.0,1615.0,48036013.0,559795.0,85810047.0,Asia,2022-03-11
Netherlands,6986628,74518.0,21675.0,41.0,5328403.0,189367.0,1636550.0,159.0,406224.0,1260.0,21107399.0,1227248.0,17198973.0,Europe,2022-03-11
Colombia,6074874,719.0,139220.0,31.0,5905559.0,1194.0,30095.0,342.0,117276.0,2688.0,33454522.0,645845.0,51799651.0,South America,2022-03-11
Indonesia,5847900,21311.0,151413.0,278.0,5296634.0,38399.0,399853.0,2771.0,21004.0,544.0,88544248.0,318032.0,278412758.0,Asia,2022-03-11
Poland,5788359,13434.0,113186.0,184.0,5160958.0,8460.0,514215.0,557.0,153226.0,2996.0,34365607.0,909708.0,37776527.0,Europe,2022-03-11
Mexico,5583773,8165.0,320410.0,244.0,4863376.0,0.0,399987.0,4798.0,42552.0,2442.0,15287662.0,116502.0,131222581.0,North America,2022-03-11
Japan,5546271,62747.0,25486.0,205.0,4911283.0,61591.0,609502.0,1322.0,44080.0,203.0,40484358.0,321759.0,125821840.0,Asia,2022-03-11
