#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"114,378,438","+622,135","1,341,241","+2,171","105,900,642","+422,789","7,136,555","31,142",,,,,,Asia
,North America,"94,618,770","+122,406","1,396,978","+3,005","65,007,848","+253,316","28,213,944","15,780",,,,,,North America
,South America,"53,900,883","+152,594","1,254,112","+1,632","47,338,437","+173,385","5,308,334","13,692",,,,,,South America
,Europe,"153,883,394","+853,049","1,699,286","+3,275","128,841,452","+1,367,791","23,342,656","15,799",,,,,,Europe
,Africa,"11,495,981","+9,602","248,692",+141,"10,567,134","+33,354","680,155","1,863",,,,,,Africa
,Oceania,"3,408,736","+34,510","7,642",+50,"3,114,903","+26,363","286,191",231,,,,,,Australia/Oceania
,,721,,15,,706,,0,0,,,,,,
,World,"431,686,923","+1,794,296","5,947,966","+10,274","360,771,122","+2,276,998","64,967,835","78,507","55,381",763.1,,,,All
1,China,"108,380",+186,"4,636",,"101,646",+48,"2,098",18,75,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"80,456,049","+83,673","970,347","+2,288","52,662,670","+209,108","26,823,032","9,528","240,739","2,903","945,452,422","2,828,962","334,204,743",North America
3,India,"42,894,345","+13,166","513,258",+304,"42,246,884","+26,988","134,203","8,944","30,587",366,"763,569,165","544,479","1,402,383,889",Asia
4,Brazil,"28,580,995","+95,493","647,486",+996,"25,901,919","+129,112","2,031,590","8,318","132,903","3,011","63,776,166","296,562","215,051,987",South America
5,France,"22,534,971","+66,732","137,770",+281,"20,250,901","+240,836","2,146,300","3,055","343,983","2,103","243,529,298","3,717,334","65,511,810",Europe
6,UK,"18,772,832","+38,822","161,104",+125,"17,088,177","+76,308","1,523,551",304,"274,159","2,353","479,556,923","7,003,456","68,474,323",Europe
7,Russia,"15,928,568","+132,998","348,578",+762,"12,972,661","+136,433","2,607,329","2,300","109,072","2,387","273,400,000","1,872,119","146,037,706",Europe
8,Germany,"14,311,052","+218,431","122,895",+273,"10,435,800","+201,700","3,752,357","2,494","169,913","1,459","104,701,826","1,243,107","84,225,935",Europe
9,Turkey,"13,841,889","+79,708","93,539",+281,"13,043,838","+94,413","704,512","1,128","161,260","1,090","142,130,760","1,655,842","85,835,951",Asia
