#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Africa,11656580,1898,252028,24,10775605,2036,531539,1479,1734995,17725,97964924,9868910,1395513735,Africa
,Asia,131832166,731804,1382596,1544,113813803,330483,6581039,27606,4706679,30102,1983482830,77481112,4657498956,Asia
,Oceania,4593107,65620,8445,33,4018362,46986,495702,138,1145070,5841,73121467,9998132,43239979,Australia/Oceania
,Europe,169895814,549066,1751513,1205,142917303,498742,15593055,11415,13910349,108435,2540050960,187899863,748403163,Europe
,North America,96033928,22951,1431392,510,75780002,211334,18812718,8959,6107508,50019,1086656954,83918352,597014102,North America
,South America,55642527,59632,1271541,551,48538609,66359,1684840,12084,1705956,30664,213670901,12246076,436845974,South America
,,721,,15,,706,,0,0,,,,,,
,World,469654122,1430971,6097515,3867,395843684,1155940,43698893,61681,29310557,242786,5994948036,381412445,7878515909,All
1,China,128462,2228,4638,2,105238,614,18586,31,89,3,160000000,111163,1439323776,Asia
2,USA,81404135,12362,997845,327,62848679,199155,17557611,3214,243487,2985,971320273,2905305,334326490,North America
3,India,43007841,1761,516510,129,42465122,3196,26209,8944,30649,368,782228685,557446,1403235816,Asia
4,Brazil,29617266,40869,657157,290,28183864,19960,776245,8318,137661,3054,63776166,296431,215146793,South America
5,France,24055877,98104,140903,62,22548491,42488,1366483,1695,367148,2151,246629975,3764144,65520860,Europe
6,UK,20093762,,163511,,18541447,,1388804,292,293354,2387,495276718,7230667,68496687,Europe
7,Germany,18592762,168187,127408,119,14448200,124700,4017154,2494,220705,1512,104701826,1242859,84242727,Europe
8,Russia,17551657,32958,364058,495,16135267,95558,1052332,2300,120183,2493,273400000,1872069,146041625,Europe
9,Turkey,14680836,17328,97182,105,14309971,18269,273683,975,170920,1131,150419086,1751239,85892949,Asia
10,Italy,13801328,75173,157692,85,12494968,48385,1148668,471,228841,2615,195342035,3238989,60309573,Europe
11,Spain,11324637,,101703,,10571203,,651731,682,242053,2174,471036328,10067936,46785791,Europe
12,S. Korea,9038938,381329,12101,319,N/A,N/A,N/A,1049,176044,236,15804065,307803,51344747,Asia
13,Argentina,9006526,1697,127483,44,8807979,4774,71064,699,196195,2777,35054019,763606,45905913,South America
14,Vietnam,7816897,175674,41817,77,3991393,129434,3783687,3691,79088,423,82654443,836260,98838245,Asia
15,Netherlands,7476574,41456,21785,11,5941464,56359,1513325,154,434690,1267,21107399,1227189,17199799,Europe
16,Iran,7139217,1323,139550,72,6817172,5167,182495,2082,83175,1626,48534882,565454,85833545,Asia
17,Colombia,6080589,693,139434,19,5912996,842,28159,342,117360,2691,33662028,649702,51811498,South America
18,Japan,6016206,49210,26919,155,5460249,58638,529038,983,47818,214,41855859,332682,125813414,Asia
19,Indonesia,5956561,7951,153599,188,5573228,24008,229734,2771,21390,552,90310576,324303,278475940,Asia
20,Poland,5885444,10377,114206,119,5227909,4569,543329,425,155800,3023,34983809,926095,37775625,Europe
21,Mexico,5629814,4860,321931,125,4922781,4851,385102,4798,42893,2453,15430608,117565,131252171,North America
22,Ukraine,4928032,,107477,,N/A,N/A,N/A,177,113854,2483,19521252,451006,43283828,Europe
23,Malaysia,3974019,22341,34329,85,3656415,33347,283275,390,120148,1038,53426484,1615266,33075969,Asia
24,Australia,3863112,46479,5721,27,3500347,28138,357044,86,148544,220,65203967,2507223,26006454,Australia/Oceania
25,Israel,3758955,7906,10419,2,3704937,6146,43599,326,403062,1117,41373364,4436346,9326000,Asia
26,Czechia,3733114,8705,39357,15,3617913,9564,75844,133,347493,3664,54355892,5059655,10743004,Europe
27,Belgium,3707561,11502,30529,19,3442505,12696,234527,181,317537,2615,32372165,2772539,11675999,Europe
28,South Africa,3703329,1287,99879,11,3588264,1119,15186,546,61122,1648,23569125,389001,60588931,Africa
29,Philippines,3673717,525,58023,24,3570355,644,45339,289,32778,518,28672696,255828,112078073,Asia
30,Peru,3540793,685,211814,63,N/A,N/A,N/A,605,104887,6274,28199031,835325,33758172,South America
31,Portugal,3458727,,21408,,N/A,N/A,N/A,66,340903,2110,37805639,3726238,10145794,Europe
32,Austria,3429011,41999,15387,43,2963825,37407,449799,203,377047,1692,170281200,18723746,9094398,Europe
33,Canada,3396426,2078,37166,16,3238323,1704,120937,510,88659,970,58924697,1538151,38308791,North America
34,Chile,3382506,13182,44440,101,2705002,37485,633064,795,174381,2291,34610427,1784302,19397181,South America
35,Thailand,3328973,25804,24165,87,3067292,18801,237516,687,47489,345,17270775,246374,70099920,Asia
36,Switzerland,3253776,,13467,,2610682,,629627,146,371308,1537,19698846,2247956,8763003,Europe
37,Denmark,2856182,6012,5375,37,2711990,14893,138817,27,490152,922,126512719,21710972,5827133,Europe
38,Romania,2813798,3168,64673,39,2606660,,142465,463,147955,3401,21740974,1143183,19017931,Europe
39,Greece,2776192,19705,26893,46,2490264,8584,259035,349,268598,2602,70971049,6866482,10335868,Europe
40,Sweden,2475687,,18020,,2400581,,57086,42,242546,1765,18342988,1797081,10207103,Europe
41,Iraq,2315791,218,25127,3,2272463,666,18201,71,55445,602,18225916,436371,41767016,Asia
42,Serbia,1953897,1868,15676,14,1898199,2871,40022,46,225179,1807,9017559,1039236,8677102,Europe
43,Bangladesh,1950527,62,29114,,1869634,1014,51779,1264,11645,174,13709153,81846,167498789,Asia
44,Hungary,1824089,,44961,,1672699,,106429,90,189647,4675,10975485,1141099,9618344,Europe
45,Jordan,1680179,,13959,,1647266,,18954,694,161920,1345,16499905,1590112,10376570,Asia
46,Georgia,1641399,849,16643,13,1596779,1855,27977,,412821,4186,16180964,4069604,3976054,Asia
47,Slovakia,1627836,9386,19093,20,1484235,9892,124508,207,297911,3494,6707798,1227597,5464171,Europe
48,Pakistan,1521513,696,30328,2,1475473,1857,15712,503,6666,133,27112283,118792,228233184,Asia
49,Norway,1378238,1999,2169,,N/A,N/A,N/A,20,250870,395,9852076,1793298,5493830,Europe
50,Ireland,1365467,,6638,,1248933,,109896,44,271345,1319,11577799,2300732,5032224,Europe
