"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
North America,94810762,3519,1401192,72,65626841,8480,27782729,14461,158878.69083723958,2348.04093834425,1060746636.0,1777541.2124383717,596749391.0,North America,2022-02-28
Asia,116434326,277135,1347632,948,107401756,194398,7684938,30905,24956.591285669576,288.8521124559905,1932237970.0,414156.84652944934,4665473929.0,Asia,2022-02-28
South America,54241651,18179,1257444,153,47804284,30697,5179923,13397,124224.48941962369,2879.804283128648,209621738.0,480076.71031813044,436642173.0,South America,2022-02-28
Europe,155841408,234454,1706958,1247,132459553,663727,21674897,14595,208239.06811325465,2280.8786688353393,2490127534.0,3327368.7899644547,748377379.0,Europe,2022-02-28
Africa,11520505,974,249272,11,10610439,2930,660794,1823,8266.294684787094,178.85985107998727,95842839.0,68770.00188799061,1393672188.0,Africa,2022-02-28
Oceania,3551152,35024,7757,13,3187639,4589,355756,195,81846.6260800682,178.7826256108128,71142569.0,1639687.4150468502,43387885.0,Australia/Oceania,2022-02-28
World,436400525,569285,5970270,2444,367091218,904821,63339037,75376,55986.0,765.0,5859719286.0,743213.360379064,7884302945.0,All,2022-02-28
USA,80567757,0,973119,0,53192990,0,26401648,8279,241065.0,2912.0,947752321.0,2835754.0,334215330.0,North America,2022-02-28
India,42924130,0,513843,0,42307686,0,102601,8944,30606.0,366.0,767481346.0,547240.0,1402457970.0,Asia,2022-02-28
Brazil,28768104,0,649195,0,26183623,0,1935286,8318,133768.0,3019.0,63776166.0,296550.0,215060231.0,South America,2022-02-28
France,22689332,0,138135,0,20666237,0,1884960,2484,346335.0,2109.0,246629975.0,3764619.0,65512597.0,Europe,2022-02-28
UK,18804765,0,161224,0,17153253,0,1490288,289,274617.0,2354.0,480341745.0,7014719.0,68476267.0,Europe,2022-02-28
Russia,16398036,106920,351660,733,13575652,116742,2470724,2300,112286.0,2408.0,273400000.0,1872115.0,146038047.0,Europe,2022-02-28
Germany,14745312,16560,123330,2,11010700,168400,3611282,2494,175066.0,1464.0,104701826.0,1243085.0,84227395.0,Europe,2022-02-28
Turkey,14025181,0,94232,0,13289352,0,641597,1128,163386.0,1098.0,143400825.0,1670542.0,85840907.0,Asia,2022-02-28
