"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,140957179,412321.0,1405003.0,830.0,121093899.0,209308.0,18458277.0,24982.0,30190.835433644937,300.9297905768775,2022359710.0,433157.9961049299,4668873086.0,Asia,2022-04-04
North America,96685274,24789.0,1444441.0,266.0,78839235.0,163050.0,16401598.0,7372.0,161893.3665659892,2418.624953123099,1102521215.0,1846101.9328214843,597215785.0,North America,2022-04-04
South America,56207258,10757.0,1288945.0,189.0,51806717.0,53447.0,3111596.0,11374.0,128620.35978157957,2949.522455599383,216381382.0,495150.4875558136,437001250.0,South America,2022-04-04
Europe,180503111,345091.0,1776081.0,876.0,158916305.0,447123.0,19810725.0,10457.0,241177.99398004983,2373.0984488465733,2586739964.0,3456254.864579848,748422806.0,Europe,2022-04-04
Oceania,5647957,56713.0,9336.0,37.0,4988828.0,54766.0,649793.0,154.0,130015.29233647707,214.91359959952774,74948584.0,1725307.4092038958,43440713.0,Australia/Oceania,2022-04-04
Africa,11769383,1462.0,253016.0,19.0,10998724.0,4643.0,517643.0,1354.0,8425.191948747979,181.12320468323776,99796549.0,71440.03055620106,1396927580.0,Africa,2022-04-04
World,491770883,851133.0,6176837.0,2217.0,426644414.0,932337.0,58949632.0,55693.0,63090.0,792.4,6102747404.0,773294.3811336278,7891881220.0,All,2022-04-04
China,154738,1506.0,4638.0,0.0,123933.0,2467.0,26167.0,57.0,108.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-04-04
USA,81853949,16504.0,1008680.0,161.0,65680737.0,154775.0,15164532.0,1822.0,244770.0,3016.0,985833466.0,2947968.0,334411183.0,North America,2022-04-04
India,43029044,913.0,521388.0,14.0,42495089.0,1316.0,12567.0,8944.0,30651.0,371.0,790764883.0,563292.0,1403828461.0,Asia,2022-04-04
Brazil,29999816,4178.0,660269.0,77.0,28784928.0,26252.0,554619.0,8318.0,139396.0,3068.0,63776166.0,296340.0,215212745.0,South America,2022-04-04
France,25997852,102266.0,142506.0,31.0,23390522.0,18785.0,2464824.0,1486.0,396749.0,2175.0,254106036.0,3877874.0,65527156.0,Europe,2022-04-04
Germany,21646375,57761.0,130563.0,34.0,16972700.0,86500.0,4543112.0,2494.0,256917.0,1550.0,104701826.0,1242687.0,84254408.0,Europe,2022-04-04
UK,21337385,36567.0,165710.0,70.0,19200531.0,62414.0,1971144.0,356.0,311439.0,2419.0,506768342.0,7396756.0,68512244.0,Europe,2022-04-04
Russia,17896866,16828.0,369708.0,304.0,16965027.0,35695.0,562131.0,2300.0,122544.0,2531.0,273400000.0,1872034.0,146044351.0,Europe,2022-04-04
Turkey,14894731,9021.0,98157.0,38.0,14570521.0,10312.0,226053.0,975.0,173330.0,1142.0,154495767.0,1797871.0,85932601.0,Asia,2022-04-04
Italy,14846514,54287.0,159784.0,118.0,13402015.0,48486.0,1284715.0,489.0,246188.0,2650.0,202264141.0,3353980.0,60305701.0,Europe,2022-04-04
S. Korea,13874216,234301.0,17235.0,306.0,0.0,0.0,0.0,1128.0,270207.0,336.0,15804065.0,307791.0,51346669.0,Asia,2022-04-04
Spain,11565114,6770.0,102645.0,52.0,10952243.0,18751.0,510226.0,420.0,247189.0,2194.0,471036328.0,10067766.0,46786580.0,Europe,2022-04-04
Vietnam,9818328,50730.0,42600.0,37.0,7787962.0,74608.0,1987766.0,1973.0,99299.0,431.0,84572527.0,855335.0,98876493.0,Asia,2022-04-04
