"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,137701718,412717.0,1398734.0,1015.0,119398127.0,294935.0,16904857.0,26709.0,29497.62928154884,299.6283386638498,2002071263.0,428871.59847356635,4668230002.0,Asia,2022-03-28
North America,96407096,28629.0,1439222.0,306.0,77758761.0,236748.0,17209113.0,7868.0,161451.4285934387,2410.2421668536313,1096627557.0,1836504.7082486816,597127550.0,North America,2022-03-28
South America,56000291,18691.0,1286898.0,230.0,51406565.0,99164.0,3306828.0,11651.0,128166.6762894165,2945.296112541585,215342996.0,492850.93999824236,436933317.0,South America,2022-03-28
Europe,176423490,546051.0,1766156.0,1355.0,155228070.0,649687.0,19429264.0,10653.0,235729.74319734055,2359.8643260398158,2569761277.0,3433608.3358609444,748414212.0,Europe,2022-03-28
Oceania,5205634,61486.0,8721.0,16.0,4564265.0,57159.0,632648.0,153.0,119859.77860577252,200.80111840766025,74119857.0,1706610.5012975398,43431033.0,Australia/Oceania,2022-03-28
Africa,11741197,3043.0,252733.0,39.0,10954717.0,7701.0,533747.0,1412.0,8408.722088080254,181.0004175457397,98742277.0,70716.50068023207,1396311696.0,Africa,2022-03-28
World,483480147,1070617.0,6152479.0,2961.0,419311211.0,1345394.0,58016457.0,58446.0,62026.0,789.3,6056665227.0,767594.6122251836,7890447810.0,All,2022-03-28
China,144515,1275.0,4638.0,0.0,112132.0,1097.0,27745.0,58.0,100.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-28
USA,81662654,17232.0,1004340.0,232.0,64687071.0,225168.0,15971243.0,2270.0,244225.0,3004.0,980532385.0,2932441.0,334374130.0,North America,2022-03-28
India,43021982,1259.0,521098.0,32.0,42485534.0,1705.0,15350.0,8944.0,30652.0,371.0,787355354.0,560967.0,1403569179.0,Asia,2022-03-28
Brazil,29852341,9923.0,659012.0,86.0,28550311.0,52843.0,643018.0,8318.0,138729.0,3063.0,63776166.0,296380.0,215183891.0,South America,2022-03-28
France,25059028,29455.0,141821.0,149.0,23023200.0,93009.0,1894007.0,1486.0,382438.0,2164.0,254106036.0,3878037.0,65524402.0,Europe,2022-03-28
UK,20940865,63194.0,164671.0,73.0,18903733.0,60312.0,1872461.0,302.0,305682.0,2404.0,502637378.0,7337189.0,68505438.0,Europe,2022-03-28
Germany,20465072,214035.0,129106.0,159.0,15873400.0,154900.0,4462566.0,2494.0,242911.0,1532.0,104701826.0,1242762.0,84249297.0,Europe,2022-03-28
Russia,17783843,21101.0,367686.0,335.0,16689977.0,35746.0,726180.0,2300.0,121771.0,2518.0,273400000.0,1872049.0,146043158.0,Europe,2022-03-28
Turkey,14815041,14364.0,97861.0,61.0,14475383.0,18526.0,241797.0,975.0,172438.0,1139.0,152938450.0,1780108.0,85915253.0,Asia,2022-03-28
Italy,14397122,31549.0,158877.0,95.0,12983350.0,40300.0,1254895.0,487.0,238729.0,2634.0,199235675.0,3303669.0,60307395.0,Europe,2022-03-28
S. Korea,12003054,187213.0,15186.0,287.0,0.0,0.0,0.0,1273.0,233769.0,296.0,15804065.0,307796.0,51345828.0,Asia,2022-03-28
Spain,11494150,14158.0,102392.0,0.0,10847737.0,35936.0,544021.0,510.0,245674.0,2189.0,471036328.0,10067840.0,46786235.0,Europe,2022-03-28
Vietnam,9298111,83585.0,42358.0,52.0,6953846.0,139732.0,2301907.0,3401.0,94054.0,428.0,84027988.0,849972.0,98859759.0,Asia,2022-03-28
Argentina,9028730,2655.0,127943.0,34.0,8852314.0,13640.0,48473.0,550.0,196635.0,2786.0,35298948.0,768771.0,45916101.0,South America,2022-03-28
Netherlands,7775347,21462.0,21908.0,10.0,6283491.0,32890.0,1469948.0,168.0,452036.0,1274.0,21107399.0,1227122.0,17200729.0,Europe,2022-03-28
Iran,7154003,2915.0,140063.0,42.0,6858772.0,3956.0,155168.0,1513.0,83322.0,1631.0,48991010.0,570592.0,85859981.0,Asia,2022-03-28
Japan,6377719,43565.0,27767.0,68.0,5923340.0,42404.0,426612.0,691.0,50696.0,221.0,42863127.0,340714.0,125803935.0,Asia,2022-03-28
Colombia,6083939,296.0,139585.0,12.0,5917027.0,403.0,27327.0,342.0,117394.0,2693.0,33853193.0,653223.0,51824827.0,South America,2022-03-28
Indonesia,6001751,2798.0,154774.0,104.0,5724963.0,10301.0,122014.0,2771.0,21547.0,556.0,91602381.0,328858.0,278547020.0,Asia,2022-03-28
Poland,5945592,2366.0,114829.0,1.0,5293498.0,9527.0,537265.0,328.0,157397.0,3040.0,35468501.0,938951.0,37774610.0,Europe,2022-03-28
Mexico,5650896,919.0,322750.0,15.0,4948911.0,1897.0,379235.0,4798.0,43043.0,2458.0,15524434.0,118249.0,131285461.0,North America,2022-03-28
Ukraine,4959082,6169.0,107861.0,50.0,0.0,0.0,0.0,177.0,114588.0,2492.0,19521252.0,451073.0,43277401.0,Europe,2022-03-28
Australia,4326294,46957.0,5897.0,6.0,3850408.0,41951.0,469989.0,113.0,166308.0,227.0,66122074.0,2541815.0,26013727.0,Australia/Oceania,2022-03-28
Malaysia,4152203,13336.0,34842.0,54.0,3896489.0,25552.0,220872.0,288.0,125497.0,1053.0,55851665.0,1688067.0,33086166.0,Asia,2022-03-28
Israel,3876122,11967.0,10485.0,0.0,3782095.0,0.0,83542.0,278.0,415625.0,1124.0,41373364.0,4436346.0,9326000.0,Asia,2022-03-28
Belgium,3800166,8917.0,30731.0,21.0,3506989.0,8634.0,262446.0,167.0,325434.0,2632.0,32630945.0,2794407.0,11677236.0,Europe,2022-03-28
Czechia,3790377,2245.0,39605.0,19.0,3688743.0,8021.0,62029.0,88.0,352807.0,3686.0,54579690.0,5080257.0,10743491.0,Europe,2022-03-28
Austria,3747582,49071.0,15706.0,41.0,3331691.0,78939.0,400185.0,241.0,412019.0,1727.0,173915134.0,19120672.0,9095660.0,Europe,2022-03-28
South Africa,3713833,581.0,99970.0,4.0,3600227.0,664.0,13636.0,546.0,61277.0,1649.0,23757304.0,391987.0,60607318.0,Africa,2022-03-28
Philippines,3677370,381.0,59030.0,15.0,3576500.0,1359.0,41840.0,289.0,32800.0,527.0,28867209.0,257481.0,112113942.0,Asia,2022-03-28
Thailand,3553720,24635.0,24883.0,81.0,3278103.0,25753.0,250734.0,1496.0,50692.0,355.0,17270775.0,246359.0,70104215.0,Asia,2022-03-28
Peru,3545628,225.0,212157.0,29.0,0.0,0.0,0.0,492.0,104995.0,6283.0,28614628.0,847352.0,33769469.0,South America,2022-03-28
Portugal,3534003,0.0,21545.0,0.0,0.0,0.0,0.0,64.0,348347.0,2124.0,39851361.0,3928152.0,10145066.0,Europe,2022-03-28
Chile,3455060,4463.0,56446.0,65.0,2961198.0,29605.0,437416.0,655.0,178085.0,2909.0,35313893.0,1820190.0,19401212.0,South America,2022-03-28
Canada,3450919,8522.0,37461.0,37.0,3272866.0,5587.0,140592.0,384.0,90063.0,978.0,59252292.0,1546374.0,38316919.0,North America,2022-03-28
Switzerland,3440682,7230.0,13678.0,11.0,2759069.0,30683.0,667935.0,145.0,392568.0,1561.0,20199118.0,2304637.0,8764557.0,Europe,2022-03-28
Greece,2957810,27489.0,27341.0,73.0,2681342.0,23642.0,249127.0,342.0,286204.0,2646.0,73051999.0,7068667.0,10334622.0,Europe,2022-03-28
Denmark,2899802,3209.0,5585.0,0.0,2811399.0,7532.0,82818.0,26.0,497595.0,958.0,126729778.0,21746355.0,5827633.0,Europe,2022-03-28
Romania,2842739,1951.0,64936.0,8.0,2606660.0,0.0,171143.0,400.0,149501.0,3415.0,21987011.0,1156311.0,19014792.0,Europe,2022-03-28
Sweden,2481736,0.0,18155.0,0.0,2426067.0,2752.0,37514.0,32.0,243101.0,1778.0,18382831.0,1800711.0,10208649.0,Europe,2022-03-28
Iraq,2318450,473.0,25156.0,6.0,2280424.0,815.0,12870.0,53.0,55480.0,602.0,18304232.0,438013.0,41789264.0,Asia,2022-03-28
Serbia,1970827,1783.0,15768.0,10.0,1917068.0,0.0,37991.0,41.0,227152.0,1817.0,9142320.0,1053719.0,8676240.0,Europe,2022-03-28
Bangladesh,1951363,81.0,29119.0,1.0,1878797.0,993.0,43447.0,1248.0,11647.0,174.0,13797351.0,82353.0,167539104.0,Asia,2022-03-28
Hungary,1844581,5223.0,45342.0,84.0,1699172.0,5779.0,100067.0,60.0,191789.0,4714.0,11086534.0,1152717.0,9617743.0,Europe,2022-03-28
Slovakia,1690203,2778.0,19292.0,22.0,1557216.0,3356.0,113695.0,176.0,309321.0,3531.0,6830063.0,1249958.0,5464236.0,Europe,2022-03-28
Jordan,1689314,0.0,14003.0,0.0,1668852.0,0.0,6459.0,276.0,162762.0,1349.0,16575546.0,1597018.0,10379059.0,Asia,2022-03-28
Georgia,1646545,229.0,16720.0,12.0,1621396.0,2993.0,8429.0,0.0,414135.0,4205.0,16320431.0,4104875.0,3975866.0,Asia,2022-03-28
