"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,133767161,645354.0,1386938.0,1381.0,115881947.0,384660.0,16498276.0,27372.0,28657.612172954556,297.13070842501656,1989318078.0,426181.62441207346,4667770650.0,Asia,2022-03-23
North America,96167775,49048.0,1434572.0,1076.0,76462558.0,216640.0,18270645.0,8562.0,161067.64334458802,2402.7085086260167,1090121583.0,1825801.9833866563,597064519.0,North America,2022-03-23
South America,55752749,56740.0,1284111.0,543.0,50934209.0,112456.0,3534429.0,11950.0,127614.30419571893,2939.243978356454,214111652.0,490087.2150748282,436884794.0,South America,2022-03-23
Europe,172057906,925138.0,1756846.0,2129.0,151792091.0,697675.0,18508969.0,11219.0,229898.51656784772,2347.4439427279617,2548772077.0,3405591.368593386,748408074.0,Europe,2022-03-23
Oceania,4777051,75906.0,8523.0,43.0,4205650.0,65282.0,562878.0,142.0,110009.17094086613,196.27342557762145,73428884.0,1690970.1512403844,43424116.0,Australia/Oceania,2022-03-23
Africa,11680253,10875.0,252278.0,28.0,10868220.0,13079.0,559755.0,1458.0,8367.711998474932,180.73150021247474,98355323.0,70461.57445228091,1395871775.0,Africa,2022-03-23
World,474203616,1763061.0,6123283.0,5200.0,410145381.0,1489792.0,57934952.0,60703.0,60836.0,785.6,6014107597.0,762299.966624382,7889423928.0,All,2022-03-23
China,134564,2338.0,4638.0,0.0,106788.0,588.0,23138.0,42.0,93.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-23
USA,81498158,29721.0,1000667.0,988.0,63471636.0,196550.0,17025855.0,2934.0,243753.0,2993.0,974440926.0,2914454.0,334347663.0,North America,2022-03-23
India,43012749,1778.0,516636.0,62.0,42473057.0,2542.0,23056.0,8944.0,30649.0,368.0,784290846.0,558857.0,1403383978.0,Asia,2022-03-23
Brazil,29683686,41838.0,657773.0,410.0,28286808.0,72713.0,739105.0,8318.0,137959.0,3057.0,63776166.0,296408.0,215163281.0,South America,2022-03-23
France,24342116,180777.0,141218.0,133.0,22699221.0,57545.0,1501677.0,1632.0,371508.0,2155.0,246629975.0,3764054.0,65522434.0,Europe,2022-03-23
UK,20469622,107499.0,163929.0,250.0,18700082.0,36242.0,1605611.0,299.0,298824.0,2393.0,498139550.0,7272049.0,68500576.0,Europe,2022-03-23
Germany,19134583,268357.0,127865.0,324.0,14904100.0,223400.0,4102618.0,2494.0,227128.0,1518.0,104701826.0,1242816.0,84245647.0,Europe,2022-03-23
Russia,17637795,26394.0,365373.0,472.0,16346800.0,74920.0,925622.0,2300.0,120772.0,2502.0,273400000.0,1872060.0,146042306.0,Europe,2022-03-23
Turkey,14726276,17426.0,97437.0,90.0,14364955.0,22184.0,263884.0,975.0,171429.0,1134.0,151259310.0,1760818.0,85902862.0,Asia,2022-03-23
Italy,13994190,98463.0,158101.0,197.0,12633384.0,71380.0,1202705.0,455.0,232043.0,2622.0,196572613.0,3259446.0,60308605.0,Europe,2022-03-23
Spain,11378784,13536.0,102053.0,86.0,10707169.0,30529.0,569562.0,682.0,243209.0,2181.0,471036328.0,10067893.0,46785988.0,Europe,2022-03-23
S. Korea,9936540,353725.0,13141.0,384.0,0.0,0.0,0.0,1104.0,193524.0,256.0,15804065.0,307800.0,51345227.0,Asia,2022-03-23
Argentina,9016057,4690.0,127675.0,76.0,8821024.0,3738.0,67358.0,632.0,196384.0,2781.0,35142143.0,765450.0,45910441.0,South America,2022-03-23
Vietnam,8351868,130938.0,42014.0,65.0,4468805.0,186137.0,3841049.0,4225.0,84492.0,425.0,83048614.0,840166.0,98847807.0,Asia,2022-03-23
Netherlands,7583852,40534.0,21820.0,24.0,6060759.0,36434.0,1501273.0,160.0,440916.0,1269.0,21107399.0,1227159.0,17200213.0,Europe,2022-03-23
Iran,7143409,1120.0,139735.0,73.0,6833351.0,4637.0,170323.0,1869.0,83213.0,1628.0,48534882.0,565376.0,85845294.0,Asia,2022-03-23
Japan,6131791,29657.0,27176.0,57.0,5619681.0,51958.0,484934.0,937.0,48739.0,216.0,42063276.0,334342.0,125809201.0,Asia,2022-03-23
Colombia,6081933,294.0,139489.0,18.0,5914212.0,20.0,28232.0,342.0,117372.0,2692.0,33716878.0,650686.0,51817422.0,South America,2022-03-23
Indonesia,5974646,7464.0,154062.0,170.0,5639029.0,29084.0,181555.0,2771.0,21452.0,553.0,90709336.0,325698.0,278507531.0,Asia,2022-03-23
Poland,5905451,10137.0,114356.0,134.0,5253358.0,9903.0,537737.0,393.0,156332.0,3027.0,35137885.0,930185.0,37775174.0,Europe,2022-03-23
