"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,126415744,723684.0,1372833.0,1740.0,112625747.0,335618.0,12417164.0,29190.0,27088.01242209533,294.16681958113065,1969428937.0,422003.73008831876,4666851965.0,Asia,2022-03-13
North America,95729639,29230.0,1422855.0,551.0,68890852.0,179123.0,25415932.0,10165.0,160367.6832573767,2383.587385733009,1080215868.0,1809593.329491363,596938467.0,North America,2022-03-13
South America,55250801,37914.0,1268098.0,399.0,50002341.0,121626.0,3980362.0,12372.0,126493.4782602325,2903.236222672035,212402250.0,486282.5317736021,436787744.0,South America,2022-03-13
Europe,165288391,600719.0,1739371.0,1206.0,145697698.0,536716.0,17851322.0,11996.0,220856.91956047856,2324.1324978039697,2522369915.0,3370368.8810118926,748395800.0,Europe,2022-03-13
Africa,11631575,2461.0,251759.0,47.0,10784326.0,5865.0,595490.0,1554.0,8338.094752709263,180.47344378102977,97435557.0,69846.68082774727,1394991943.0,Africa,2022-03-13
Oceania,4212443,44670.0,8257.0,25.0,3688206.0,43426.0,515980.0,159.0,97037.91136482162,190.20839786777697,72448803.0,1668931.9057851757,43410281.0,Australia/Oceania,2022-03-13
World,458529314,1438678.0,6063188.0,3968.0,391689876.0,1222374.0,60776250.0,65436.0,58825.0,777.9,5954301330.0,754915.3456126513,7887376200.0,All,2022-03-13
China,115466,1938.0,4636.0,0.0,103600.0,169.0,7230.0,6.0,80.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-13
USA,81199001,16082.0,990712.0,310.0,56079078.0,159831.0,24129211.0,4250.0,242896.0,2964.0,965581346.0,2888413.0,334294730.0,North America,2022-03-13
India,42993494,2503.0,515907.0,57.0,42441449.0,4377.0,36138.0,8944.0,30644.0,368.0,778520151.0,554891.0,1403013575.0,Asia,2022-03-13
Brazil,29368776,18397.0,655139.0,146.0,27742324.0,70731.0,971313.0,8318.0,136521.0,3045.0,63776166.0,296465.0,215122061.0,South America,2022-03-13
France,23514144,60422.0,140109.0,29.0,22163944.0,17144.0,1210091.0,1928.0,358893.0,2138.0,246629975.0,3764280.0,65518499.0,Europe,2022-03-13
UK,19653771,47180.0,162828.0,45.0,18328289.0,49486.0,1162654.0,253.0,286955.0,2377.0,489876300.0,7152434.0,68490853.0,Europe,2022-03-13
Russia,17335186,44989.0,360811.0,596.0,15480407.0,128629.0,1493968.0,2300.0,118701.0,2471.0,273400000.0,1872082.0,146040602.0,Europe,2022-03-13
Germany,17240479,213264.0,126109.0,32.0,13349900.0,76200.0,3764470.0,2494.0,204663.0,1497.0,104701826.0,1242924.0,84238346.0,Europe,2022-03-13
Turkey,14551665,17426.0,96487.0,138.0,14144080.0,35568.0,311098.0,975.0,169446.0,1124.0,148515802.0,1729380.0,85878080.0,Asia,2022-03-13
Italy,13374005,49684.0,156868.0,86.0,12216835.0,36111.0,1000302.0,516.0,221751.0,2601.0,192560616.0,3192793.0,60311024.0,Europe,2022-03-13
Spain,11223974,0.0,101135.0,0.0,10294394.0,0.0,828445.0,689.0,239903.0,2162.0,471036328.0,10067999.0,46785495.0,Europe,2022-03-13
Argentina,8971432,1236.0,127187.0,65.0,8776700.0,6747.0,67545.0,737.0,195460.0,2771.0,34789684.0,757960.0,45899120.0,South America,2022-03-13
Netherlands,7168183,52326.0,21707.0,8.0,5582265.0,80599.0,1564211.0,156.0,416775.0,1262.0,21107399.0,1227233.0,17199180.0,Europe,2022-03-13
Iran,7123093,3330.0,138949.0,118.0,6779949.0,5752.0,204195.0,2832.0,83004.0,1619.0,48179304.0,561426.0,85815922.0,Asia,2022-03-13
S. Korea,6556453,350176.0,10395.0,251.0,0.0,0.0,0.0,1074.0,127697.0,202.0,15804065.0,307807.0,51344026.0,Asia,2022-03-13
Vietnam,6216176,169797.0,41385.0,95.0,3163571.0,95538.0,3011220.0,4107.0,62902.0,419.0,81481599.0,824513.0,98823902.0,Asia,2022-03-13
Colombia,6076819,486.0,139297.0,14.0,5908393.0,808.0,29129.0,342.0,117307.0,2689.0,33516825.0,647010.0,51802613.0,South America,2022-03-13
Indonesia,5890495,11585.0,152166.0,215.0,5395433.0,25854.0,342896.0,2771.0,21156.0,547.0,88910570.0,319330.0,278428553.0,Asia,2022-03-13
Poland,5818684,7577.0,113443.0,10.0,5178232.0,3755.0,527009.0,487.0,154030.0,3003.0,34555599.0,914743.0,37776302.0,Europe,2022-03-13
Japan,5720394,54758.0,26029.0,169.0,5107806.0,60919.0,586559.0,1175.0,45465.0,207.0,40958801.0,325536.0,125819733.0,Asia,2022-03-13
Mexico,5605636,6352.0,321054.0,203.0,4894102.0,6643.0,390480.0,4798.0,42716.0,2446.0,15346122.0,116941.0,131229978.0,North America,2022-03-13
Ukraine,4904152,3987.0,107150.0,66.0,0.0,0.0,0.0,177.0,113291.0,2475.0,19521252.0,450961.0,43288113.0,Europe,2022-03-13
Malaysia,3823571,22535.0,33807.0,87.0,3468888.0,25356.0,320876.0,384.0,115623.0,1022.0,52253912.0,1580140.0,33069172.0,Asia,2022-03-13
Israel,3719444,6557.0,10379.0,12.0,3667446.0,9009.0,41619.0,353.0,398825.0,1113.0,41373364.0,4436346.0,9326000.0,Asia,2022-03-13
South Africa,3694504,972.0,99725.0,13.0,3576438.0,2969.0,18341.0,546.0,60989.0,1646.0,23410199.0,386456.0,60576674.0,Africa,2022-03-13
Czechia,3683263,4423.0,39172.0,24.0,3572768.0,8762.0,71323.0,115.0,342863.0,3646.0,53071895.0,4940284.0,10742680.0,Europe,2022-03-13
