#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Africa,11556329,6986,249905,113,10672371,9868,593691,1767,1707010,17523,96322726,9679849,1394112109,Africa
,Asia,118750833,649853,1354252,1818,108729126,360795,8667455,31003,4206005,28913,1942411783,76331966,4665933277,Asia
,Oceania,3708642,60914,7924,51,3259161,30419,373774,190,967337,5725,71481643,8857361,43394804,Australia/Oceania
,Europe,158353900,728803,1717304,2776,136940770,1117465,19695826,13878,12982568,106212,2500902346,184383738,748383519,Europe
,North America,95190779,80474,1411461,1862,66698673,222055,27070842,13030,5875194,49494,1068029149,82992914,596812419,North America
,South America,54499810,106599,1260442,1150,46416919,185028,2709806,13193,1674070,30414,210336006,12038154,436690699,South America
,,721,,15,,706,,0,0,,,,,,
,World,442061014,1633629,6001303,7770,372717726,1925630,59111394,73061,27412184,238281,5889483653,374283982,7885326827,All
1,USA,80849953,53838,982032,1389,54136964,191175,25730957,7025,241891,2938,954367702,2855321,334241797,North America
2,India,42951556,6396,514620,201,42367070,13450,69866,8944,30622,367,770050005,548999,1402643172,Asia
3,Brazil,28906214,64054,650646,594,26810286,142276,1445282,8318,134397,3025,63776166,296522,215080841,South America
4,France,22900531,60225,138942,180,21364892,131190,1396697,2484,349549,2121,246629975,3764506,65514564,Europe
5,UK,19074441,45571,161898,194,17537214,,1375329,279,278536,2364,484240712,7071156,68481129,Europe
6,Russia,16685850,93026,354011,781,14102684,170689,2229155,2300,114256,2424,273400000,1872104,146038899,Europe
7,Germany,15375508,202338,124265,289,11696600,226300,3554643,2494,182540,1475,104701826,1243031,84231046,Europe
8,Turkey,14255545,49424,95025,188,13572870,66873,587650,1011,166045,1107,145020155,1689162,85853298,Asia
9,Italy,12910764,41758,155399,185,11713645,62551,1041720,654,214061,2577,188713837,3128885,60313444,Europe
10,Spain,11078028,23140,100239,202,9800509,60554,1177280,890,236786,2143,471036328,10068105,46785002,Europe
11,Argentina,8921536,9219,126531,141,8705178,10670,89827,1076,194421,2757,34379641,749211,45887800,South America
12,Iran,7073747,6772,137439,172,6696494,18416,239814,4098,82458,1602,47494176,553632,85786549,Asia
13,Netherlands,6504886,58283,21589,7,4653122,114923,1830175,164,378232,1255,21107399,1227307,17198147,Europe
14,Colombia,6068074,1051,138939,40,5895880,1891,33255,342,117172,2683,33281725,642656,51787803,South America
15,Poland,5708833,14074,112130,266,5099515,12389,497188,696,151118,2968,33881265,896865,37777430,Europe
