"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Africa,11556329,6986.0,249905.0,113.0,10672371.0,9868.0,593691.0,1767.0,1707010.0,17523.0,192645452.0,9679849.0,2788224218.0,Africa,2022-03-03
Asia,118750833,649853.0,1354252.0,1818.0,108729126.0,360795.0,8667455.0,31003.0,4206005.0,28913.0,3884823566.0,76331966.0,9331866554.0,Asia,2022-03-03
Oceania,3708642,60914.0,7924.0,51.0,3259161.0,30419.0,373774.0,190.0,967337.0,5725.0,142963286.0,8857361.0,86789608.0,Australia/Oceania,2022-03-03
Europe,158353900,728803.0,1717304.0,2776.0,136940770.0,1117465.0,19695826.0,13878.0,12982568.0,106212.0,5001804692.0,184383738.0,1496767038.0,Europe,2022-03-03
North America,95190779,80474.0,1411461.0,1862.0,66698673.0,222055.0,27070842.0,13030.0,5875194.0,49494.0,2136058298.0,82992914.0,1193624838.0,North America,2022-03-03
World,442061014,1633629.0,6001303.0,7770.0,372717726.0,1925630.0,59111394.0,73061.0,27412184.0,238281.0,17668450959.0,374283982.0,23655980481.0,All,2022-03-03
South America,54499810,106599.0,1260442.0,1150.0,46416919.0,185028.0,2709806.0,13193.0,1674070.0,30414.0,420672012.0,12038154.0,873381398.0,South America,2022-03-03
USA,80849953,53838.0,982032.0,1389.0,54136964.0,191175.0,25730957.0,7025.0,241891.0,2938.0,954367702.0,2855321.0,334241797.0,North America,2022-03-03
India,42951556,6396.0,514620.0,201.0,42367070.0,13450.0,69866.0,8944.0,30622.0,367.0,770050005.0,548999.0,1402643172.0,Asia,2022-03-03
Brazil,28906214,64054.0,650646.0,594.0,26810286.0,142276.0,1445282.0,8318.0,134397.0,3025.0,63776166.0,296522.0,215080841.0,South America,2022-03-03
France,22900531,60225.0,138942.0,180.0,21364892.0,131190.0,1396697.0,2484.0,349549.0,2121.0,246629975.0,3764506.0,65514564.0,Europe,2022-03-03
UK,19074441,45571.0,161898.0,194.0,17537214.0,0.0,1375329.0,279.0,278536.0,2364.0,484240712.0,7071156.0,68481129.0,Europe,2022-03-03
Russia,16685850,93026.0,354011.0,781.0,14102684.0,170689.0,2229155.0,2300.0,114256.0,2424.0,273400000.0,1872104.0,146038899.0,Europe,2022-03-03
Germany,15375508,202338.0,124265.0,289.0,11696600.0,226300.0,3554643.0,2494.0,182540.0,1475.0,104701826.0,1243031.0,84231046.0,Europe,2022-03-03
Turkey,14255545,49424.0,95025.0,188.0,13572870.0,66873.0,587650.0,1011.0,166045.0,1107.0,145020155.0,1689162.0,85853298.0,Asia,2022-03-03
Italy,12910764,41758.0,155399.0,185.0,11713645.0,62551.0,1041720.0,654.0,214061.0,2577.0,188713837.0,3128885.0,60313444.0,Europe,2022-03-03
Spain,11078028,23140.0,100239.0,202.0,9800509.0,60554.0,1177280.0,890.0,236786.0,2143.0,471036328.0,10068105.0,46785002.0,Europe,2022-03-03
Argentina,8921536,9219.0,126531.0,141.0,8705178.0,10670.0,89827.0,1076.0,194421.0,2757.0,34379641.0,749211.0,45887800.0,South America,2022-03-03
Iran,7073747,6772.0,137439.0,172.0,6696494.0,18416.0,239814.0,4098.0,82458.0,1602.0,47494176.0,553632.0,85786549.0,Asia,2022-03-03
Netherlands,6504886,58283.0,21589.0,7.0,4653122.0,114923.0,1830175.0,164.0,378232.0,1255.0,21107399.0,1227307.0,17198147.0,Europe,2022-03-03
Colombia,6068074,1051.0,138939.0,40.0,5895880.0,1891.0,33255.0,342.0,117172.0,2683.0,33281725.0,642656.0,51787803.0,South America,2022-03-03
Poland,5708833,14074.0,112130.0,266.0,5099515.0,12389.0,497188.0,696.0,151118.0,2968.0,33881265.0,896865.0,37777430.0,Europe,2022-03-03
Indonesia,5667355,37259.0,149268.0,232.0,4986391.0,42154.0,531696.0,2911.0,20361.0,536.0,86075507.0,309235.0,278349576.0,Asia,2022-03-03
Mexico,5534086,12342.0,318835.0,304.0,4809799.0,13721.0,405452.0,4798.0,42183.0,2430.0,15147396.0,115459.0,131192990.0,North America,2022-03-03
Japan,5139305,71570.0,24092.0,232.0,4419826.0,74909.0,695387.0,1418.0,40843.0,191.0,39385361.0,313004.0,125830265.0,Asia,2022-03-03
Ukraine,4809624,0.0,105505.0,0.0,4058020.0,0.0,646099.0,177.0,111089.0,2437.0,19521252.0,450887.0,43295254.0,Europe,2022-03-03
Vietnam,3933675,120259.0,40547.0,95.0,2550525.0,33740.0,1342603.0,3840.0,39815.0,410.0,79665130.0,806327.0,98799997.0,Asia,2022-03-03
S. Korea,3691488,198802.0,8394.0,128.0,969524.0,0.0,2713570.0,766.0,71899.0,163.0,15804065.0,307814.0,51342824.0,Asia,2022-03-03
South Africa,3679539,1853.0,99499.0,41.0,3554282.0,1494.0,25758.0,546.0,60762.0,1643.0,23166727.0,382565.0,60556245.0,Africa,2022-03-03
Philippines,3664894,978.0,56538.0,34.0,3557685.0,1125.0,50671.0,297.0,32718.0,505.0,28203435.0,251784.0,112014307.0,Asia,2022-03-03
Israel,3653608,2377.0,10239.0,2.0,3585292.0,7460.0,58077.0,510.0,391766.0,1098.0,41373364.0,4436346.0,9326000.0,Asia,2022-03-03
Czechia,3608559,8967.0,38823.0,38.0,3474458.0,5857.0,95278.0,197.0,335926.0,3614.0,52741015.0,4909732.0,10742138.0,Europe,2022-03-03
Belgium,3571579,7738.0,30217.0,18.0,3125040.0,60907.0,416322.0,240.0,305948.0,2588.0,31794693.0,2723594.0,11673799.0,Europe,2022-03-03
Malaysia,3528557,32467.0,33028.0,86.0,3197298.0,27629.0,298231.0,355.0,106739.0,999.0,50211993.0,1518913.0,33057842.0,Asia,2022-03-03
Peru,3522484,1880.0,210907.0,56.0,0.0,0.0,0.0,871.0,104407.0,6251.0,27510769.0,815422.0,33738088.0,South America,2022-03-03
Canada,3310385,6600.0,36843.0,114.0,3161973.0,6566.0,111569.0,600.0,86446.0,962.0,58319533.0,1522928.0,38294340.0,North America,2022-03-03
Australia,3297205,35855.0,5317.0,45.0,3081549.0,29222.0,210339.0,118.0,126847.0,205.0,63779116.0,2453654.0,25993524.0,Australia/Oceania,2022-03-03
Portugal,3294691,12234.0,21141.0,30.0,2799531.0,11726.0,474019.0,90.0,324693.0,2083.0,37805639.0,3725762.0,10147088.0,Europe,2022-03-03
Chile,3124302,24895.0,42683.0,272.0,2149021.0,23033.0,932598.0,1105.0,161129.0,2201.0,33241006.0,1714336.0,19390016.0,South America,2022-03-03
Thailand,2958162,23618.0,23073.0,49.0,2711678.0,18939.0,223411.0,687.0,42204.0,329.0,17270775.0,246401.0,70092285.0,Asia,2022-03-03
Switzerland,2862791,23621.0,13299.0,6.0,2256659.0,43667.0,592833.0,139.0,326794.0,1518.0,18811814.0,2147409.0,8760240.0,Europe,2022-03-03
Austria,2775589,31566.0,14924.0,36.0,2478168.0,24379.0,282497.0,189.0,305273.0,1641.0,161305125.0,17741130.0,9092156.0,Europe,2022-03-03
Romania,2754730,5953.0,63784.0,105.0,2536050.0,11938.0,154896.0,848.0,144807.0,3353.0,21202396.0,1114536.0,19023510.0,Europe,2022-03-03
Denmark,2683219,12595.0,4731.0,44.0,2362924.0,38404.0,315564.0,42.0,460540.0,812.0,125634988.0,21563637.0,5826243.0,Europe,2022-03-03
Greece,2470212,15783.0,26036.0,64.0,2263358.0,15247.0,180818.0,393.0,238943.0,2518.0,66567338.0,6439041.0,10338083.0,Europe,2022-03-03
Sweden,2455966,2030.0,17479.0,6.0,2207320.0,40783.0,231167.0,53.0,240678.0,1713.0,18174812.0,1781084.0,10204355.0,Europe,2022-03-03
Iraq,2306092,1009.0,25028.0,15.0,2250904.0,2088.0,30160.0,111.0,55266.0,600.0,18020396.0,431859.0,41727463.0,Asia,2022-03-03
Bangladesh,1945765,657.0,29058.0,5.0,1831577.0,4628.0,85130.0,1275.0,11622.0,174.0,13470456.0,80456.0,167427117.0,Asia,2022-03-03
Serbia,1919327,2620.0,15346.0,31.0,1825695.0,6001.0,78286.0,100.0,221155.0,1768.0,8800146.0,1014001.0,8678633.0,Europe,2022-03-03
Hungary,1796982,3862.0,44211.0,77.0,1610315.0,4231.0,142456.0,126.0,186808.0,4596.0,10818978.0,1124703.0,9619412.0,Europe,2022-03-03
Jordan,1638228,0.0,13849.0,0.0,1546429.0,0.0,77950.0,694.0,157945.0,1335.0,16319298.0,1573377.0,10372146.0,Asia,2022-03-03
Georgia,1619274,3115.0,16274.0,43.0,1529623.0,11767.0,73377.0,0.0,407222.0,4093.0,15955552.0,4012575.0,3976387.0,Asia,2022-03-03
Pakistan,1511754,768.0,30237.0,19.0,1449060.0,3815.0,32457.0,908.0,6629.0,133.0,26534095.0,116354.0,228045371.0,Asia,2022-03-03
Slovakia,1482354,11462.0,18611.0,44.0,1288400.0,18406.0,175343.0,232.0,271292.0,3406.0,6444955.0,1179518.0,5464056.0,Europe,2022-03-03
Ireland,1311105,4043.0,6527.0,6.0,1180695.0,4195.0,123883.0,46.0,260667.0,1298.0,11402648.0,2267012.0,5029814.0,Europe,2022-03-03
Kazakhstan,1303063,253.0,13620.0,4.0,1272470.0,2091.0,16973.0,528.0,68040.0,711.0,11575012.0,604394.0,19151428.0,Asia,2022-03-03
Norway,1289884,10715.0,1664.0,0.0,88952.0,0.0,1199268.0,25.0,234867.0,303.0,9852076.0,1793903.0,5491979.0,Europe,2022-03-03
Morocco,1161392,102.0,16006.0,4.0,1142318.0,386.0,3068.0,293.0,30855.0,425.0,11237010.0,298535.0,37640491.0,Africa,2022-03-03
Bulgaria,1097298,1104.0,35716.0,20.0,848792.0,766.0,212790.0,436.0,159929.0,5206.0,9234039.0,1345844.0,6861149.0,Europe,2022-03-03
Lebanon,1074372,1835.0,10125.0,10.0,682977.0,0.0,381270.0,186.0,158592.0,1495.0,4795578.0,707894.0,6774432.0,Asia,2022-03-03
Cuba,1071326,596.0,8498.0,2.0,1060502.0,602.0,2326.0,34.0,94681.0,751.0,12920253.0,1141862.0,11315078.0,North America,2022-03-03
Croatia,1060078,1625.0,15145.0,23.0,1032892.0,1800.0,12041.0,81.0,260909.0,3728.0,4533308.0,1115750.0,4063015.0,Europe,2022-03-03
Tunisia,1001754,1236.0,27874.0,17.0,961303.0,2351.0,12577.0,173.0,83306.0,2318.0,4362099.0,362754.0,12024962.0,Africa,2022-03-03
Nepal,977269,70.0,11944.0,3.0,957808.0,320.0,7517.0,100.0,32564.0,398.0,5433187.0,181041.0,30010857.0,Asia,2022-03-03
Belarus,925515,2083.0,6521.0,15.0,915723.0,2926.0,3271.0,0.0,97999.0,690.0,12488928.0,1322400.0,9444136.0,Europe,2022-03-03
Lithuania,918712,5412.0,8484.0,19.0,829181.0,5740.0,81047.0,84.0,345523.0,3191.0,7787196.0,2928727.0,2658901.0,Europe,2022-03-03
Slovenia,898997,1873.0,6336.0,9.0,862060.0,4572.0,30601.0,83.0,432332.0,3047.0,2575164.0,1238408.0,2079415.0,Europe,2022-03-03
Bolivia,893775,263.0,21443.0,2.0,792419.0,1799.0,79913.0,220.0,74864.0,1796.0,2669468.0,223599.0,11938660.0,South America,2022-03-03
UAE,881472,502.0,2301.0,0.0,838641.0,1502.0,40530.0,0.0,87363.0,228.0,139003973.0,13776718.0,10089774.0,Asia,2022-03-03
Uruguay,849050,2182.0,7014.0,9.0,825045.0,3775.0,16991.0,126.0,243015.0,2008.0,5733295.0,1640981.0,3493821.0,South America,2022-03-03
Ecuador,836216,2356.0,35264.0,14.0,0.0,0.0,0.0,759.0,46225.0,1949.0,2470170.0,136549.0,18089961.0,South America,2022-03-03
Costa Rica,812812,1772.0,8073.0,16.0,682991.0,3845.0,121748.0,110.0,157164.0,1561.0,3712867.0,717915.0,5171738.0,North America,2022-03-03
Azerbaijan,787937,570.0,9473.0,19.0,771530.0,1784.0,6934.0,0.0,76561.0,920.0,6579163.0,639271.0,10291672.0,Asia,2022-03-03
Guatemala,786869,2845.0,17029.0,11.0,730907.0,4085.0,38933.0,5.0,42606.0,922.0,3922624.0,212398.0,18468290.0,North America,2022-03-03
