#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"141,275,570","+309,185","1,405,808",+805,"121,316,716","+222,817","18,553,046","24,749",,,,,,Asia
,North America,"96,734,656","+37,355","1,445,181",+381,"79,015,884","+174,746","16,273,591","7,353",,,,,,North America
,South America,"56,226,678","+19,420","1,289,166",+221,"51,882,677","+75,960","3,054,835","11,340",,,,,,South America
,Europe,"180,839,902","+335,236","1,780,736","+1,222","159,554,152","+637,794","19,505,014","10,441",,,,,,Europe
,Oceania,"5,706,206","+58,249","9,365",+29,"5,053,609","+64,781","643,232",151,,,,,,Australia/Oceania
,Africa,"11,771,283","+1,900","253,044",+28,"11,003,166","+4,442","515,073","1,353",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"492,555,016","+761,345","6,183,315","+2,686","427,826,910","+1,180,540","58,544,791","55,387","63,190",793.3,,,,All
1,China,"156,143","+1,405","4,638",,"125,781","+1,848","25,724",54,108,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,885,591","+23,247","1,009,353",+319,"65,843,689","+161,049","15,032,549","1,803","244,861","3,018","986,829,899","2,950,901","334,416,477",North America
3,India,"43,029,839",+795,"521,446",+58,"42,496,369","+1,280","12,024","8,944","30,651",371,"791,079,706","563,501","1,403,865,502",Asia
4,Brazil,"30,012,798","+12,982","660,381",+112,"28,834,486","+49,558","517,931","8,318","139,454","3,068","63,776,166","296,334","215,216,867",South America
5,France,"26,025,500","+27,648","142,655",+149,"23,507,109","+116,587","2,375,736","1,486","397,169","2,177","254,106,036","3,877,850","65,527,549",Europe
6,Germany,"21,769,026","+122,651","130,713",+150,"17,156,600","+183,900","4,481,713","2,494","258,370","1,551","104,701,826","1,242,676","84,255,138",Europe
7,UK,"21,380,243","+41,418","168,488",+71,"19,262,941","+62,410","1,948,814",356,"312,060","2,459","507,265,990","7,403,914","68,513,217",Europe
8,Russia,"17,912,157","+15,291","369,995",+287,"16,997,877","+32,850","544,285","2,300","122,649","2,533","273,400,000","1,872,032","146,044,521",Europe
9,Turkey,"14,907,378","+12,647","98,197",+40,"14,584,479","+13,958","224,702",975,"173,473","1,143","154,732,110","1,800,570","85,935,079",Asia
10,Italy,"14,877,885","+31,371","160,628",+126,"13,442,930","+40,915","1,274,327",483,"246,709","2,664","203,647,359","3,376,931","60,305,460",Europe
11,S. Korea,"14,001,406","+127,190","17,453",+218,N/A,N/A,N/A,"1,108","272,683",340,"15,804,065","307,791","51,346,789",Asia
12,Spain,"11,571,884","+6,770","102,697",+52,"10,975,331","+23,088","493,856",420,"247,333","2,195","471,036,328","10,067,755","46,786,629",Europe
13,Vietnam,"9,876,297","+48,763","42,642",+42,"7,843,835","+55,873","1,989,820","1,942","99,883",431,"84,680,932","856,411","98,878,883",Asia
14,Argentina,"9,043,098","+1,974","128,086",+21,"8,870,542","+2,635","44,470",476,"196,909","2,789","35,478,057","772,519","45,925,157",South America
15,Netherlands,"7,921,025","+12,324","22,023",+7,"6,618,387","+67,198","1,280,615",130,"460,483","1,280","21,107,399","1,227,063","17,201,555",Europe
16,Iran,"7,171,165","+3,519","140,368",+53,"6,890,768","+3,826","140,029","1,591","83,499","1,634","49,358,909","574,719","85,883,479",Asia
17,Japan,"6,702,086","+48,245","28,286",+38,"6,203,522","+38,730","470,278",505,"53,278",225,"43,766,415","347,917","125,795,510",Asia
18,Colombia,"6,086,233",+307,"139,670",+10,"5,919,385",+313,"27,178",342,"117,412","2,694","33,992,556","655,763","51,836,674",South America
19,Indonesia,"6,021,642","+1,661","155,349",+61,"5,776,058","+7,355","90,235","2,771","21,613",558,"92,456,546","331,849","278,610,202",Asia
20,Poland,"5,970,107",+486,"115,345",,"5,333,534",,"521,228",268,"158,049","3,054","35,742,606","946,230","37,773,707",Europe
21,Mexico,"5,666,215",+839,"323,223",+11,"4,964,420","+1,420","378,572","4,798","43,150","2,461","15,599,685","118,796","131,315,052",North America
22,Ukraine,"4,973,738",+757,"108,019",+4,N/A,N/A,N/A,177,"114,942","2,496","19,521,252","451,132","43,271,688",Europe
23,Australia,"4,727,501","+46,685","6,398",+14,"4,221,386","+50,893","499,717",107,"181,686",246,"66,986,568","2,574,407","26,020,191",Australia/Oceania
24,Malaysia,"4,256,469","+10,002","35,127",+28,"4,041,723","+23,302","179,619",236,"128,613","1,061","56,884,042","1,718,799","33,095,230",Asia
25,Israel,"3,957,499","+14,346","10,554",+24,"3,883,123","+36,201","63,822",241,"424,351","1,132","41,373,364","4,436,346","9,326,000",Asia
26,Austria,"3,899,660","+12,305","16,002",+17,"3,607,702","+35,472","275,956",226,"428,686","1,759","177,031,676","19,460,914","9,096,781",Europe
27,Belgium,"3,881,523","+10,351","30,908",+29,"3,547,912","+7,159","302,703",183,"332,370","2,647","33,001,012","2,825,832","11,678,336",Europe
