#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"130,083,365","+1,002,841","1,379,559","+1,912","114,100,367","+360,183","14,603,439","28,743",,,,,,Asia
,North America,"95,956,105","+61,183","1,429,492","+1,373","69,727,158","+219,241","24,799,455","9,318",,,,,,North America
,South America,"55,496,938","+75,543","1,270,283",+762,"50,556,794","+97,661","3,669,861","12,196",,,,,,South America
,Europe,"168,492,742","+901,814","1,748,448","+2,081","148,766,404","+683,680","17,977,890","11,499",,,,,,Europe
,Oceania,"4,464,011","+73,298","8,380",+39,"3,884,664","+49,643","570,967",151,,,,,,Australia/Oceania
,Africa,"11,652,330","+2,993","251,953",+88,"10,816,170","+3,737","584,207","1,508",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"466,146,212","+2,117,672","6,088,130","+6,255","397,852,263","+1,414,145","62,205,819","63,415","59,802",781.1,,,,All
1,China,"123,773","+1,317","4,636",,"104,287",+247,"14,850",16,86,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,356,354","+38,685","996,415","+1,009","56,822,580","+187,878","23,537,359","3,471","243,352","2,980","969,701,073","2,900,553","334,315,903",North America
3,India,"43,004,005","+2,528","516,312",+150,"42,458,543","+3,997","29,150","8,944","30,648",368,"781,224,304","556,760","1,403,161,736",Asia
4,Brazil,"29,527,640","+49,601","656,487",+484,"28,126,647","+62,887","744,506","8,318","137,249","3,051","63,776,166","296,442","215,138,549",South America
5,France,"23,860,194","+101,747","140,729",+116,"22,452,496","+57,965","1,266,969","1,695","364,166","2,148","246,629,975","3,764,190","65,520,073",Europe
6,UK,"20,003,413","+91,503","163,386",+138,"18,507,001","+33,031","1,333,026",281,"292,043","2,385","494,393,440","7,217,977","68,494,742",Europe
7,Germany,"18,140,525","+296,980","127,072",+242,"14,142,500","+210,600","3,870,953","2,494","215,340","1,508","104,701,826","1,242,880","84,241,266",Europe
8,Russia,"17,484,257","+34,819","363,039",+561,"15,934,645","+112,614","1,186,573","2,300","119,721","2,486","273,400,000","1,872,073","146,041,284",Europe
9,Turkey,"14,644,382","+21,354","96,954",+101,"14,271,428","+25,619","276,000",975,"170,506","1,129","149,811,965","1,744,271","85,887,993",Asia
10,Italy,"13,648,161","+82,222","157,442",+128,"12,400,175","+48,190","1,090,544",473,"226,300","2,611","194,373,101","3,222,897","60,310,057",Europe
11,Spain,"11,303,104","+21,532","101,608",+96,"10,548,396","+22,806","653,100",682,"241,593","2,172","471,036,328","10,067,957","46,785,693",Europe
12,Argentina,"8,990,413","+4,577","127,363",+29,"8,797,548","+6,289","65,502",707,"195,854","2,775","34,971,639","761,849","45,903,649",South America
13,S. Korea,"8,250,592","+621,328","11,481",+429,N/A,N/A,N/A,"1,159","160,691",224,"15,804,065","307,804","51,344,506",Asia
14,Netherlands,"7,380,902","+53,667","21,755",+19,"5,821,253","+53,495","1,537,894",155,"429,132","1,265","21,107,399","1,227,203","17,199,593",Europe
15,Vietnam,"7,203,938","+178,845","41,683",+76,"3,685,988","+138,500","3,476,267","4,435","72,890",422,"82,126,716","830,961","98,833,464",Asia
16,Iran,"7,135,719","+2,580","139,387",+98,"6,805,081","+6,731","191,251","2,234","83,140","1,624","48,534,882","565,492","85,827,671",Asia
17,Colombia,"6,079,231",+744,"139,386",+25,"5,911,449",+924,"28,396",342,"117,340","2,690","33,623,076","648,987","51,808,536",South America
18,Indonesia,"5,939,082","+11,532","153,212",+237,"5,523,393","+28,787","262,477","2,771","21,328",550,"89,980,099","323,135","278,460,144",Asia
19,Japan,"5,911,813","+56,573","26,600",+158,"5,344,759","+59,925","540,454","1,090","46,988",211,"41,509,477","329,923","125,815,520",Asia
20,Poland,"5,863,412","+12,272","113,980",+207,"5,215,898","+7,955","533,534",457,"155,216","3,017","34,844,547","922,403","37,775,851",Europe
21,Mexico,"5,619,780","+5,910","321,619",+244,"4,912,654","+5,845","385,507","4,798","42,819","2,451","15,396,315","117,310","131,244,774",North America
22,Ukraine,"4,922,901","+5,144","107,412",+72,N/A,N/A,N/A,177,"113,732","2,481","19,521,252","450,991","43,285,256",Europe
23,Malaysia,"3,927,437","+27,004","34,185",+86,"3,596,453","+29,450","296,799",373,"118,748","1,034","53,049,502","1,603,978","33,073,704",Asia
