#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"140,544,858","+473,961","1,404,173","+1,063","120,884,591","+288,537","18,256,094","25,396",,,,,,Asia
,North America,"96,648,764","+20,645","1,443,810",+283,"78,675,217","+153,554","16,529,737","7,443",,,,,,North America
,South America,"56,194,252","+28,138","1,288,728",+246,"51,753,270","+49,533","3,152,254","11,377",,,,,,South America
,Europe,"180,042,667","+434,513","1,775,024","+1,084","158,392,319","+500,311","19,875,324","10,463",,,,,,Europe
,Oceania,"5,591,287","+66,884","9,299",+45,"4,934,062","+65,625","647,926",145,,,,,,Australia/Oceania
,Africa,"11,762,956","+1,859","252,869",+16,"10,987,656","+2,693","522,431","1,354",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"490,785,505","+1,026,000","6,173,918","+2,737","425,627,821","+1,060,253","58,983,766","56,178","62,963",792.1,,,,All
1,China,"153,232","+2,129","4,638",,"121,466","+4,307","27,128",58,106,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,826,371","+12,661","1,008,159",+150,"65,525,974","+142,983","15,292,238","1,889","244,696","3,015","984,909,365","2,945,298","334,400,597",North America
3,India,"43,028,131","+1,096","521,374",+81,"42,493,773","+1,447","12,984","8,944","30,652",371,"790,298,979","562,990","1,403,754,381",Asia
4,Brazil,"29,995,638","+20,473","660,192",+127,"28,758,676","+18,989","576,770","8,318","139,382","3,068","63,776,166","296,351","215,204,501",South America
5,France,"25,895,586","+132,114","142,475",+68,"23,371,737","+60,288","2,381,374","1,486","395,193","2,174","254,106,036","3,877,920","65,526,369",Europe
6,Germany,"21,588,614","+128,639","130,529",+187,"16,886,200","+132,200","4,571,885","2,494","256,236","1,549","104,701,826","1,242,708","84,252,947",Europe
7,UK,"21,216,874",,"165,570",,"19,075,703",,"1,975,601",356,"309,689","2,417","505,708,151","7,381,491","68,510,300",Europe
8,Russia,"17,880,038","+17,949","369,404",+340,"16,929,332","+44,547","581,302","2,300","122,429","2,529","273,400,000","1,872,038","146,044,010",Europe
9,Turkey,"14,885,710","+11,783","98,119",+41,"14,560,209","+13,421","227,382",975,"173,235","1,142","154,284,699","1,795,519","85,927,644",Asia
10,Italy,"14,792,227","+72,224","159,666",+129,"13,353,529","+65,159","1,279,032",493,"245,285","2,648","201,899,959","3,347,915","60,306,185",Europe
11,S. Korea,"13,639,915","+264,097","16,929",+339,N/A,N/A,N/A,"1,165","265,645",330,"15,804,065","307,793","51,346,429",Asia
12,Spain,"11,551,574",,"102,541",,"10,918,903",,"530,130",420,"246,900","2,192","471,036,328","10,067,787","46,786,482",Europe
13,Vietnam,"9,767,598","+65,966","42,563",+37,"7,713,354","+106,878","2,011,681","2,276","98,791",430,"84,490,344","854,545","98,871,712",Asia
14,Argentina,"9,040,640",+802,"128,059",+7,"8,866,417","+2,643","46,164",487,"196,870","2,789","35,444,919","771,855","45,921,761",South America
15,Netherlands,"7,897,928","+16,918","22,006",+12,"6,482,892","+58,273","1,393,030",135,"459,149","1,279","21,107,399","1,227,086","17,201,245",Europe
16,Iran,"7,166,371","+1,887","140,277",+37,"6,882,030","+4,196","144,064","1,697","83,452","1,634","49,358,909","574,778","85,874,667",Asia
17,Japan,"6,606,464","+53,544","28,200",+103,"6,122,400","+39,344","455,864",518,"52,516",224,"43,606,340","346,636","125,798,669",Asia
18,Colombia,"6,085,618",+348,"139,650",+14,"5,918,689",+358,"27,279",342,"117,410","2,694","33,952,707","655,050","51,832,231",South America
19,Indonesia,"6,018,048","+2,300","155,241",+77,"5,764,636","+4,798","98,171","2,771","21,602",557,"92,243,765","331,114","278,586,508",Asia
20,Poland,"5,969,064","+2,096","115,343",+96,"5,332,177","+2,938","521,544",268,"158,020","3,053","35,721,287","945,657","37,774,045",Europe
21,Mexico,"5,662,073","+2,538","323,127",+111,"4,959,965","+2,156","378,981","4,798","43,122","2,461","15,582,502","118,675","131,303,955",North America
22,Ukraine,"4,968,881",,"107,980",,N/A,N/A,N/A,177,"114,824","2,495","19,521,252","451,110","43,273,831",Europe
23,Australia,"4,633,278","+54,667","6,367",+26,"4,126,817","+50,389","500,094",95,"178,081",245,"66,770,212","2,566,331","26,017,767",Australia/Oceania
24,Malaysia,"4,234,087","+14,692","35,069",+56,"3,997,786","+20,383","201,232",261,"127,950","1,060","56,587,537","1,710,015","33,091,831",Asia
