#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
131,French Guiana,"77,733",+81,391,,"11,254",,"66,088",6,"249,491","1,255","595,251","1,910,513","311,566",South America
132,Malta,"71,361",+86,605,,"69,630",+64,"1,126",3,"160,903","1,364","1,211,456","2,731,568","443,502",Europe
133,Eswatini,"69,191",+31,"1,390",,"67,690",+15,111,11,"58,628","1,178","478,281","405,263","1,180,174",Africa
134,Brunei,"67,762","+4,220",127,+2,"36,213","+2,701","31,422",,"152,460",286,"712,994","1,604,191","444,457",Asia
135,French Polynesia,"67,651",+952,641,+2,N/A,N/A,N/A,7,"238,533","2,260",,,"283,613",Australia/Oceania
136,Fiji,"63,992",+55,834,,"61,908",,"1,250",,"70,533",919,"497,408","548,249","907,267",Australia/Oceania
137,Madagascar,"63,659",,"1,366",,"58,677",,"3,616",61,"2,205",47,"398,434","13,798","28,875,793",Africa
138,Guyana,"62,946",+25,"1,220",,"61,267",+48,459,9,"79,389","1,539","540,308","681,453","792,876",South America
139,Sudan,"61,488",+30,"3,909",+1,"40,329",,"17,250",,"1,350",86,"562,941","12,358","45,553,439",Africa
140,Mauritania,"58,638",+5,979,,"57,611",+7,48,30,"12,083",202,"747,186","153,962","4,853,056",Africa
141,Belize,"56,773",+79,650,,"54,853",+112,"1,270",6,"138,590","1,587","502,962","1,227,794","409,647",North America
142,Cabo Verde,"55,887",+1,401,,"55,415",+1,71,23,"98,732",708,"400,982","708,391","566,046",Africa
143,Barbados,"55,385",+220,316,,"53,424",+560,"1,645",,"192,335","1,097","586,840","2,037,915","287,961",North America
144,New Caledonia,"54,856",+679,300,+1,"47,531","+1,058","7,025",38,"189,113","1,034","98,964","341,173","290,070",Australia/Oceania
145,Syria,"54,664",+89,"3,079",+4,"47,330",+197,"4,255",,"3,002",169,"146,269","8,033","18,208,268",Asia
146,Channel Islands,"52,285","+1,283",144,+1,"49,045",+941,"3,096",,"296,177",816,"1,209,938","6,853,891","176,533",Europe
147,Gabon,"47,543",,303,,"46,561",,679,1,"20,553",131,"1,571,354","679,313","2,313,152",Africa
148,Papua New Guinea,"41,302",+12,638,,"39,344",,"1,320",7,"4,475",69,"249,149","26,996","9,229,213",Australia/Oceania
149,Seychelles,"39,403",+67,163,,"38,923",+192,317,,"396,564","1,640",,,"99,361",Africa
150,Curaçao,"38,960",+16,261,,"38,413",+27,286,3,"235,820","1,580","492,475","2,980,885","165,211",North America
151,Andorra,"38,165",+166,151,,"37,449",+314,565,14,"492,636","1,949","249,838","3,224,923","77,471",Europe
152,Burundi,"38,127",+25,38,,773,,"37,316",,"3,055",3,"345,742","27,704","12,480,029",Africa
153,Togo,"36,806",+8,272,,"36,410",,124,,"4,279",32,"691,047","80,338","8,601,694",Africa
154,Mayotte,"36,662",,187,,"2,964",,"33,511",,"129,196",659,"176,919","623,457","283,771",Africa
155,Guinea,"36,397",,440,,"32,939",,"3,018",49,"2,652",32,"587,607","42,811","13,725,600",Africa
156,Faeroe Islands,"34,237",,28,,"7,693",,"26,516",5,"696,270",569,"778,000","15,822,013","49,172",Europe
157,Aruba,"33,684",,211,,"33,418",,55,6,"313,278","1,962","177,885","1,654,421","107,521",North America
