#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"133,767,161","+645,354","1,386,938","+1,381","115,881,947","+384,660","16,498,276","27,372",,,,,,Asia
,North America,"96,167,775","+49,048","1,434,572","+1,076","76,462,558","+216,640","18,270,645","8,562",,,,,,North America
,South America,"55,752,749","+56,740","1,284,111",+543,"50,934,209","+112,456","3,534,429","11,950",,,,,,South America
,Europe,"172,057,906","+925,138","1,756,846","+2,129","151,792,091","+697,675","18,508,969","11,219",,,,,,Europe
,Oceania,"4,777,051","+75,906","8,523",+43,"4,205,650","+65,282","562,878",142,,,,,,Australia/Oceania
,Africa,"11,680,253","+10,875","252,278",+28,"10,868,220","+13,079","559,755","1,458",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"474,203,616","+1,763,061","6,123,283","+5,200","410,145,381","+1,489,792","57,934,952","60,703","60,836",785.6,,,,All
1,China,"134,564","+2,338","4,638",,"106,788",+588,"23,138",42,93,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,498,158","+29,721","1,000,667",+988,"63,471,636","+196,550","17,025,855","2,934","243,753","2,993","974,440,926","2,914,454","334,347,663",North America
3,India,"43,012,749","+1,778","516,636",+62,"42,473,057","+2,542","23,056","8,944","30,649",368,"784,290,846","558,857","1,403,383,978",Asia
4,Brazil,"29,683,686","+41,838","657,773",+410,"28,286,808","+72,713","739,105","8,318","137,959","3,057","63,776,166","296,408","215,163,281",South America
5,France,"24,342,116","+180,777","141,218",+133,"22,699,221","+57,545","1,501,677","1,632","371,508","2,155","246,629,975","3,764,054","65,522,434",Europe
6,UK,"20,469,622","+107,499","163,929",+250,"18,700,082","+36,242","1,605,611",299,"298,824","2,393","498,139,550","7,272,049","68,500,576",Europe
7,Germany,"19,134,583","+268,357","127,865",+324,"14,904,100","+223,400","4,102,618","2,494","227,128","1,518","104,701,826","1,242,816","84,245,647",Europe
8,Russia,"17,637,795","+26,394","365,373",+472,"16,346,800","+74,920","925,622","2,300","120,772","2,502","273,400,000","1,872,060","146,042,306",Europe
9,Turkey,"14,726,276","+17,426","97,437",+90,"14,364,955","+22,184","263,884",975,"171,429","1,134","151,259,310","1,760,818","85,902,862",Asia
10,Italy,"13,994,190","+98,463","158,101",+197,"12,633,384","+71,380","1,202,705",455,"232,043","2,622","196,572,613","3,259,446","60,308,605",Europe
11,Spain,"11,378,784","+13,536","102,053",+86,"10,707,169","+30,529","569,562",682,"243,209","2,181","471,036,328","10,067,893","46,785,988",Europe
12,S. Korea,"9,936,540","+353,725","13,141",+384,N/A,N/A,N/A,"1,104","193,524",256,"15,804,065","307,800","51,345,227",Asia
13,Argentina,"9,016,057","+4,690","127,675",+76,"8,821,024","+3,738","67,358",632,"196,384","2,781","35,142,143","765,450","45,910,441",South America
14,Vietnam,"8,351,868","+130,938","42,014",+65,"4,468,805","+186,137","3,841,049","4,225","84,492",425,"83,048,614","840,166","98,847,807",Asia
15,Netherlands,"7,583,852","+40,534","21,820",+24,"6,060,759","+36,434","1,501,273",160,"440,916","1,269","21,107,399","1,227,159","17,200,213",Europe
16,Iran,"7,143,409","+1,120","139,735",+73,"6,833,351","+4,637","170,323","1,869","83,213","1,628","48,534,882","565,376","85,845,294",Asia
17,Japan,"6,131,791","+29,657","27,176",+57,"5,619,681","+51,958","484,934",937,"48,739",216,"42,063,276","334,342","125,809,201",Asia
18,Colombia,"6,081,933",+294,"139,489",+18,"5,914,212",+20,"28,232",342,"117,372","2,692","33,716,878","650,686","51,817,422",South America
19,Indonesia,"5,974,646","+7,464","154,062",+170,"5,639,029","+29,084","181,555","2,771","21,452",553,"90,709,336","325,698","278,507,531",Asia
20,Poland,"5,905,451","+10,137","114,356",+134,"5,253,358","+9,903","537,737",393,"156,332","3,027","35,137,885","930,185","37,775,174",Europe
21,Mexico,"5,635,500",+671,"322,107",+15,"4,931,741","+2,470","381,652","4,798","42,932","2,454","15,453,958","117,729","131,266,967",North America
22,Ukraine,"4,941,207","+4,442","107,660",+63,N/A,N/A,N/A,177,"114,166","2,487","19,521,252","451,035","43,280,972",Europe
23,Malaysia,"4,032,435","+21,483","34,535",+72,"3,745,229","+32,561","252,671",339,"121,898","1,044","53,883,913","1,628,872","33,080,501",Asia
24,Australia,"3,996,983","+53,738","5,763",+27,"3,600,457","+43,315","390,763",93,"153,673",222,"65,478,796","2,517,477","26,009,686",Australia/Oceania
25,Israel,"3,801,634","+15,821","10,449",+18,"3,725,515","+4,645","65,670",316,"407,638","1,120","41,373,364","4,436,346","9,326,000",Asia
26,Czechia,"3,750,704","+10,420","39,438",+34,"3,642,430","+8,048","68,836",114,"349,123","3,671","54,422,005","5,065,707","10,743,221",Europe
27,Belgium,"3,728,945","+7,477","30,575",+15,"3,471,165","+17,176","227,205",175,"319,353","2,618","32,452,838","2,779,318","11,676,549",Europe
28,South Africa,"3,705,696",+912,"99,893",+3,"3,591,573","+1,307","14,230",546,"61,153","1,648","23,619,340","389,777","60,597,103",Africa
29,Philippines,"3,674,977",+283,"58,281",+5,"3,571,938",+541,"44,758",289,"32,785",520,"28,731,699","256,318","112,094,015",Asia
30,Peru,"3,542,602",+608,"211,944",+20,N/A,N/A,N/A,575,"104,925","6,277","28,300,965","838,219","33,763,193",South America
