"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,131849554,731804.0,1382720.0,1544.0,114813823.0,330483.0,15653011.0,27606.0,28248.461470729442,296.2445564647645,1983482830.0,424956.60092341603,4667495047.0,Asia,2022-03-20
North America,96038982,28916.0,1431608.0,621.0,75786907.0,211753.0,18820467.0,8959.0,160862.1200912841,2397.896075362846,1086761599.0,1820289.7532684586,597026708.0,North America,2022-03-20
South America,55642527,59632.0,1271541.0,551.0,50703239.0,66359.0,3667747.0,12084.0,127370.50139762404,2910.666057953052,213670901.0,489110.9599399051,436855680.0,South America,2022-03-20
Europe,169953675,582428.0,1751679.0,1267.0,149940452.0,498742.0,18261544.0,11415.0,227088.02553535,2340.5514795825175,2540050960.0,3393955.189645474,748404389.0,Europe,2022-03-20
Oceania,4593208,65624.0,8445.0,33.0,4051870.0,46986.0,532893.0,138.0,105785.62189075924,194.49578091553045,73121467.0,1684051.7259744452,43419965.0,Australia/Oceania,2022-03-20
Africa,11656582,1898.0,252028.0,24.0,10820935.0,2036.0,583619.0,1479.0,8352.333501460316,180.58654824424866,97964924.0,70195.16670437473,1395607826.0,Africa,2022-03-20
World,469735249,1470302.0,6098036.0,4040.0,406117932.0,1156359.0,57519281.0,61681.0,60263.0,782.3,5995052681.0,759943.8918643494,7888809615.0,All,2022-03-20
China,128462,2228.0,4638.0,2.0,105238.0,614.0,18586.0,31.0,89.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-20
USA,81408540,17678.0,998061.0,438.0,62849093.0,199574.0,17561386.0,3214.0,243496.0,2985.0,971424918.0,2905572.0,334331783.0,North America,2022-03-20
India,43007841,1761.0,516510.0,129.0,42465122.0,3196.0,26209.0,8944.0,30648.0,368.0,782228685.0,557432.0,1403272857.0,Asia,2022-03-20
Brazil,29617266,40869.0,657157.0,290.0,28183864.0,19960.0,776245.0,8318.0,137658.0,3054.0,63776166.0,296425.0,215150915.0,South America,2022-03-20
France,24055877,98104.0,140903.0,62.0,22548491.0,42488.0,1366483.0,1695.0,367146.0,2150.0,246629975.0,3764122.0,65521254.0,Europe,2022-03-20
UK,20093762,0.0,163511.0,0.0,18541447.0,0.0,1388804.0,292.0,293350.0,2387.0,495276718.0,7230564.0,68497659.0,Europe,2022-03-20
