"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,115603688,565490.0,1345056.0,1938.0,106788431.0,421651.0,7470201.0,30769.0,24778.06401306271,288.294294461904,1927071219.0,413041.26925529214,4665565798.0,Asia,2022-02-27
North America,94797589,66604.0,1401360.0,1303.0,65444261.0,197033.0,27951968.0,14873.0,158853.26082326463,2348.2728615312158,1060588865.0,1777239.2882069522,596761996.0,North America,2022-02-27
South America,54161132,119201.0,1256618.0,1275.0,47620730.0,139994.0,5283784.0,13459.0,124037.32751150563,2877.8486096423017,209322369.0,479380.4390782902,436651878.0,South America,2022-02-27
Europe,155170223,553500.0,1704142.0,2042.0,131047451.0,935095.0,22418630.0,15457.0,207341.87421795184,2277.112124879326,2485286179.0,3320894.2048232546,748378607.0,Europe,2022-02-27
Africa,11513966,6834.0,249114.0,170.0,10597863.0,10565.0,666989.0,1845.0,8261.081238775047,178.73519790801942,95759258.0,68705.69269553333,1393760171.0,Africa,2022-02-27
Oceania,3482507,36020.0,7714.0,36.0,3164706.0,22372.0,310087.0,217.0,80261.93478743006,177.78587809019064,70963646.0,1635511.2933097542,43389273.0,Australia/Oceania,2022-02-27
World,434729826,1347649.0,5964019.0,6764.0,364664148.0,1726710.0,64101659.0,76620.0,55772.0,765.1,5848991536.0,741833.4462325188,7884507723.0,All,2022-02-27
China,108853,249.0,4636.0,0.0,101786.0,72.0,2431.0,18.0,76.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-02-27
USA,80572595,38812.0,973711.0,812.0,53037045.0,170795.0,26561839.0,8636.0,241076.0,2913.0,947656039.0,2835421.0,334220623.0,North America,2022-02-27
India,42916117,10273.0,513756.0,244.0,42290921.0,20439.0,111440.0,8944.0,30600.0,366.0,765735314.0,545981.0,1402495010.0,Asia,2022-02-27
Brazil,28744050,72856.0,648989.0,722.0,26082511.0,87945.0,2012550.0,8318.0,133653.0,3018.0,63776166.0,296545.0,215064353.0,South America,2022-02-27
France,22646732,53623.0,138059.0,101.0,20620413.0,155251.0,1888260.0,3055.0,345683.0,2107.0,243529298.0,3717267.0,65512990.0,Europe,2022-02-27
UK,18804765,0.0,161224.0,0.0,17153253.0,0.0,1490288.0,289.0,274613.0,2354.0,480341745.0,7014619.0,68477240.0,Europe,2022-02-27
Russia,16175023,122995.0,350158.0,793.0,13321314.0,181343.0,2503551.0,2300.0,110759.0,2398.0,273400000.0,1872113.0,146038217.0,Europe,2022-02-27
Germany,14633511,129360.0,123283.0,153.0,10758500.0,129200.0,3751728.0,2494.0,173737.0,1464.0,104701826.0,1243074.0,84228125.0,Europe,2022-02-27
Turkey,13975389,61764.0,94026.0,221.0,13219507.0,85552.0,661856.0,1128.0,162801.0,1095.0,143006562.0,1665901.0,85843385.0,Asia,2022-02-27
Italy,12733929,39624.0,154416.0,210.0,11437706.0,74516.0,1141807.0,763.0,211126.0,2560.0,186820082.0,3097437.0,60314412.0,Europe,2022-02-27
Spain,10977524,0.0,99410.0,0.0,9181728.0,0.0,1696386.0,1053.0,234639.0,2125.0,471036328.0,10068148.0,46784805.0,Europe,2022-02-27
Argentina,8893568,5595.0,126048.0,90.0,8658068.0,13430.0,109452.0,1170.0,193830.0,2747.0,34208010.0,745544.0,45883272.0,South America,2022-02-27
Iran,7030943,7039.0,136390.0,224.0,6616633.0,14216.0,277920.0,3966.0,81970.0,1590.0,46780865.0,545392.0,85774800.0,Asia,2022-02-27
Netherlands,6305389,32896.0,21545.0,6.0,4201041.0,73642.0,2082803.0,171.0,366641.0,1253.0,21107399.0,1227336.0,17197734.0,Europe,2022-02-27
Colombia,6060793,2078.0,138598.0,97.0,5886065.0,2519.0,36130.0,342.0,117045.0,2677.0,33136594.0,639926.0,51781879.0,South America,2022-02-27
Poland,5651591,13945.0,111276.0,220.0,5031537.0,10865.0,508778.0,901.0,149601.0,2946.0,33537429.0,887753.0,37777881.0,Europe,2022-02-27
Indonesia,5504418,46643.0,147844.0,258.0,4778039.0,41805.0,578535.0,2911.0,19777.0,531.0,84001181.0,301817.0,278317985.0,Asia,2022-02-27
Mexico,5489127,15638.0,317683.0,380.0,4750337.0,15529.0,421107.0,4798.0,41845.0,2422.0,15044617.0,114688.0,131178195.0,North America,2022-02-27
Japan,4815692,65196.0,23011.0,256.0,4037674.0,91649.0,755007.0,1507.0,38270.0,183.0,38573837.0,306544.0,125834478.0,Asia,2022-02-27
Ukraine,4809624,0.0,105505.0,0.0,4058020.0,0.0,646099.0,177.0,111082.0,2437.0,19521252.0,450857.0,43298110.0,Europe,2022-02-27
South Africa,3671991,2320.0,99191.0,46.0,3539782.0,3279.0,33018.0,546.0,60646.0,1638.0,23053022.0,380739.0,60548073.0,Africa,2022-02-27
Philippines,3660011,1214.0,56350.0,127.0,3549688.0,2353.0,53973.0,298.0,32679.0,503.0,28128384.0,251150.0,111998366.0,Asia,2022-02-27
Israel,3613765,6254.0,10118.0,4.0,3502941.0,0.0,100706.0,657.0,387494.0,1085.0,41373364.0,4436346.0,9326000.0,Asia,2022-02-27
Czechia,3568739,9117.0,38580.0,32.0,3419817.0,19727.0,110342.0,228.0,332225.0,3592.0,52550851.0,4892127.0,10741922.0,Europe,2022-02-27
Belgium,3544034,6359.0,30121.0,20.0,2848111.0,47468.0,665802.0,269.0,303603.0,2580.0,31623639.0,2709069.0,11673249.0,Europe,2022-02-27
Peru,3512404,3762.0,210407.0,178.0,0.0,0.0,0.0,1024.0,104123.0,6237.0,27286215.0,808886.0,33733067.0,South America,2022-02-27
Malaysia,3395170,27299.0,32634.0,43.0,3063560.0,22710.0,298976.0,348.0,102718.0,987.0,49246955.0,1489925.0,33053310.0,Asia,2022-02-27
Canada,3282260,5166.0,36522.0,48.0,3129279.0,2208.0,116459.0,736.0,85719.0,954.0,58032175.0,1515567.0,38290727.0,North America,2022-02-27
Portugal,3251302,9851.0,21001.0,28.0,2784000.0,19755.0,446301.0,101.0,320407.0,2070.0,37805639.0,3725643.0,10147412.0,Europe,2022-02-27
Vietnam,3234015,78341.0,40050.0,88.0,2376046.0,20427.0,817919.0,2979.0,32736.0,405.0,78971531.0,799384.0,98790435.0,Asia,2022-02-27
Australia,3173512,22126.0,5132.0,35.0,2962924.0,21933.0,205456.0,150.0,122104.0,197.0,63371992.0,2438295.0,25990292.0,Australia/Oceania,2022-02-27
Chile,3017579,29688.0,42070.0,151.0,2007057.0,27015.0,968452.0,1106.0,155640.0,2170.0,32834573.0,1693532.0,19388225.0,South America,2022-02-27
Thailand,2844897,25615.0,22852.0,40.0,2621004.0,14641.0,201041.0,687.0,40589.0,326.0,17270775.0,246407.0,70090376.0,Asia,2022-02-27
S. Korea,2831283,166206.0,7895.0,112.0,969524.0,0.0,1853864.0,643.0,55145.0,154.0,15804065.0,307817.0,51342343.0,Asia,2022-02-27
Switzerland,2772757,14999.0,13213.0,1.0,2056306.0,0.0,703238.0,142.0,316541.0,1508.0,18563383.0,2119217.0,8759549.0,Europe,2022-02-27
Romania,2724480,7191.0,63300.0,97.0,2453349.0,23074.0,207831.0,976.0,143206.0,3327.0,20987123.0,1103139.0,19024905.0,Europe,2022-02-27
Austria,2636258,25972.0,14762.0,37.0,2345622.0,30804.0,275874.0,190.0,289966.0,1624.0,158481730.0,17431673.0,9091596.0,Europe,2022-02-27
