#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,132537268,687714,1384121,1401,115191440,377617,15796706,27407,,,,,,Asia
,North America,96077760,38778,1432586,978,76002189,215282,18727263,8622,,,,,,North America
,South America,55700380,57853,1272084,543,50809702,106463,3644982,11970,,,,,,South America
,Europe,170707469,753794,1753696,2017,150612286,671834,18301742,11248,,,,,,Europe
,Oceania,4664076,70868,8487,42,4114774,62904,537990,141,,,,,,Australia/Oceania
,Africa,11663058,6476,252056,28,10832578,11643,579562,1461,,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,471350733,1615484,6103044,5008,407563675,1445743,57588245,60850,,,,,,All
1,China,130746,2284,4638,,105829,591,19360,40,91,3,160000000,111163,1439323776,Asia
2,USA,81431955,23415,998940,879,63045313,196220,17470611,2976,243566,2988,972540841,2908909,334331783,North America
3,India,43009611,1770,516580,70,42467749,2627,25673,8944,30649,368,782991685,557975,1403272857,Asia
4,Brazil,29658629,41363,657553,396,28249719,65855,769931,8318,137850,3056,63776166,296425,215150915,South America
5,France,24196144,140267,141027,124,22604079,55588,1389466,1641,369287,2152,246629975,3764122,65521254,Europe
6,UK,20093762,,163511,,18541447,,1424780,298,293350,2387,496335966,7246028,68497659,Europe
7,Germany,18812036,219274,127707,299,14658769,210569,4031683,2494,223306,1516,104701826,1242848,84243457,Europe
8,Russia,17581267,29610,364533,475,16212870,77603,1030791,2300,120385,2496,273400000,1872067,146041795,Europe
9,Turkey,14698214,17378,97274,92,14331646,21675,272017,975,171118,1132,150729969,1754808,85895427,Asia
10,Italy,13888379,87051,157876,184,12563359,68391,1157854,457,230286,2618,195797349,3246551,60309331,Europe
11,Spain,11324637,,101703,,10571203,,637762,682,242053,2174,471036328,10067925,46785841,Europe
12,S. Korea,9406189,367251,12477,376,,,,1096,183196,243,15804065,307802,51344867,Asia
13,Argentina,9009749,3223,127555,72,8811852,3873,70434,642,196261,2779,35086625,764297,45907045,South America
14,Vietnam,7969756,152859,41883,66,4170159,178766,3793439,4145,80632,424,82800286,837715,98840635,Asia
15,Netherlands,7517560,40986,21807,22,5980488,39024,1511276,159,437070,1268,21107399,1227181,17199903,Europe
16,Iran,7140436,1219,139623,73,6821878,4706,180426,1901,83186,1627,48534882,565434,85836483,Asia
17,Colombia,6096054,15465,139486,52,5958309,45313,105811,848,117655,2692,36770490,709677,51812979,South America
18,Japan,6040469,24263,26953,34,5467889,7640,443901,438,48012,214,38844436,308749,125812361,Asia
19,Indonesia,5964264,7703,153771,172,5601652,28424,221544,2771,21417,552,90458117,324824,278483838,Asia
20,Poland,5895699,10255,114338,132,5237119,9210,542378,398,156072,3027,35040817,927607,37775512,Europe
21,Mexico,5632538,2724,321959,28,4925561,2780,384516,4798,42913,2453,15439248,117627,131255870,North America
22,Ukraine,4937394,4599,107601,63,,,,177,114072,2486,19521252,451013,43283114,Europe
23,Malaysia,3995922,21903,34403,74,3689078,32663,278072,347,120806,1040,53595733,1620327,33077102,Asia
24,Australia,3913293,50181,5748,27,3541689,41342,362776,92,150469,221,65305654,2511055,26007262,Australia/Oceania
25,Israel,3770898,11943,10435,16,3709777,4840,47351,318,404342,1119,41373364,4436346,9326000,Asia
26,Czechia,3742693,9579,39388,31,3626178,8265,74629,117,348382,3666,54380354,5061906,10743058,Europe
27,Belgium,3717010,9449,30544,15,3459099,16594,233282,176,318342,2616,32402014,2775063,11676136,Europe
28,South Africa,3704425,1096,99883,4,3589547,1283,15023,546,61138,1648,23587705,389294,60590974,Africa
29,Philippines,3674119,402,58030,7,3570909,554,45240,289,32781,518,28694527,256014,112082059,Asia
30,Peru,3541439,646,211839,25,,,,580,104902,6275,28236747,836411,33759427,South America
31,Portugal,3458727,,21408,,,,,201,340905,2110,87241445,8598848,10145713,Europe
32,Austria,3429011,,15387,,2963825,,,87,377041,1692,121891324,13402696,9094538,Europe
33,Canada,3402706,5631,37195,29,3245705,7382,122073,424,88821,971,58980526,1539572,38309694,North America
34,Chile,3392443,9937,44462,22,2737819,32817,617822,780,174890,2292,34670039,1787334,19397629,South America
35,Thailand,3352522,23549,24248,83,3091333,24041,237396,687,47825,346,17270775,246372,70100397,Asia
36,Switzerland,3318242,26987,13571,,2610682,,667369,154,378658,1549,19768713,2255885,8763175,Europe
37,Denmark,2862694,6512,5406,31,2726620,14630,135441,27,491265,928,126542966,21715957,5827188,Europe
38,Romania,2828972,15174,64709,35,2606660,,161679,360,148756,3403,40222212,2115001,19017582,Europe
39,Greece,2788469,12277,26937,44,2490264,,240839,429,269789,2606,52785179,5107059,10335730,Europe
40,Sweden,2475687,,18020,,2400581,,55452,42,242541,1765,18342988,1797050,10207275,Europe
41,Iraq,2315993,202,25128,1,2273406,943,17829,67,55447,602,18235012,436563,41769488,Asia
42,Serbia,1955959,2062,15686,10,1900743,2544,39654,50,225419,1808,9033161,1041046,8677006,Europe
43,Bangladesh,1950619,92,29114,,1870839,1205,51287,1264,11645,174,13720597,81912,167503268,Asia
44,Hungary,1824089,,44961,,1672699,,105891,80,189648,4675,10992785,1142906,9618277,Europe
45,Jordan,1680179,,13959,,1647266,,16830,339,161916,1345,16527892,1592766,10376847,Asia
46,Georgia,1646373,4974,16669,26,1605543,8764,44248,,414074,4192,12689549,3191510,3976033,Asia
47,Slovakia,1632972,5136,19102,9,1487319,3084,107598,,298850,3496,10226119,1871484,5464178,Europe
48,Pakistan,1521970,457,30330,2,1476303,830,15640,475,6668,133,27146051,118934,228244922,Asia
49,Ireland,1387363,6277,6638,,1248933,,125353,58,275688,1319,11604845,2306037,5032375,Europe
50,Norway,1381159,2921,2169,,,,,20,251397,395,9852076,1793261,5493945,Europe
51,Kazakhstan,1304861,43,13653,,1284057,342,7280,528,68097,713,11575012,604065,19161858,Asia
52,Morocco,1162523,79,16052,1,1145834,45,599,293,30868,426,11237010,298374,37660806,Africa
53,Bulgaria,1125155,1441,36290,18,895571,1203,192769,239,164047,5291,9475545,1381530,6858733,Europe
54,Lebanon,1088264,429,10249,6,1028374,3408,50961,186,160676,1513,4795578,708041,6773019,Asia
55,Croatia,1084620,1509,15437,12,1057675,1291,10994,42,267026,3800,4622490,1138027,4061845,Europe
56,Cuba,1081440,754,8507,1,1069855,734,3116,23,95578,752,12920253,1141894,11314758,North America
57,Hong Kong,1048891,15350,5895,245,,,,116,137988,776,36260319,4770281,7601297,Asia
58,Tunisia,1029762,,28065,,983630,,20687,26,85595,2333,11475806,953877,12030702,Africa
59,Singapore,1007158,,1194,,969321,,,58,169862,201,16404768,2766750,5929255,Asia
60,Lithuania,993594,4128,8733,16,915069,6753,72135,65,373932,3287,7968060,2998724,2657150,Europe
61,Nepal,978149,22,11950,,963054,472,3441,100,32567,398,5506848,183346,30035230,Asia
62,Belarus,951020,1026,6726,10,928536,,15123,,100701,712,12726482,1347574,9443992,Europe
63,Slovenia,939494,4121,6437,2,899502,3023,32920,57,451804,3096,2599648,1250175,2079428,Europe
64,Bolivia,899783,259,21482,,817663,1620,61326,220,75321,1798,2682016,224511,11946057,South America
65,UAE,887726,341,2302,,856811,940,28895,,87934,228,144843920,14347626,10095323,Asia
66,Uruguay,875817,1413,7136,2,858484,1706,10371,45,250636,2042,5891357,1685952,3494379,South America
67,Ecuador,853850,,35410,,,,,759,47168,1956,2470170,136455,18102412,South America
68,Costa Rica,829400,,8226,,755691,,62864,71,160305,1590,3876573,749256,5173897,North America
69,Guatemala,817510,1734,17245,14,782414,2583,18270,5,44229,933,4138234,223886,18483705,North America
70,Azerbaijan,791566,162,9651,,780771,,130583,,76882,937,8000879,777093,10295913,Asia
71,Finland,786312,,2783,,46000,,612264,,141538,501,8905452,1603002,5555484,Europe
72,Latvia,773463,4332,5518,11,701286,9071,70278,42,417990,2982,6976551,3770224,1850434,Europe
73,Panama,761654,339,8156,,750911,226,2463,16,171883,1841,5635318,1271729,4431224,North America
74,Saudi Arabia,749583,112,9029,2,732124,165,8465,183,20971,253,41371566,1157458,35743475,Asia
75,Sri Lanka,658774,813,16430,4,624653,61,17227,,30545,762,6368159,295270,21567247,Asia
76,Paraguay,647111,143,18581,4,622832,293,5777,50,88855,2551,2572116,353178,7282781,South America
77,Kuwait,627303,160,2553,,622282,242,2517,10,143257,583,7763313,1772906,4378864,Asia
78,Myanmar,609132,369,19425,2,564427,681,25392,,11068,353,7504861,136364,55035405,Asia
79,Palestine,580165,,5326,,571646,,2967,46,109369,1004,3078533,580345,5304660,Asia
80,Dominican Republic,577416,99,4375,,572405,39,551,24,52328,396,3194613,289512,11034472,North America
81,Bahrain,544779,944,1465,,534170,1241,9295,6,302171,813,9545702,5294690,1802882,Asia
