"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,131117750,766345.0,1381176.0,1617.0,114483340.0,382973.0,15253234.0,28117.0,28092.780037850098,295.9254072126592,1981553046.0,424559.86206756794,4667311310.0,Asia,2022-03-18
North America,96010977,52213.0,1430882.0,1044.0,69901112.0,173954.0,24678983.0,9106.0,160822.00457608906,2396.7812717064994,1086216386.0,1819453.3797933846,597001494.0,North America,2022-03-18
South America,55579183,82245.0,1270945.0,662.0,50636880.0,80086.0,3671358.0,12125.0,127231.1551750552,2909.4310456841463,213477907.0,488690.8955096192,436836268.0,South America,2022-03-18
Europe,169346741,853957.0,1750308.0,1846.0,149441755.0,675615.0,18154678.0,11441.0,226277.79653418748,2338.7272477606202,2538268411.0,3391584.506804376,748401936.0,Europe,2022-03-18
Oceania,4527496,63485.0,8412.0,32.0,4004884.0,120220.0,514200.0,144.0,104278.85962887657,193.7481042938767,73022568.0,1681881.136551439,43417199.0,Australia/Oceania,2022-03-18
Africa,11654684,2354.0,252004.0,51.0,10818899.0,2729.0,583781.0,1497.0,8352.026566594153,180.59212097796842,97901934.0,70158.87806901906,1395431864.0,Africa,2022-03-18
World,468237552,1820599.0,6093742.0,5252.0,399287576.0,1435577.0,62856234.0,62430.0,60071.0,781.8,5990440252.0,759398.6357287532,7888400071.0,All,2022-03-18
China,126234,2461.0,4636.0,0.0,104624.0,337.0,16974.0,18.0,88.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-18
USA,81391773,32760.0,997518.0,757.0,56975477.0,152897.0,23418778.0,3362.0,243454.0,2984.0,970918607.0,2904149.0,334321197.0,North America,2022-03-18
India,43006080,2075.0,516381.0,69.0,42461926.0,3383.0,27773.0,8944.0,30649.0,368.0,781858171.0,557197.0,1403198776.0,Asia,2022-03-18
Brazil,29576397,48757.0,656867.0,380.0,28163904.0,37257.0,755626.0,8318.0,137473.0,3053.0,63776166.0,296437.0,215142671.0,South America,2022-03-18
France,23957773,97579.0,140841.0,112.0,22506003.0,53507.0,1310929.0,1695.0,365653.0,2150.0,246629975.0,3764167.0,65520467.0,Europe,2022-03-18
UK,20093762,90349.0,163511.0,125.0,18541447.0,34446.0,1388804.0,292.0,293358.0,2387.0,495276718.0,7230769.0,68495714.0,Europe,2022-03-18
Germany,18424575,284050.0,127289.0,217.0,14323500.0,181000.0,3973786.0,2494.0,218710.0,1511.0,104701826.0,1242870.0,84241997.0,Europe,2022-03-18
Russia,17518699,34442.0,363563.0,524.0,16039709.0,105064.0,1115427.0,2300.0,119957.0,2489.0,273400000.0,1872071.0,146041454.0,Europe,2022-03-18
Turkey,14663508,19126.0,97077.0,123.0,14291702.0,20274.0,274729.0,975.0,170723.0,1130.0,150124082.0,1747855.0,85890471.0,Asia,2022-03-18
Italy,13726155,77994.0,157607.0,165.0,12446583.0,46408.0,1121965.0,474.0,227594.0,2613.0,194863984.0,3231049.0,60309815.0,Europe,2022-03-18
Spain,11324637,21533.0,101703.0,95.0,10571203.0,22807.0,651731.0,682.0,242053.0,2174.0,471036328.0,10067946.0,46785742.0,Europe,2022-03-18
Argentina,9004829,14416.0,127439.0,76.0,8803205.0,5657.0,74185.0,691.0,196163.0,2776.0,35025226.0,762997.0,45904781.0,South America,2022-03-18
S. Korea,8657609,407017.0,11782.0,301.0,0.0,0.0,0.0,1049.0,168618.0,229.0,15804065.0,307804.0,51344627.0,Asia,2022-03-18
Vietnam,7641223,169245.0,41740.0,57.0,3861959.0,175971.0,3737524.0,4144.0,77312.0,422.0,82412626.0,833833.0,98835854.0,Asia,2022-03-18
Netherlands,7435118,54216.0,21774.0,19.0,5885105.0,63852.0,1528239.0,151.0,432282.0,1266.0,21107399.0,1227196.0,17199696.0,Europe,2022-03-18
Iran,7137894,2175.0,139478.0,91.0,6812005.0,6924.0,186411.0,2167.0,83163.0,1625.0,48534882.0,565473.0,85830608.0,Asia,2022-03-18
Colombia,6079896,665.0,139415.0,29.0,5912154.0,705.0,28327.0,342.0,117350.0,2691.0,33647572.0,649441.0,51810017.0,South America,2022-03-18
Japan,5966996,55183.0,26764.0,164.0,5401611.0,56852.0,538621.0,991.0,47427.0,213.0,41672987.0,331226.0,125814467.0,Asia,2022-03-18
Indonesia,5948610,9528.0,153411.0,199.0,5549220.0,25827.0,245979.0,2771.0,21362.0,551.0,90155919.0,323757.0,278468042.0,Asia,2022-03-18
Poland,5875067,11655.0,114087.0,107.0,5223340.0,7442.0,537640.0,434.0,155525.0,3020.0,34916243.0,924303.0,37775738.0,Europe,2022-03-18
Mexico,5624954,5174.0,321806.0,187.0,4917930.0,5276.0,385218.0,4798.0,42857.0,2452.0,15413920.0,117441.0,131248472.0,North America,2022-03-18
Ukraine,4928032,5131.0,107477.0,65.0,0.0,0.0,0.0,177.0,113852.0,2483.0,19521252.0,450998.0,43284542.0,Europe,2022-03-18
Malaysia,3951678,24241.0,34244.0,59.0,3623068.0,26615.0,294366.0,383.0,119477.0,1035.0,53237993.0,1609622.0,33074837.0,Asia,2022-03-18
Australia,3816633,48677.0,5694.0,29.0,3472209.0,29235.0,338730.0,92.0,146762.0,219.0,65109379.0,2503663.0,26005646.0,Australia/Oceania,2022-03-18
Israel,3751049,5641.0,10417.0,0.0,3698791.0,6625.0,41841.0,291.0,402214.0,1117.0,41373364.0,4436346.0,9326000.0,Asia,2022-03-18
Czechia,3724402,8155.0,39342.0,29.0,3608394.0,12686.0,76666.0,135.0,346683.0,3662.0,54322163.0,5056541.0,10742950.0,Europe,2022-03-18
South Africa,3702042,1558.0,99868.0,39.0,3587145.0,1542.0,15029.0,546.0,61103.0,1648.0,23543564.0,388592.0,60586888.0,Africa,2022-03-18
Belgium,3696059,12275.0,30510.0,18.0,3429809.0,12742.0,235740.0,181.0,316556.0,2613.0,32331016.0,2769048.0,11675861.0,Europe,2022-03-18
Philippines,3673192,536.0,57999.0,119.0,3569711.0,324.0,45482.0,289.0,32775.0,518.0,28649322.0,255628.0,112074088.0,Asia,2022-03-18
Peru,3540108,708.0,211751.0,60.0,0.0,0.0,0.0,597.0,104871.0,6273.0,28158045.0,834142.0,33756916.0,South America,2022-03-18
Portugal,3458727,9808.0,21408.0,16.0,0.0,0.0,0.0,66.0,340900.0,2110.0,37805639.0,3726208.0,10145875.0,Europe,2022-03-18
Canada,3394348,8178.0,37150.0,46.0,3236619.0,3530.0,120579.0,510.0,88607.0,970.0,58924697.0,1538187.0,38307887.0,North America,2022-03-18
Austria,3387012,51112.0,15344.0,24.0,2926418.0,39245.0,445250.0,207.0,372434.0,1687.0,169566273.0,18645421.0,9094258.0,Europe,2022-03-18
Chile,3369324,15145.0,44339.0,93.0,2667517.0,32696.0,657468.0,851.0,173706.0,2286.0,34515210.0,1779434.0,19396733.0,South America,2022-03-18
Thailand,3303169,27071.0,24078.0,80.0,3048491.0,21522.0,230600.0,687.0,47121.0,343.0,17270775.0,246375.0,70099443.0,Asia,2022-03-18
Switzerland,3253776,15091.0,13467.0,4.0,2610682.0,20024.0,629627.0,146.0,371316.0,1537.0,19698846.0,2248000.0,8762830.0,Europe,2022-03-18
Denmark,2850170,6809.0,5338.0,38.0,2697097.0,19135.0,147735.0,27.0,489125.0,916.0,126478393.0,21705289.0,5827077.0,Europe,2022-03-18
Romania,2810630,3749.0,64634.0,38.0,2606660.0,0.0,139336.0,465.0,147786.0,3399.0,21713083.0,1141695.0,19018280.0,Europe,2022-03-18
Greece,2756487,23621.0,26847.0,55.0,2481680.0,9151.0,247960.0,354.0,266688.0,2597.0,70675555.0,6837801.0,10336007.0,Europe,2022-03-18
Sweden,2475687,0.0,18020.0,0.0,2400581.0,4009.0,57086.0,42.0,242550.0,1765.0,18342988.0,1797111.0,10206931.0,Europe,2022-03-18
Iraq,2315573,439.0,25124.0,5.0,2271797.0,988.0,18652.0,65.0,55444.0,602.0,18216502.0,436171.0,41764544.0,Asia,2022-03-18
Serbia,1952029,2076.0,15662.0,15.0,1895328.0,2689.0,41039.0,47.0,224961.0,1805.0,9004798.0,1037754.0,8677197.0,Europe,2022-03-18
Bangladesh,1950465,108.0,29114.0,2.0,1868620.0,1459.0,52731.0,1264.0,11645.0,174.0,13701702.0,81804.0,167494309.0,Asia,2022-03-18
Hungary,1824089,3322.0,44961.0,66.0,1672699.0,5588.0,106429.0,90.0,189646.0,4674.0,10975485.0,1141091.0,9618410.0,Europe,2022-03-18
Jordan,1680179,0.0,13959.0,0.0,1647266.0,0.0,18954.0,694.0,161925.0,1345.0,16499905.0,1590154.0,10376294.0,Asia,2022-03-18
