#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"138,279,820","+578,102","1,399,696",+962,"119,762,267","+364,140","17,117,857","26,820",,,,,,Asia
,North America,"96,470,665","+42,970","1,440,788",+998,"77,984,341","+208,709","17,045,536","7,786",,,,,,North America
,South America,"56,039,821","+39,530","1,287,240",+342,"51,506,135","+99,570","3,246,446","11,638",,,,,,South America
,Europe,"177,277,753","+845,026","1,768,015","+1,856","155,906,041","+677,824","19,603,697","10,677",,,,,,Europe
,Oceania,"5,284,477","+78,843","8,791",+70,"4,586,040","+21,775","689,646",159,,,,,,Australia/Oceania
,Africa,"11,753,164","+11,967","252,761",+28,"10,970,455","+15,738","529,948","1,355",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"485,106,421","+1,596,438","6,157,306","+4,256","420,715,985","+1,387,756","58,233,130","58,435","62,235",789.9,,,,All
1,China,"145,808","+1,293","4,638",,"113,311","+1,179","27,859",59,101,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,709,589","+28,004","1,005,764",+912,"64,884,608","+191,474","15,819,217","2,214","244,362","3,008","981,311,637","2,934,725","334,379,423",North America
3,India,"43,023,215","+1,233","521,131",+33,"42,487,410","+1,876","14,674","8,944","30,652",371,"787,932,913","561,363","1,403,606,220",Asia
4,Brazil,"29,882,397","+30,056","659,294",+282,"28,618,511","+68,200","604,592","8,318","138,866","3,064","63,776,166","296,374","215,188,013",South America
5,France,"25,276,508","+217,480","141,985",+164,"23,092,241","+69,041","2,042,282","1,486","385,755","2,167","254,106,036","3,878,013","65,524,795",Europe
6,UK,"21,033,211","+83,466","164,974",+303,"18,949,822","+46,089","1,918,415",363,"307,025","2,408","503,418,029","7,348,481","68,506,410",Europe
7,Germany,"20,702,930","+237,858","129,437",+331,"16,092,900","+219,500","4,480,593","2,494","245,732","1,536","104,701,826","1,242,751","84,250,027",Europe
8,Russia,"17,803,503","+19,660","368,025",+339,"16,737,206","+47,229","698,272","2,300","121,906","2,520","273,400,000","1,872,047","146,043,329",Europe
9,Turkey,"14,831,231","+16,190","97,924",+63,"14,496,639","+21,256","236,668",975,"172,621","1,140","153,227,418","1,783,420","85,917,731",Asia
10,Italy,"14,490,369","+93,247","159,054",+177,"13,070,647","+87,297","1,260,668",487,"240,276","2,637","199,896,383","3,314,638","60,307,153",Europe
11,S. Korea,"12,350,428","+347,374","15,423",+237,N/A,N/A,N/A,"1,215","240,534",300,"15,804,065","307,796","51,345,948",Asia
