#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Africa,11626250,4620,251683,98,10730419,6473,546890,1563,1722710,17701,97287785,9788562,1394903960,Africa
,Asia,124811707,696703,1369342,1677,110923469,347821,6706145,29551,4461090,29540,1964739325,76939400,4666760097,Asia
,Oceania,4117167,56281,8208,32,3553693,38824,485751,152,1050338,5801,72267304,9392201,43408899,Australia/Oceania
,Europe,164043456,801055,1736473,2149,140461150,840069,17058487,12150,13457612,107387,2519614320,186134374,748394565,Europe
,North America,95658506,61623,1424821,1493,68520668,186917,25703214,10527,5982840,49777,1078360385,83450990,596925867,North America
,South America,55138065,86139,1266986,749,47548992,44503,2190261,12490,1692125,30558,212021131,12143575,436778041,South America
,,721,,15,,706,,0,0,,,,,,
,World,455395151,1706421,6057513,6198,381738391,1464607,52690748,66433,28366715,240764,5944290250,377849102,7887171429,All
0,USA,81157273,41567,993233,1211,55757373,157198,24406667,4604,242775,2971,963805880,2883148,334289437,North America
1,India,42987875,3614,515833,88,42431513,5185,40529,8944,30640,368,776894810,553748,1402976534,Asia
2,Brazil,29305114,55211,654612,465,27556598,,1093904,8318,136228,3043,63776166,296471,215117939,South America
3,France,23381279,72399,140029,149,22087946,76531,1153304,1928,356867,2137,246629975,3764303,65518106,Europe
4,UK,19530485,72828,162738,114,18229317,46835,1138430,253,285159,2376,489876300,7152536,68489880,Europe
5,Russia,17242043,50743,359585,674,15194927,151210,1687531,2300,118063,2462,273400000,1872084,146040432,Europe
6,Germany,16881948,245342,125911,242,13153300,189500,3602737,2494,200409,1495,104701826,1242934,84237616,Europe
7,Turkey,14513774,25401,96217,123,14065761,52269,351796,975,169009,1120,147898704,1722244,85875602,Asia
8,Italy,13269303,53971,156649,156,12135331,48481,977323,545,220014,2597,191812811,3180381,60311266,Europe
9,Spain,11223974,19849,101135,58,10294394,40187,828445,689,239903,2162,471036328,10068010,46785446,Europe
10,Argentina,8967210,5615,127051,42,8762697,4588,77462,759,195373,2768,34739380,756882,45897988,South America
11,Iran,7117544,3953,138692,120,6768271,6379,210581,3069,82943,1616,48108485,560620,85812985,Asia
12,Netherlands,7055814,69186,21688,13,5414900,86497,1619226,162,410244,1261,21107399,1227240,17199076,Europe
13,Colombia,6075656,782,139255,35,5906638,1079,29763,342,117288,2688,33481801,646353,51801132,South America
14,Indonesia,5864010,16110,151703,290,5335846,39212,376461,2771,21062,545,88766749,318822,278420656,Asia
15,S. Korea,5822626,282976,9875,229,,,,1116,113404,192,15804065,307808,51343906,Asia
16,Poland,5799993,11634,113307,121,5169557,8599,517129,523,153535,2999,34438732,911646,37776415,Europe
17,Vietnam,5775745,179259,41228,71,2983222,74857,2751295,3990,58446,417,81001418,819674,98821512,Asia
18,Japan,5609096,62825,25697,211,4971301,60018,612098,1252,44580,204,40655716,323124,125820786,Asia
19,Mexico,5591871,8098,320607,197,4880174,16798,391090,4798,42612,2443,15308764,116659,131226279,North America
20,Ukraine,4894331,5858,106985,86,,,,177,113062,2471,19521252,450954,43288827,Europe
