"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,138279820,578102.0,1399696.0,962.0,119762267.0,364140.0,17117857.0,26820.0,29620.883899867757,299.828512295643,2003909939.0,429257.0213709425,4668321866.0,Asia,2022-03-29
North America,96470665,42970.0,1440788.0,998.0,77984341.0,208709.0,17045536.0,7786.0,161554.47599809384,2412.8137850437915,1097664376.0,1838202.2461071936,597140156.0,North America,2022-03-29
South America,56039821,39530.0,1287240.0,342.0,51506135.0,99570.0,3246446.0,11638.0,128254.29902391255,2946.013404923995,215452839.0,493091.38297670305,436943022.0,South America,2022-03-29
Europe,177277753,845026.0,1768015.0,1856.0,155906041.0,677824.0,19603697.0,10677.0,236870.78592838967,2362.3443748363725,2573143901.0,3438122.4255291214,748415438.0,Europe,2022-03-29
Oceania,5284477,78843.0,8791.0,70.0,4586040.0,21775.0,689646.0,159.0,121671.26507537595,202.40642381027112,74264803.0,1709893.4353548281,43432416.0,Australia/Oceania,2022-03-29
Africa,11753164,11967.0,252761.0,28.0,10970455.0,15738.0,529948.0,1355.0,8416.762181464783,181.00906494193563,99360251.0,71154.59317658193,1396399678.0,Africa,2022-03-29
World,485106421,1596438.0,6157306.0,4256.0,420715985.0,1387756.0,58233130.0,58435.0,62235.0,789.9,6063796109.0,768478.4053784704,7890652576.0,All,2022-03-29
China,145808,1293.0,4638.0,0.0,113311.0,1179.0,27859.0,59.0,101.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-29
USA,81709589,28004.0,1005764.0,912.0,64884608.0,191474.0,15819217.0,2214.0,244362.0,3008.0,981311637.0,2934725.0,334379423.0,North America,2022-03-29
India,43023215,1233.0,521131.0,33.0,42487410.0,1876.0,14674.0,8944.0,30652.0,371.0,787932913.0,561363.0,1403606220.0,Asia,2022-03-29
Brazil,29882397,30056.0,659294.0,282.0,28618511.0,68200.0,604592.0,8318.0,138866.0,3064.0,63776166.0,296374.0,215188013.0,South America,2022-03-29
France,25276508,217480.0,141985.0,164.0,23092241.0,69041.0,2042282.0,1486.0,385755.0,2167.0,254106036.0,3878013.0,65524795.0,Europe,2022-03-29
UK,21033211,83466.0,164974.0,303.0,18949822.0,46089.0,1918415.0,363.0,307025.0,2408.0,503418029.0,7348481.0,68506410.0,Europe,2022-03-29
Germany,20702930,237858.0,129437.0,331.0,16092900.0,219500.0,4480593.0,2494.0,245732.0,1536.0,104701826.0,1242751.0,84250027.0,Europe,2022-03-29
Russia,17803503,19660.0,368025.0,339.0,16737206.0,47229.0,698272.0,2300.0,121906.0,2520.0,273400000.0,1872047.0,146043329.0,Europe,2022-03-29
Turkey,14831231,16190.0,97924.0,63.0,14496639.0,21256.0,236668.0,975.0,172621.0,1140.0,153227418.0,1783420.0,85917731.0,Asia,2022-03-29
Italy,14490369,93247.0,159054.0,177.0,13070647.0,87297.0,1260668.0,487.0,240276.0,2637.0,199896383.0,3314638.0,60307153.0,Europe,2022-03-29
S. Korea,12350428,347374.0,15423.0,237.0,0.0,0.0,0.0,1215.0,240534.0,300.0,15804065.0,307796.0,51345948.0,Asia,2022-03-29
Spain,11508309,14159.0,102392.0,0.0,10875306.0,27569.0,530611.0,492.0,245976.0,2189.0,471036328.0,10067829.0,46786284.0,Europe,2022-03-29
Vietnam,9386489,88378.0,42413.0,55.0,7153846.0,200000.0,2190230.0,3639.0,94945.0,429.0,84127172.0,850954.0,98862150.0,Asia,2022-03-29
Argentina,9032162,3432.0,127970.0,27.0,8854645.0,2331.0,49547.0,555.0,196705.0,2787.0,35336140.0,769562.0,45917233.0,South America,2022-03-29
Netherlands,7806024,30677.0,21926.0,18.0,6310864.0,27373.0,1473234.0,144.0,453817.0,1275.0,21107399.0,1227115.0,17200832.0,Europe,2022-03-29
Iran,7156746,2743.0,140109.0,46.0,6863298.0,4526.0,153339.0,1477.0,83351.0,1632.0,48991010.0,570572.0,85862918.0,Asia,2022-03-29
Japan,6410635,32916.0,27831.0,64.0,5967961.0,44621.0,414843.0,673.0,50958.0,221.0,42984629.0,341682.0,125802882.0,Asia,2022-03-29
Colombia,6084240,301.0,139595.0,10.0,5917334.0,307.0,27311.0,342.0,117397.0,2694.0,33877164.0,653667.0,51826308.0,South America,2022-03-29
Indonesia,6005646,3895.0,154882.0,108.0,5735055.0,10092.0,115709.0,2771.0,21560.0,556.0,91760483.0,329416.0,278554917.0,Asia,2022-03-29
Poland,5952198,6606.0,114939.0,110.0,5304270.0,10772.0,532989.0,336.0,157572.0,3043.0,35534904.0,940712.0,37774497.0,Europe,2022-03-29
Mexico,5651553,657.0,322761.0,11.0,4950686.0,1775.0,378106.0,4798.0,43047.0,2458.0,15527815.0,118272.0,131289160.0,North America,2022-03-29
Ukraine,4961717,2635.0,107894.0,33.0,0.0,0.0,0.0,177.0,114651.0,2493.0,19521252.0,451080.0,43276687.0,Europe,2022-03-29
Australia,4386988,60694.0,5928.0,31.0,3850408.0,0.0,530652.0,119.0,168636.0,228.0,66250653.0,2546678.0,26014535.0,Australia/Oceania,2022-03-29
Malaysia,4167418,15215.0,34906.0,64.0,3920643.0,24154.0,211869.0,282.0,125952.0,1055.0,55953427.0,1691085.0,33087299.0,Asia,2022-03-29
Israel,3894141,18019.0,10485.0,0.0,3782095.0,0.0,101561.0,278.0,417557.0,1124.0,41373364.0,4436346.0,9326000.0,Asia,2022-03-29
Belgium,3807447,7281.0,30747.0,16.0,3518571.0,11582.0,258129.0,163.0,326053.0,2633.0,32719965.0,2801997.0,11677374.0,Europe,2022-03-29
Czechia,3799186,8809.0,39631.0,26.0,3697164.0,8421.0,62391.0,93.0,353625.0,3689.0,54614357.0,5083458.0,10743545.0,Europe,2022-03-29
Austria,3770412,22830.0,15764.0,58.0,3371749.0,40058.0,382899.0,238.0,414522.0,1733.0,174441569.0,19178255.0,9095800.0,Europe,2022-03-29
South Africa,3715390,1557.0,99976.0,6.0,3602251.0,2024.0,13163.0,546.0,61301.0,1650.0,23783240.0,392402.0,60609361.0,Africa,2022-03-29
Philippines,3677616,246.0,59038.0,8.0,3577433.0,933.0,41145.0,289.0,32801.0,527.0,28888596.0,257663.0,112117927.0,Asia,2022-03-29
Thailand,3575398,21678.0,24961.0,78.0,3305286.0,27183.0,245151.0,1496.0,51001.0,356.0,17270775.0,246357.0,70104692.0,Asia,2022-03-29
Peru,3545628,0.0,212157.0,0.0,0.0,0.0,0.0,492.0,104991.0,6282.0,28614628.0,847321.0,33770724.0,South America,2022-03-29
Portugal,3534003,0.0,21545.0,0.0,0.0,0.0,0.0,64.0,348350.0,2124.0,39851361.0,3928183.0,10144986.0,Europe,2022-03-29
Canada,3460685,9766.0,37506.0,45.0,3280662.0,7796.0,142517.0,384.0,90315.0,979.0,59342677.0,1548697.0,38317822.0,North America,2022-03-29
Switzerland,3459067,18385.0,13681.0,3.0,2770129.0,11060.0,675257.0,142.0,394658.0,1561.0,20199118.0,2304591.0,8764729.0,Europe,2022-03-29
Chile,3458499,3439.0,56464.0,18.0,2986425.0,25227.0,415610.0,641.0,178258.0,2910.0,35348678.0,1821941.0,19401660.0,South America,2022-03-29
Greece,2986882,29072.0,27392.0,51.0,2705525.0,24183.0,253965.0,351.0,289021.0,2651.0,73486501.0,7110805.0,10334484.0,Europe,2022-03-29
