#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Africa,11645688,11980,251811,27,10757764,11433,538801,1512,1734610,17717,97673269,9852583,1395167912,Africa
,Asia,128088236,732966,1376077,1642,112364129,335765,6188996,29002,4599000,29838,1974101752,77206202,4667035701,Asia
,Oceania,4312147,56992,8310,38,3753253,51533,480403,159,1093636,5826,72642458,9700531,43413049,Australia/Oceania
,Europe,166618123,791965,1743515,2150,143180733,779801,15527036,11844,13675358,107826,2528312949,186905588,748398248,Europe
,North America,95819512,50356,1426147,1299,69308727,194972,25074822,9668,6068333,49941,1082438933,83710364,596963682,North America
,South America,55352374,67839,1269023,470,48161333,176766,1781680,12367,1698449,30612,212740519,12191474,436807157,South America
,,721,,15,,706,,0,0,,,,,,
,World,461836801,1712098,6074898,5626,387526645,1550270,49591738,64552,28869386,241760,5967909880,379566742,7887785749,All
1,USA,81259094,29715,993757,1192,56461468,174444,23803869,3726,243069,2973,967505242,2894077,334305317,North America
2,India,42998938,2876,516103,98,42450055,3884,32780,8944,30646,368,779754156,555742,1403087655,Asia
3,Brazil,29432274,50078,655649,323,27968811,130018,807814,8318,136811,3048,63776166,296454,215130305,South America
4,France,23649615,116618,140440,146,22327945,66648,1181230,1855,360957,2143,246629975,3764235,65519286,Europe
5,UK,19819810,52698,163095,200,18429633,51258,1227082,253,289371,2381,492630733,7192446,68492797,Europe
6,Germany,17567738,225387,126532,287,13714200,212800,3727006,2494,208544,1502,104701826,1242902,84239806,Europe
7,Russia,17412919,36678,361902,558,15704022,118372,1346995,2300,119233,2478,273400000,1872078,146040943,Europe
8,Turkey,14600683,24614,96735,115,14213445,30553,290503,975,170007,1126,149168647,1736881,85883036,Asia
9,Italy,13490898,86867,157177,180,12296018,53349,1037703,502,223691,2606,193352508,3205949,60310541,Europe
10,Spain,11260040,9015,101416,71,10502784,48933,655840,682,240673,2168,471036328,10067978,46785594,Europe
11,Argentina,8981155,5076,127295,38,8787789,4214,66071,761,195662,2773,34877407,759833,45901385,South America
12,Netherlands,7266972,52897,21725,12,5712759,60151,1532488,157,422513,1263,21107399,1227218,17199386,Europe
13,S. Korea,7228550,362328,10888,293,,,,1196,140786,212,15804065,307806,51344266,Asia
14,Iran,7130129,3223,139180,117,6791854,5921,199095,2531,83081,1622,48393373,563882,85821796,Asia
15,Vietnam,6639900,177810,41545,68,3383142,111164,3215213,4269,67186,420,81738760,827075,98828683,Asia
16,Colombia,6077861,573,139335,20,5909782,613,28744,342,117321,2690,33566181,647926,51805575,South America
17,Indonesia,5914532,14408,152745,308,5462344,27615,299443,2771,21241,549,89512643,321474,278444349,Asia
18,Poland,5836667,12690,113622,178,5199156,9060,523889,482,154507,3008,34681947,918093,37776076,Europe
19,Japan,5804459,32063,26262,108,5227335,59558,550862,1170,46134,209,41189103,327371,125817627,Asia
20,Mexico,5607845,1018,321115,12,4900680,3525,386050,4798,42731,2447,15355108,117003,131237376,North America
21,Ukraine,4912528,6120,107269,85,,,,177,113488,2478,19521252,450976,43286684,Europe
22,Malaysia,3872135,26534,33994,95,3533994,31234,304147,376,117084,1028,52598004,1590436,33071438,Asia
23,Israel,3732586,7172,10399,7,3681263,6153,40924,306,400234,1115,41373364,4436346,9326000,Asia
24,Czechia,3696873,10820,39236,32,3588772,8066,68865,116,344126,3652,53125897,4945262,10742788,Europe
25,South Africa,3696823,1648,99727,2,3578877,1539,18219,546,61023,1646,23452959,387135,60580760,Africa
26,Philippines,3671293,,57625,,3567412,,46256,289,32761,514,28545001,254725,112062132,Asia
27,Belgium,3658084,3417,30445,11,3402134,26703,225505,185,313314,2608,32189080,2756989,11675449,Europe
28,Australia,3656931,34047,5616,25,3378144,31915,273171,105,140634,216,64784755,2491413,26003221,Australia/Oceania
29,Peru,3537488,646,211619,40,,,,658,104805,6270,28001696,829602,33753151,South America
30,Portugal,3380263,,21285,,2876177,,482801,70,333158,2098,37805639,3726119,10146118,Europe
31,Canada,3373776,4274,36993,49,3222524,4186,114259,510,88076,966,58805098,1535174,38305178,North America
32,Chile,3323324,8716,44039,34,2580632,38122,698653,931,171346,2271,34210544,1763849,19395390,South America
33,Thailand,3226697,19742,23851,70,2981413,24125,221433,687,46031,340,17270775,246380,70098011,Asia
34,Austria,3225272,37125,15261,40,2816416,31420,393595,219,354666,1678,167268269,18393584,9093838,Europe
35,Switzerland,3173851,38297,13438,5,2555555,13444,604858,143,362216,1534,19474998,2222587,8762312,Europe
36,Denmark,2826404,9420,5232,36,2646071,17487,175101,26,485061,898,126352755,21684350,5826910,Europe
37,Romania,2798935,4854,64473,60,2606660,,127802,542,147163,3390,21607053,1136058,19019326,Europe
38,Greece,2684916,26620,26686,51,2443577,15710,214653,358,259753,2582,69719530,6745035,10336422,Europe
39,Sweden,2472068,1715,17904,6,2389295,3918,64869,39,242207,1754,18342988,1797202,10206416,Europe
40,Iraq,2313943,573,25109,4,2268769,1346,20065,72,55414,601,18175523,435268,41757127,Asia
41,Bangladesh,1949942,217,29112,,1864408,1600,56422,1264,11643,174,13665453,81594,167480871,Asia
42,Serbia,1945142,2415,15619,15,1887890,3184,41633,66,224160,1800,8956349,1032137,8677484,Europe
43,Hungary,1814362,,44653,,1650643,,119066,109,188630,4642,10921558,1135461,9618611,Europe
44,Jordan,1680179,,13959,,1647266,,18954,694,161938,1345,16499905,1590281,10375464,Asia
45,Georgia,1637691,1716,16585,16,1590380,1551,30726,,411880,4171,16099446,4049017,3976137,Asia
46,Slovakia,1586140,9654,18979,29,1439179,11175,127982,217,290282,3473,6634177,1214130,5464142,Europe
47,Pakistan,1519627,473,30313,4,1471288,466,18026,560,6660,133,26963417,118164,228186231,Asia
48,Norway,1363406,6126,1826,10,,,,29,248191,332,9852076,1793449,5493367,Europe
49,Ireland,1360015,6282,6636,12,1245453,4318,107926,42,270294,1319,11546772,2294841,5031622,Europe
50,Kazakhstan,1304560,54,13648,,1281862,958,9050,528,68092,712,11575012,604162,19158790,Asia
51,Morocco,1162236,111,16046,3,1145486,148,704,293,30866,426,11237010,298421,37654831,Africa
52,Bulgaria,1117525,2393,36196,34,885909,3260,195420,288,162918,5277,9406028,1371252,6859444,Europe
53,Lebanon,1085846,614,10219,8,1006268,4435,69359,186,160310,1509,4795578,707998,6773435,Asia
54,Cuba,1077966,561,8503,,1066760,610,2703,23,95270,751,12920253,1141884,11314852,North America
55,Croatia,1074706,1179,15373,19,1050939,1263,8394,47,264563,3784,4591099,1130203,4062189,Europe
56,Tunisia,1029762,,28065,,983630,,18067,74,85607,2333,4475031,372020,12029014,Africa
57,Nepal,978044,57,11950,,961348,130,4746,100,32571,398,5492019,182896,30028061,Asia
